EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52
207784,2,46,2,aa,46,5,3,1333.6502540691797
208024,2,82,2,aa,43,5,2,16.938014562423255
208528,1,82,2,aa,43,2,3,787.8592925532098
208704,2,55,1,aa,24,6,2,803.8006645480102
208768,1,26,1,aa,2,6,4,1116.284984405322
208870,1,15,1,aa,50,1,4,1335.0179944480637
211002,1,47,1,aa,6,6,4,158.39401389407192
211074,1,81,1,aa,16,6,4,230.7968853763678
211316,1,39,1,aa,25,3,3,62.26833360228771
211551,1,52,1,aa,50,7,5,777.4953403804469
212024,2,87,1,aa,26,7,3,493.34559684055375
212336,1,87,1,aa,27,6,3,1158.2147773968354
212749,1,27,1,aa,57,3,3,18.591175548551817
213152,2,65,1,aa,27,7,2,70.90136220756895
213837,1,18,2,aa,59,7,3,1079.0807001496687
214060,2,81,2,aa,47,7,4,93.4594237352789
214261,1,65,2,aa,47,7,2,1225.233844493523
214621,2,36,2,aa,17,2,2,935.6455570212353
214891,1,81,2,aa,17,7,2,1135.1319280169355
215393,2,74,1,aa,61,2,2,964.2496568276247
215818,2,81,1,aa,0,2,4,147.8397386387441
216024,2,20,1,aa,47,6,3,16.264224303554705
216761,2,18,2,aa,35,6,2,4.5699280218942935
221280,1,21,1,aa,33,6,3,30.56843820029537
221322,2,21,1,aa,0,6,3,1129.6888229679857
221845,2,24,1,aa,60,4,3,62.62502287661525
222014,2,61,1,aa,50,6,5,819.9120480791612
222466,2,74,1,aa,0,4,5,1046.7405122119994
223167,2,44,2,aa,54,4,2,1073.572762886335
223256,1,37,2,aa,0,4,5,1287.4641634256664
223522,1,69,2,aa,42,5,1,517.9507281629211
223993,2,69,2,aa,42,4,1,1046.6958293211387
224139,2,21,2,aa,0,4,5,608.5658988765067
224222,1,21,2,aa,53,4,1,200.4080450247786
226779,2,86,2,aa,19,4,1,162.37189100600182
227001,2,54,2,aa,4,6,1,606.9607545241736
227021,2,53,2,aa,33,5,4,876.4507102785088
227183,1,74,2,aa,0,6,1,1192.3357650986757
227308,1,28,2,aa,63,5,1,871.9989248019083
229897,2,76,1,aa,5,5,3,603.9880475600027
230039,1,29,1,aa,5,1,3,493.6127328332914
230100,1,50,1,aa,19,7,3,57.278965023257186
230253,2,76,1,aa,19,3,5,865.1645323699133
230302,2,74,1,aa,27,7,5,1245.777829646012
230410,2,37,1,aa,19,5,5,981.3916868209607
230615,2,62,1,aa,28,5,5,529.8818622184839
230926,2,33,1,aa,31,5,5,62.66315001925082
231023,2,75,1,aa,34,4,3,363.7048768454061
231029,2,42,1,aa,34,7,1,1315.3561302753685
231189,2,42,1,aa,54,6,4,1215.471356220813
231801,2,37,1,aa,35,6,1,409.41087938111315
231996,1,43,1,aa,48,3,3,338.24111125922474
232041,1,72,1,aa,48,4,5,336.0960079690417
232172,1,28,1,aa,3,4,3,798.9015161651357
233791,2,86,1,aa,3,3,5,959.9667658830301
233836,2,26,1,aa,30,6,2,1347.0681200313861
233847,1,24,1,aa,32,7,5,501.9434522077486
234303,1,72,1,aa,50,4,2,1314.9574356977782
234418,1,62,1,aa,57,4,4,202.84732662003887
234724,1,24,2,aa,31,1,4,860.0647182797849
234733,1,68,2,aa,30,1,3,456.627387034661
235269,1,38,2,aa,57,2,3,69.7717996532012
235270,1,63,2,aa,57,3,5,1074.6019206836818
235288,2,86,2,aa,57,2,4,796.0984761947352
235448,1,64,2,aa,32,6,1,462.31996091634454
235710,1,64,2,aa,57,3,1,814.6377184241121
235786,2,55,2,aa,57,5,4,548.5767076375934
235866,2,36,2,aa,53,3,5,550.1373175925629
236387,1,49,2,aa,28,3,5,1334.0490628251368
236453,1,21,2,aa,56,7,1,1226.399589121713
237333,2,83,2,aa,56,6,5,246.87548478394316
240675,2,64,1,aa,57,7,4,1107.4899221377686
240704,1,83,2,aa,56,6,1,1097.603470437175
240713,2,59,2,aa,56,2,3,1263.134059381324
240751,2,37,2,aa,56,7,3,912.0111214203736
240796,1,67,2,aa,38,2,4,1104.7119880204227
240825,2,67,2,aa,56,7,3,1311.8096454214399
240885,2,67,2,aa,7,6,3,933.0320926557501
240947,2,58,1,aa,56,2,1,132.72617530986403
240973,2,41,1,aa,57,3,3,458.0303146602265
241001,2,57,1,aa,57,3,2,1072.8619445470235
241110,1,35,1,aa,57,6,1,967.426421076353
241138,2,63,1,aa,28,3,1,334.7827095546396
241145,2,67,2,aa,16,1,2,130.09999018352943
241150,1,64,2,aa,16,5,5,1158.5132212728931
241808,2,35,1,aa,50,1,5,529.7437416847902
241963,2,21,1,aa,3,1,2,496.20307643517964
242450,2,21,2,aa,18,5,5,528.3295309323624
243264,1,48,1,aa,37,2,5,417.6223009287903
243472,2,81,1,aa,14,5,2,85.74713092631323
243528,1,35,1,aa,14,1,5,156.6680962857073
244690,1,15,1,aa,39,1,2,444.702442025001
245267,1,83,1,aa,50,5,5,1135.5395053863767
245713,1,63,2,aa,37,2,5,808.7658932765434
246252,1,47,2,aa,14,3,1,1208.1851282738858
247075,1,47,1,aa,14,2,1,548.3685019439129
247465,2,20,1,aa,52,7,1,447.7337679199157
248544,2,83,2,aa,14,6,1,258.99324845348656
248559,2,34,2,aa,14,1,1,513.275627381259
248720,2,34,1,aa,14,3,4,68.14670250137084
249979,2,41,1,aa,14,6,1,412.5289551483647
249988,1,20,2,aa,36,4,1,539.9753382808008
250106,2,47,1,aa,25,6,4,542.6500907012124
250501,2,61,2,aa,34,4,1,799.5455893892863
250509,1,61,1,aa,14,5,4,845.7966432680432
250585,2,49,1,aa,32,5,4,217.22592594610043
250614,1,83,2,aa,33,3,4,536.1483890050283
250971,1,46,1,aa,32,3,1,985.8637465527717
250984,1,22,1,aa,38,4,1,346.7079507624015
251000,2,50,1,aa,32,3,1,217.2621053636418
251200,2,51,1,aa,32,4,4,1314.7584243765125
251367,1,40,1,aa,14,5,3,343.9572377316129
251396,2,20,2,aa,14,3,1,611.197302031607
251579,1,39,2,aa,14,2,1,462.14494843742176
251664,1,62,2,aa,14,6,4,614.9556952125572
251712,1,50,2,aa,14,5,4,463.8813801843619
251781,2,45,1,aa,32,3,4,893.3936739026688
254156,2,32,1,aa,32,3,4,1142.3959100669902
254163,2,22,2,aa,14,6,1,562.789978027344
254165,2,22,1,aa,38,3,4,63.68791778706048
254346,2,50,2,aa,19,2,2,529.6627104564031
254507,1,59,2,aa,50,7,3,502.3659531871621
254627,1,80,2,aa,16,7,2,410.7686559779044
254877,2,81,1,aa,16,3,3,413.13415602565766
255120,1,36,2,aa,51,6,3,148.82736778007765
255394,1,43,1,aa,14,2,1,408.05901783661363
255517,1,84,2,aa,14,6,2,530.7131142869571
258055,1,18,2,aa,14,1,2,412.7250380116827
258150,2,40,2,aa,14,2,4,920.4794452030874
258345,2,18,2,aa,50,7,4,470.10433043123425
258449,2,81,1,aa,14,7,2,966.0117167514151
258795,1,46,2,aa,14,1,2,1315.9041327173395
259177,2,53,2,aa,19,1,2,74.16885199819632
259527,1,36,2,aa,5,6,1,1277.2879562196417
259993,1,19,2,aa,51,1,1,1348.2757451509572
265266,1,79,1,aa,17,6,2,988.9727219382285
265343,1,44,2,aa,0,6,1,172.5101506978182
265380,1,89,1,aa,30,1,1,360.8339347952723
265446,1,14,2,aa,45,1,4,1245.8083911929007
265512,1,52,1,aa,13,1,1,82.72765344775391
265549,1,29,2,aa,19,3,1,77.12724384345724
265654,2,64,2,aa,21,6,2,69.89131030165865
265685,2,64,2,aa,45,7,4,292.03260639851675
265735,2,15,2,aa,14,1,1,500.22743096716965
265783,1,75,1,aa,1,5,5,486.25437844822477
265925,2,18,2,aa,55,1,2,783.6374914785673
265976,2,21,2,aa,17,3,5,71.90229342555469
266017,2,85,2,aa,15,6,4,590.3692203333794
266095,1,15,1,aa,15,6,4,912.5961848942019
266099,1,64,2,aa,13,5,5,735.0460923259641
266185,2,14,2,aa,45,5,5,7.58297193042041
266443,2,55,2,aa,31,7,5,503.53499386286404
266860,2,25,1,aa,3,5,5,531.2054876933521
267449,1,77,1,aa,15,1,1,1151.5169772361412
267993,2,77,1,aa,30,3,1,530.0681759620148
268324,1,64,1,aa,10,7,1,966.0824475934395
268388,2,75,1,aa,46,3,5,1332.015756692955
268465,1,50,1,aa,51,3,1,1038.3737759043502
268528,2,53,1,aa,31,5,1,731.1811186485094
268571,2,82,1,aa,46,7,5,608.6787554780564
268587,2,87,1,aa,13,1,1,205.4706184252705
268659,2,27,2,aa,12,7,2,1119.546218934076
268747,1,14,2,aa,1,1,5,574.4402744234582
269071,1,78,2,aa,47,7,2,135.01653683049673
269412,1,52,2,aa,29,3,5,893.0244515953787
269467,1,75,2,aa,12,3,5,1334.7006717191996
269626,1,14,2,aa,29,1,4,738.8021436771523
269824,1,75,2,aa,4,7,2,366.5975989027887
269998,1,74,1,aa,1,1,2,1345.1712037894642
270160,1,20,2,aa,5,3,2,531.4398634077768
270221,1,86,2,aa,56,7,4,1158.813264220648
270544,1,15,2,aa,47,7,4,604.5470237075021
271158,1,88,2,aa,31,3,4,1276.0173826174332
271449,1,40,1,aa,16,7,2,1192.1801410120875
271492,1,15,2,aa,39,3,4,1135.791334800132
272178,1,84,2,aa,1,3,4,1104.1628354473246
272217,2,33,1,aa,1,3,4,343.48392687523716
273448,2,30,2,aa,13,7,4,1328.680217517375
273904,2,90,2,aa,36,3,4,360.47140503202553
274435,2,66,1,aa,59,3,2,1262.6882442121594
274489,2,90,2,aa,6,7,2,562.789978027344
274558,2,66,2,aa,18,1,4,116.4923020987848
274764,2,84,2,aa,6,4,2,779.6545843863895
274909,2,64,2,aa,28,1,2,259.0615784647226
275033,2,48,2,aa,57,6,3,998.1555862511492
275385,2,31,2,aa,54,4,5,1159.9297528979312
275700,1,65,2,aa,36,4,5,796.8878830024345
275748,2,87,2,aa,36,2,3,1159.798647252362
275852,2,64,2,aa,56,3,3,935.5323735154359
275953,2,74,2,aa,57,4,5,1258.692427918263
276147,2,64,2,aa,59,2,3,1261.7092137923828
276150,2,50,1,aa,3,5,5,467.4521476343395
276179,1,64,1,aa,3,4,3,419.271439585658
276267,1,54,1,aa,22,2,3,1332.1388332546985
279359,2,36,1,aa,22,2,4,367.70237106141735
280678,2,47,1,aa,19,4,4,1287.405954716052
280762,2,64,1,aa,57,2,3,1281.7848221149377
281024,2,48,1,aa,57,4,3,911.6654631911932
281212,1,57,1,aa,46,2,3,293.1748609162084
281506,1,57,1,aa,59,6,3,487.4853624657781
281789,1,41,1,aa,56,4,4,771.9708986321205
282152,1,78,1,aa,56,4,4,1284.0093804131097
282745,1,21,1,aa,19,4,4,892.8969704730201
282776,1,78,1,aa,4,4,5,119.98654220806009
282823,1,78,1,aa,23,1,3,1274.9125771690915
282836,1,80,1,aa,36,2,4,348.9318565463325
282867,1,86,1,aa,4,3,3,106.49193326376479
283143,2,82,1,aa,17,5,4,60.019894283260506
283198,2,29,1,aa,1,4,3,1292.185924421223
283255,2,83,1,aa,7,3,5,1039.0560886652668
283431,2,44,2,aa,55,6,3,695.2107560095258
283512,2,28,2,aa,53,5,2,905.6994467511864
283706,2,45,2,aa,8,5,2,878.4558450746558
283758,2,59,2,aa,8,3,2,626.9152411097746
283796,1,83,2,aa,1,3,2,1293.6880856436412
283875,2,59,1,aa,13,5,2,108.86960083588015
284018,2,29,2,aa,50,6,4,1246.7468875643272
284112,2,87,2,aa,46,1,4,1192.3766138755982
284619,1,78,2,aa,28,2,5,293.8053247586931
284654,2,83,2,aa,28,5,4,445.98393920378817
287347,2,85,2,aa,28,5,2,274.42783194687286
287434,2,58,2,aa,29,6,2,410.3010880814961
287514,2,58,2,aa,36,6,3,796.9798292042028
287528,1,35,2,aa,20,6,5,158.44082214915753
287555,1,80,2,aa,23,1,2,799.3060878553416
287574,2,57,2,aa,57,3,4,812.8487785399416
288276,2,37,1,aa,15,5,3,909.549193964653
288462,2,59,1,aa,31,2,3,386.6616900884545
288680,2,58,1,aa,23,2,4,964.5657897312055
289205,2,39,1,aa,57,1,3,131.86962401045642
289790,2,39,1,aa,9,6,4,62.54547434263815
289832,1,59,2,aa,53,5,2,1280.6184045549828
291061,1,58,2,aa,29,4,3,88.16439483880524
291580,1,57,2,aa,41,5,2,917.8366941599836
292070,1,30,1,aa,8,4,3,546.0067485503969
292369,2,86,2,aa,60,7,3,585.6847555537435
292471,1,20,2,aa,60,7,5,1343.6897215199745
295373,2,86,1,aa,48,2,3,557.3483623441083
295756,2,68,1,aa,52,3,5,719.6232850762175
296254,1,68,1,aa,54,2,3,46.03950311562989
296684,2,49,1,aa,27,2,3,204.1195947376254
296944,2,49,1,aa,63,4,2,808.5560857847289
300748,2,68,1,aa,63,4,3,1260.8453237355623
301769,2,82,1,aa,34,4,2,1204.1468994193997
301858,2,70,1,aa,22,4,2,46.86289858222101
302087,2,87,1,aa,55,3,3,869.8424455664718
302529,1,70,1,aa,62,3,2,154.6838990414426
303845,1,51,2,aa,60,5,5,62.95488732831914
304177,1,70,1,aa,14,5,3,94.65035972358214
304689,2,70,2,aa,41,3,3,671.9784490431083
306554,2,62,2,aa,41,4,2,1275.2959971363334
307557,1,62,1,aa,23,3,2,474.43171216934707
308067,2,70,1,aa,9,5,2,478.4423205840186
309205,1,30,2,aa,60,3,5,500.024242868293
310274,2,29,2,aa,41,3,5,412.4117743967824
310322,2,82,1,aa,9,3,1,1057.1326980660754
310392,1,31,1,aa,37,4,1,670.7833142935028
310508,1,56,1,aa,20,6,4,216.88289669823945
310555,1,47,2,aa,63,6,4,770.2144306795828
310591,1,36,1,aa,50,4,1,1058.052808203139
310677,2,36,2,aa,50,6,1,502.5474990511839
310709,2,36,2,aa,37,6,4,1263.4566934321713
310803,1,61,2,aa,52,5,4,1135.69720951211
310821,1,46,1,aa,16,6,4,56.84114592509411
311145,1,19,1,aa,18,4,4,822.1610332525433
311227,2,36,2,aa,49,6,1,682.7815655672673
311301,2,48,1,aa,61,6,4,272.2852263728109
311321,2,36,1,aa,28,5,4,487.12899283318524
311326,1,19,1,aa,12,6,1,671.2243460053704
311375,2,36,1,aa,28,6,1,671.3356894543174
311395,2,62,1,aa,42,6,1,590.8334477439377
311427,2,46,1,aa,35,6,1,1141.266075228905
311432,2,44,1,aa,49,6,4,572.2903315529293
311474,1,62,1,aa,14,5,2,264.63091406784855
311477,2,46,1,aa,13,6,2,110.80623009848154
311502,2,30,1,aa,29,5,4,571.5350333838311
311504,2,62,2,aa,28,6,1,275.98218004645105
311522,2,44,2,aa,60,6,4,1039.2111909731495
311552,2,37,2,aa,28,6,4,247.7904702569271
311646,2,62,2,aa,23,5,4,203.31290207889086
311708,2,79,2,aa,27,6,4,247.96208852549069
311743,2,37,2,aa,23,6,2,160.25241390888272
311767,2,28,2,aa,32,6,5,641.6755465639011
314504,2,14,2,aa,33,6,2,1314.429274768782
314504,1,49,2,aa,36,7,3,1174.1172707875935
314515,1,60,2,aa,36,1,3,1201.9859466863888
314684,1,84,2,aa,33,6,3,1314.513960299272
314721,1,78,2,aa,27,2,2,1315.733467041926
314942,1,79,2,aa,39,2,1,108.88272760941041
315065,1,19,2,aa,42,7,2,728.6057960174578
315260,1,79,2,aa,42,2,1,1174.6298548200896
315312,1,37,2,aa,39,1,2,82.07366329979153
315334,1,16,1,aa,60,7,1,1175.6332779490244
315580,1,18,2,aa,33,5,3,1107.1018422798006
315685,1,20,1,aa,26,2,2,389.1942563525406
316031,1,37,1,aa,15,5,5,625.5192459343382
316202,1,62,1,aa,20,1,1,878.733228184787
316270,1,14,1,aa,60,5,2,501.05607687044676
316885,2,79,1,aa,33,2,2,63.635004454634995
317195,1,36,1,aa,26,1,1,4.070178893872242
317944,1,36,2,aa,15,3,3,1340.2563752773108
318755,2,18,1,aa,23,1,1,836.9189203923893
319163,2,14,1,aa,21,3,1,245.79813855671327
322761,1,36,1,aa,37,2,3,877.5215875576107
323165,2,39,1,aa,37,2,5,835.9361893013355
323250,2,78,1,aa,34,3,1,1074.3206915226597
323279,2,78,1,aa,37,3,4,609.1313721989876
323361,1,84,2,aa,60,2,4,553.098921398321
323474,1,44,2,aa,17,3,4,265.713377146261
323590,1,87,2,aa,41,3,4,1205.3777315180582
323648,1,62,2,aa,36,2,4,836.4699076986723
323659,1,41,2,aa,28,1,4,1315.0944363163264
323712,1,22,2,aa,36,3,4,292.3152744872673
323798,1,86,2,aa,29,2,4,277.44466889313554
323855,1,24,1,aa,28,2,4,292.861141324662
324100,2,51,1,aa,60,4,4,277.7502116108498
324139,2,41,2,aa,41,3,5,280.5897555833761
324219,2,77,1,aa,35,2,4,275.1881921062539
324391,1,18,1,aa,5,1,5,1140.5794057787691
324508,1,51,1,aa,41,4,1,282.0772001483693
324589,2,84,1,aa,58,2,4,869.9810111794063
331206,1,84,2,aa,7,3,4,175.29123941490724
331917,2,84,2,aa,43,6,4,457.7206151263601
332272,1,67,2,aa,28,5,4,1110.1091636044969
332620,1,30,1,aa,6,5,4,1141.1853216899967
333613,2,42,2,aa,14,5,5,460.9484385525843
334867,2,81,2,aa,4,4,4,745.0743769294118
335244,1,30,2,aa,22,2,1,1088.490295177478
335314,2,70,2,aa,58,5,4,626.5209010825573
335390,2,49,2,aa,14,6,5,161.50341822732548
335698,2,74,2,aa,51,4,4,927.550564912413
335994,2,74,2,aa,4,5,5,864.9067851264675
336004,1,24,2,aa,12,4,5,487.7800919078851
336252,1,20,2,aa,24,5,4,1175.842823142159
336308,1,20,2,aa,50,4,4,562.789978027344
336402,2,15,1,aa,32,5,3,671.3195804151802
336613,1,82,1,aa,5,5,3,514.8326298232753
336735,2,24,2,aa,52,6,4,498.80482276145386
340134,1,28,1,aa,42,1,3,463.8402691033174
340293,2,17,1,aa,42,6,3,411.47476020634815
340430,2,50,1,aa,8,6,1,1158.2944549821616
340622,2,78,1,aa,41,7,5,129.8955476175512
340659,2,22,1,aa,12,4,1,1156.684895235756
340814,2,22,1,aa,21,6,1,1254.5947767151983
340842,2,42,1,aa,32,4,4,202.2345727694437
340893,1,50,1,aa,23,6,3,878.9492446804956
341431,1,61,2,aa,23,6,4,1157.9777467428214
341990,1,46,1,aa,21,5,5,878.3251865781095
342095,2,49,1,aa,21,6,4,217.74879233696387
343557,1,16,2,aa,52,3,4,586.6616978726629
343618,1,52,2,aa,14,6,1,1204.640987852455
343667,2,60,1,aa,14,6,3,671.1118907470376
343965,2,60,2,aa,53,7,4,741.9445429338372
344469,1,24,1,aa,28,6,4,1041.8051283860584
344990,2,63,1,aa,4,3,3,238.72131081616823
345459,2,20,2,aa,57,3,4,1042.029465946116
345777,2,20,2,aa,28,5,1,1046.2852391871052
345951,1,62,2,aa,57,6,2,152.86230032375707
347412,2,16,2,aa,15,7,3,1039.889893954688
347792,1,46,1,aa,56,4,4,372.9076453128047
347865,1,86,2,aa,4,6,4,843.8124573065592
348011,1,62,1,aa,25,1,2,1039.1750104928985
350237,1,21,2,aa,5,1,2,485.79182346816435
350246,2,62,1,aa,43,5,3,1267.443946318963
350281,1,86,1,aa,34,3,1,163.58640347961864
350328,2,15,2,aa,29,7,3,292.34510399250803
350679,2,63,1,aa,35,7,3,340.11599690344195
350708,2,62,2,aa,56,6,1,1129.6677316243588
350744,1,72,1,aa,30,1,3,278.9100998749531
351073,2,62,2,aa,34,1,4,493.27276229269177
351311,2,65,2,aa,23,7,2,688.7602762147108
351312,2,62,1,aa,25,3,3,332.9428026402923
351420,1,67,1,aa,23,3,2,1238.0284147586847
351460,2,65,1,aa,10,3,2,695.0162113905702
351492,2,68,1,aa,14,3,3,554.7674011498614
351517,1,75,1,aa,35,7,5,695.6724953163096
351611,1,53,1,aa,35,5,1,1117.9821846046216
352206,2,30,1,aa,42,6,4,492.6872468741595
352427,2,30,1,aa,35,5,1,1141.810163157569
353166,2,62,1,aa,43,2,1,693.4457503996209
353915,1,27,1,aa,14,6,1,179.29031173155062
354590,2,59,2,aa,24,6,3,493.08623990808013
354879,1,40,2,aa,14,2,5,626.8508906725182
354945,2,67,2,aa,33,6,4,625.2235920088418
355285,2,52,2,aa,36,1,2,772.7909899496627
355407,2,41,2,aa,43,1,5,916.2612963951925
355424,1,50,2,aa,16,5,2,627.6762793234408
355530,2,70,2,aa,56,2,4,445.3163736029073
355787,2,67,1,aa,34,1,4,650.5230885253274
356138,2,44,1,aa,56,5,5,176.59343326952762
358088,2,68,2,aa,37,2,4,1239.8400591744082
358151,2,45,2,aa,37,7,2,611.7065456361755
358180,2,59,2,aa,48,4,2,998.0528351517008
358196,2,62,2,aa,51,2,2,457.5953874161821
358260,1,46,2,aa,57,3,2,1098.566784389288
360592,1,14,2,aa,40,7,5,59.93446831410266
360855,2,60,2,aa,51,5,3,528.5571569394506
360864,1,61,2,aa,19,1,5,893.2537833209341
361032,1,51,2,aa,57,4,5,861.1186914632287
361135,2,48,2,aa,52,5,1,1036.623526035704
361842,1,32,2,aa,46,1,3,466.0320163330387
362014,1,66,1,aa,10,1,5,892.8408303832872
362143,1,53,2,aa,12,2,3,860.8802458508932
362473,1,66,2,aa,48,1,2,892.2060057280868
362590,2,83,2,aa,51,2,1,1042.6517630059552
363001,2,60,2,aa,34,3,5,447.647534951016
363061,2,32,1,aa,61,2,5,28.572729114529714
363505,1,15,2,aa,43,5,1,625.333072679098
363610,2,32,1,aa,61,2,4,1036.2295276927243
363863,1,32,2,aa,42,4,2,305.7797854578952
363876,2,33,1,aa,8,1,4,832.754026407625
363943,1,32,1,aa,16,3,4,129.1667604518475
364333,2,32,1,aa,16,4,1,132.4620782704235
364511,2,84,1,aa,16,7,2,119.12181108088393
364593,1,33,2,aa,29,1,4,257.07750557499077
365964,2,46,2,aa,42,5,4,463.32482653768653
366320,1,52,2,aa,63,7,3,814.8607800389949
366502,2,87,2,aa,58,3,5,131.42353234019333
366844,1,79,1,aa,47,1,3,410.37087363479736
367304,1,63,2,aa,4,3,4,1057.913446166584
367545,1,79,1,aa,28,1,3,529.3996875032902
369288,1,41,2,aa,63,4,1,485.3490027333807
369445,2,55,1,aa,29,5,3,539.8724813054014
369663,2,86,2,aa,36,1,1,1060.87244857102
369993,1,72,1,aa,38,5,4,1.9513096594334502
370541,2,80,1,aa,42,2,1,562.789978027344
371853,2,84,2,aa,34,2,3,499.17745430561195
372774,2,86,1,aa,41,7,3,265.433059315229
372775,2,64,1,aa,42,4,2,863.5500178327942
373033,1,64,1,aa,31,5,4,604.7058066756052
373215,1,66,1,aa,33,5,4,861.276956639948
373542,2,84,2,aa,29,1,3,474.9206349165293
373856,2,29,1,aa,42,1,3,859.316974677594
373865,2,60,2,aa,31,3,4,204.79671392764283
373882,1,32,2,aa,58,4,2,859.8223476762626
374073,1,30,1,aa,0,4,1,1147.292316426999
374256,1,29,1,aa,58,5,1,892.5014283300962
374382,1,32,2,aa,3,3,3,1061.6729061575916
374483,1,64,1,aa,49,7,3,273.37366732076293
374648,2,35,2,aa,42,7,5,892.4429695131269
374687,2,66,1,aa,2,5,3,860.2862501887314
374775,1,69,2,aa,40,7,1,369.007620158682
377587,1,29,2,aa,48,6,3,1172.5968749956473
377772,2,62,2,aa,18,2,3,411.1069777822878
377790,2,29,2,aa,32,2,3,694.6774889806138
377861,1,78,1,aa,36,2,1,29.76476400907673
378300,2,78,2,aa,16,5,5,257.54274957719144
378560,2,14,1,aa,16,3,1,1157.370711104886
378704,2,53,2,aa,14,6,1,670.9285012925874
378781,2,83,1,aa,44,3,1,1079.1064725230415
378847,2,44,1,aa,48,4,1,649.9187748582722
382302,2,44,1,aa,60,3,3,1075.0778548710407
383302,2,38,2,aa,60,7,1,88.30501694088973
383941,1,38,2,aa,36,3,1,107.08272027599831
384002,1,38,2,aa,60,2,3,648.2938966959663
384951,1,15,2,aa,50,5,2,47.55230536764898
386287,2,68,1,aa,60,7,2,1042.4659981941184
386479,2,38,2,aa,35,6,2,28.320004589459252
386496,2,38,1,aa,63,2,1,335.87095735664553
386828,1,74,2,aa,40,6,1,546.5408495707054
386839,1,36,2,aa,43,7,5,80.79114210712109
386844,2,38,2,aa,28,7,2,816.2649275997559
387061,2,36,2,aa,39,7,2,26.65540967971061
389342,1,54,1,aa,19,6,2,369.9744537739163
389445,2,46,2,aa,7,5,1,768.0541794791792
389685,1,79,1,aa,35,5,1,650.7569172531745
389829,1,78,2,aa,50,4,3,1158.7366548358152
389986,1,54,1,aa,39,4,2,568.1169682754347
390088,2,59,1,aa,63,6,2,673.8097009722469
390467,2,36,1,aa,17,6,5,642.875893183613
390520,2,46,1,aa,55,6,2,1158.8513069404135
390613,2,41,1,aa,17,6,1,486.5523101070032
