EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
282745,2,86,1,18,4,5,1,596
282941,2,57,1,18,3,3,3,101
283321,1,75,1,6,3,4,1,101
283416,1,39,1,18,4,5,2,599
283480,1,86,1,6,4,5,1,184
283512,1,32,1,30,4,3,2,334
283650,1,39,1,31,2,3,3,755
283754,1,57,1,52,1,4,2,186
283770,1,59,1,22,4,3,1,330
283971,1,75,1,31,3,4,1,548
284004,1,56,1,29,2,4,4,185
284177,2,59,1,58,5,3,1,101
284199,2,30,1,30,3,2,1,101
284217,2,56,1,29,4,2,1,548
284628,2,28,2,30,4,3,1,101
284646,2,30,2,29,5,2,4,101
287357,2,89,2,0,4,5,1,595
287443,2,73,2,1,2,2,1,101
288261,1,24,2,44,2,3,4,784
288329,2,54,1,37,2,2,3,101
288533,2,48,2,44,1,3,1,101
289196,2,80,2,44,6,3,3,101
289474,1,50,2,13,5,4,3,101
290617,2,78,2,44,6,5,1,101
290855,2,37,2,23,5,5,4,101
290910,2,87,2,4,5,3,4,377
291018,2,59,2,0,6,2,4,376
291320,1,26,2,15,1,2,3,293
291436,1,80,2,58,1,4,1,726
291741,2,42,2,29,5,2,3,185
291930,2,48,1,4,2,4,3,532
292001,2,28,1,37,6,4,4,379
292086,2,59,1,46,6,4,3,807
292153,2,53,1,11,6,4,1,257
292490,2,87,1,4,2,4,1,285
292569,1,83,2,58,5,2,1,530
292848,1,59,2,52,4,2,1,256
295496,1,71,2,19,4,2,1,284
295719,1,90,1,23,3,2,1,382
299261,2,57,2,35,5,5,1,535
299313,1,56,2,33,4,2,2,101
299656,2,59,1,41,3,2,1,101
300342,2,71,1,34,3,2,1,101
301884,1,57,1,21,3,2,2,101
302831,2,42,1,23,4,3,2,101
302885,2,42,1,34,4,3,1,133
303271,2,70,1,61,2,3,1,101
303898,2,46,1,23,3,3,4,101
303937,2,62,1,27,5,3,4,710
304881,2,42,1,61,5,3,4,101
305613,1,45,1,61,4,3,4,101
305693,1,80,2,55,5,5,4,101
306905,1,24,1,27,4,3,4,101
307711,2,70,2,13,3,3,4,101
308410,2,21,2,50,4,2,2,101
308574,1,41,1,14,7,3,2,384
308895,2,49,1,17,3,1,2,101
309072,1,46,2,62,5,5,2,101
310421,2,19,2,36,6,1,3,101
310634,2,30,1,36,4,1,3,655
310878,1,69,1,53,6,5,4,101
310943,1,69,1,39,6,1,3,101
311018,1,41,2,36,6,1,3,101
311127,1,69,1,9,5,4,3,101
311216,2,69,2,39,6,1,3,101
311388,2,81,2,35,6,4,3,101
311515,1,21,2,35,3,1,4,461
311533,1,85,1,29,6,5,3,101
311566,1,78,1,53,6,5,4,171
311570,2,78,2,38,2,4,4,249
311651,2,27,1,63,4,4,4,101
314488,2,25,1,20,6,4,2,249
314534,1,49,1,49,2,4,2,101
315025,2,78,1,48,2,4,2,101
315037,2,87,1,22,2,1,3,392
315247,2,36,1,63,6,1,4,415
315521,2,36,1,51,5,2,3,415
315717,1,39,1,27,6,2,2,145
316106,2,39,1,41,6,4,2,101
316219,2,30,2,23,6,2,2,101
316258,2,14,2,29,2,2,4,101
316542,2,17,2,41,6,4,2,499
316561,2,39,2,25,5,2,2,499
316906,2,54,2,27,7,5,2,385
317038,2,39,2,12,6,4,2,145
317158,2,20,2,23,6,2,4,101
317227,2,39,2,9,6,2,2,101
317407,1,39,2,29,2,4,3,194
318127,2,20,2,14,6,2,2,101
318940,1,89,2,28,1,4,2,101
319389,1,38,2,14,7,1,2,101
322708,1,38,2,28,1,2,2,101
322784,1,20,2,62,5,4,4,101
322843,1,47,2,50,6,2,2,135
322847,1,38,2,10,5,3,1,101
322860,1,14,1,62,1,1,4,101
322951,1,18,2,36,5,1,1,131
322963,1,63,1,42,5,1,1,101
323122,1,83,1,61,6,1,4,233
323194,1,39,1,62,6,3,3,233
323257,1,87,1,42,1,1,3,648
323306,1,78,1,42,1,1,4,468
323340,1,39,1,28,3,1,3,101
323516,2,81,2,18,1,1,4,158
323602,1,14,1,63,2,1,2,101
323634,1,31,1,63,3,4,2,101
323787,2,49,1,28,2,5,3,101
323823,2,56,1,15,3,4,2,754
323836,1,24,1,43,3,4,2,101
323852,2,81,1,39,3,4,4,101
323966,2,50,2,62,7,4,3,101
324054,2,20,2,43,3,5,1,101
324088,1,76,2,28,2,4,4,101
324158,1,60,2,37,2,5,4,101
324209,1,77,2,32,3,4,4,101
324293,1,39,2,50,2,4,2,101
324296,1,77,2,37,3,4,4,101
324344,1,60,1,33,7,4,4,101
324387,1,59,1,43,2,4,1,128
324433,1,50,2,61,1,3,1,507
324485,2,62,1,39,6,3,1,470
328660,2,75,1,57,4,3,1,101
329325,2,76,1,23,6,3,1,507
333634,1,21,1,20,3,4,1,101
334137,1,84,2,23,6,4,3,101
334228,2,56,2,42,5,4,1,159
334286,1,47,2,57,5,4,3,101
334581,2,31,1,5,4,4,2,101
334589,1,64,2,42,6,4,2,596
334595,1,29,2,4,6,4,3,286
334867,2,71,2,26,2,1,1,101
336057,2,61,2,14,3,5,3,136
336309,1,62,2,5,4,1,2,101
336337,2,51,2,33,6,1,3,101
339997,2,31,2,40,5,4,4,564
340430,2,54,2,1,6,4,2,269
340795,2,86,2,35,5,4,4,101
341097,1,29,2,52,6,5,4,101
341509,1,75,1,26,1,5,3,268
342215,1,51,1,23,4,3,4,101
342477,2,47,2,23,4,1,2,143
343228,1,75,1,5,5,3,4,141
344551,2,49,1,58,4,4,4,459
345102,1,29,1,58,6,5,3,426
345249,2,31,1,58,4,4,4,700
345327,2,60,1,14,4,4,4,101
345804,2,24,1,9,2,4,4,101
346108,2,15,1,58,6,3,4,421
346398,2,21,1,40,2,1,4,101
347030,2,50,2,40,3,3,4,101
347389,1,21,1,32,5,1,4,285
348124,1,31,1,35,1,4,3,586
350281,1,16,2,52,5,5,4,286
350764,2,47,2,15,6,3,2,705
350786,1,62,1,9,7,3,3,138
350917,1,20,2,6,4,5,2,139
351146,2,53,1,35,5,4,4,101
351161,2,19,1,15,2,2,2,101
351267,1,47,2,42,2,4,3,101
351443,2,62,2,41,5,2,3,188
351524,2,24,2,15,5,4,3,158
351588,2,19,2,5,6,1,4,101
351602,1,64,1,15,3,4,3,271
351671,2,69,2,2,1,3,4,101
352140,1,65,1,14,5,4,4,101
352141,1,71,2,15,5,3,4,101
353211,1,56,1,33,3,2,4,101
353529,1,84,1,33,3,1,4,101
357888,2,84,2,23,6,3,2,456
357891,1,61,1,4,1,4,4,286
357938,2,78,2,34,1,1,2,413
357956,2,50,1,10,7,5,3,484
357969,2,62,2,42,3,1,4,655
358076,1,69,2,5,1,1,1,425
358209,2,14,1,24,6,4,1,268
358268,2,44,1,23,6,5,4,101
358316,2,69,1,23,7,5,3,101
358324,1,61,1,33,7,3,4,101
360486,2,72,1,40,1,4,1,149
360777,1,23,1,35,7,1,1,637
361248,1,15,1,2,6,5,3,146
361480,2,83,1,33,3,2,3,101
361916,2,17,1,40,6,1,4,669
362166,2,46,1,36,5,3,3,592
362233,1,62,2,14,6,2,1,579
362446,2,60,2,42,6,2,3,101
363032,1,17,2,42,2,3,2,101
363305,2,17,2,38,5,4,1,587
363306,2,55,2,48,3,2,1,101
363393,2,51,2,41,2,2,1,101
364920,1,87,2,16,1,2,1,101
365470,2,87,1,48,7,4,1,586
365487,2,29,1,42,5,3,1,446
365821,2,87,2,16,5,4,2,101
366203,2,29,2,54,2,3,1,101
367167,2,83,2,19,2,2,1,101
367233,2,35,2,19,2,2,1,101
367349,2,54,2,56,7,3,3,725
367991,1,71,2,56,3,2,4,101
368089,1,47,2,56,4,1,4,101
368125,2,24,2,56,2,5,1,101
368218,1,32,2,50,7,5,3,780
368443,1,35,2,30,3,2,3,101
369293,2,64,2,61,3,3,3,453
369354,1,54,1,36,3,3,1,101
369770,1,32,2,62,5,5,4,101
370385,1,35,2,26,5,3,3,579
370389,1,35,2,53,1,5,4,797
370570,2,79,2,62,7,1,1,799
371259,2,14,1,28,1,4,3,796
372591,2,79,2,61,3,2,4,101
372760,1,77,1,44,5,2,1,101
372774,2,60,2,4,3,4,3,101
372815,1,44,1,50,5,5,1,101
372856,2,60,1,43,1,3,3,101
372958,1,48,1,43,3,4,1,390
373427,2,61,1,5,5,4,2,101
373657,2,70,2,14,1,3,1,101
373676,1,70,2,34,2,2,4,725
373761,2,63,2,56,7,3,4,101
373775,1,87,2,39,2,3,3,271
373839,2,44,1,27,7,4,2,101
373840,1,87,2,43,2,3,4,101
373945,1,15,1,14,7,1,2,285
374136,1,32,2,7,5,5,4,101
374219,1,32,1,29,1,1,1,101
374318,2,27,2,63,1,3,1,101
374387,2,76,1,27,1,4,2,101
374600,1,49,1,43,1,1,1,284
374644,2,45,2,28,4,4,2,101
374663,2,27,1,50,4,5,1,101
374731,2,32,1,35,5,4,1,101
374762,2,53,1,63,4,1,4,101
376932,1,86,1,16,2,3,1,270
377126,1,78,2,9,1,1,2,786
377235,2,32,1,52,5,4,4,500
377295,2,46,2,32,7,4,4,287
377305,2,57,2,58,5,2,1,101
377697,1,74,1,43,2,3,2,101
377699,1,35,1,37,2,5,1,594
377710,1,69,2,37,1,3,2,101
377775,1,79,1,50,1,5,1,101
377886,1,37,2,30,5,1,3,101
377895,2,79,1,16,2,1,2,101
378279,2,36,2,53,7,1,3,101
378592,1,36,2,58,3,3,1,101
378837,1,85,2,36,5,1,2,710
378871,2,50,2,43,7,5,1,101
381105,2,70,1,8,3,1,2,101
381834,1,37,2,16,2,1,1,101
382512,2,36,1,16,6,1,2,101
383120,2,47,2,62,5,3,1,508
383188,2,60,1,35,6,1,1,101
383652,2,68,1,62,3,1,1,101
384228,2,51,1,28,3,1,1,268
384343,2,44,2,45,6,3,2,784
384512,1,15,2,34,7,2,2,786
386375,1,82,2,50,6,3,1,101
386403,1,37,2,44,4,2,3,101
386537,2,37,1,54,5,1,3,101
386738,2,69,2,16,6,2,4,670
386921,2,63,1,40,2,2,3,385
386940,1,60,2,33,4,2,3,802
387055,1,37,2,51,7,3,4,599
389522,2,41,2,29,7,1,4,101
389575,2,64,2,27,6,1,4,101
389645,1,80,1,17,6,3,4,312
389931,2,41,2,36,5,2,4,101
389983,1,69,1,62,4,5,4,101
390001,1,62,2,48,6,2,4,286
390149,1,41,1,62,6,3,3,101
390180,2,37,1,31,4,2,4,101
390255,2,69,1,39,4,2,4,101
390885,2,80,1,28,7,1,4,304
391061,2,51,1,50,4,1,3,101
