TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2,52,2,23,5,3,aa,2,523
2,86,1,2,7,2,aa,3,548
2,82,1,35,5,5,aa,3,542
2,24,2,2,3,4,aa,1,268
2,52,2,8,1,5,aa,2,636
2,56,1,27,3,5,aa,2,562
2,67,1,60,7,2,aa,1,101
2,43,1,40,4,3,aa,1,633
2,44,2,50,6,3,aa,3,101
2,67,1,60,1,3,aa,3,101
2,69,1,14,3,5,aa,2,101
2,69,1,27,3,3,aa,3,101
2,18,1,20,1,1,aa,3,101
2,35,2,45,3,4,aa,2,395
2,83,1,57,4,4,aa,3,576
2,40,1,45,3,3,aa,4,502
2,53,2,55,3,5,aa,2,101
2,39,2,25,6,3,aa,4,101
2,55,1,15,4,4,aa,2,269
2,44,1,45,5,4,aa,1,101
2,64,1,18,5,1,aa,4,101
2,27,1,42,2,5,aa,4,761
2,51,2,44,3,5,aa,4,496
2,82,1,22,5,4,aa,1,101
2,58,2,59,6,1,aa,3,635
2,58,2,4,6,5,aa,4,101
2,80,1,10,3,3,aa,3,101
2,83,1,9,6,4,aa,1,101
2,41,1,63,1,2,aa,4,510
2,21,2,43,5,4,aa,1,727
2,34,2,19,2,5,aa,2,101
2,33,2,24,7,2,aa,4,263
2,70,2,43,7,4,aa,4,101
2,35,1,36,7,5,aa,2,101
2,21,1,3,4,4,aa,3,101
2,87,2,49,5,2,aa,1,101
2,80,2,15,1,4,aa,4,101
2,19,2,20,5,5,aa,1,101
2,51,1,34,5,5,aa,3,103
2,54,1,31,2,1,aa,1,101
2,69,2,60,4,2,aa,4,101
2,45,1,54,1,3,aa,2,465
2,44,1,61,2,2,aa,4,101
2,35,2,35,6,1,aa,1,374
2,61,2,51,7,1,aa,1,594
2,28,1,58,6,2,aa,4,101
2,44,2,49,1,1,aa,4,101
2,69,2,20,2,4,aa,2,101
2,68,2,35,6,2,aa,4,366
2,54,1,50,5,1,aa,2,687
2,44,1,61,1,4,aa,2,101
2,69,2,14,1,1,aa,2,101
2,69,1,40,2,3,aa,3,691
2,20,1,28,2,2,aa,1,101
2,64,1,38,6,5,aa,4,725
2,59,1,57,2,3,aa,2,101
2,51,2,3,7,5,aa,4,689
2,18,1,9,6,3,aa,3,101
2,51,2,44,4,2,aa,4,569
2,42,1,14,4,2,aa,4,262
2,49,1,3,4,3,aa,2,652
2,66,2,10,2,2,aa,4,101
2,81,1,27,3,2,aa,2,101
2,18,1,30,7,3,aa,2,101
2,52,1,50,4,1,aa,2,101
2,60,2,28,2,2,aa,3,767
2,25,2,45,7,2,aa,2,101
2,20,1,23,3,2,aa,1,101
2,67,1,17,7,4,aa,3,289
2,58,1,15,3,4,aa,1,101
2,28,2,46,3,3,aa,1,101
2,80,2,37,3,3,aa,4,101
2,51,2,3,3,5,aa,1,101
2,48,2,35,5,3,aa,3,69
2,52,1,8,2,2,aa,3,632
2,53,1,28,3,5,aa,4,101
2,86,2,54,2,1,aa,2,101
2,18,1,9,4,5,aa,3,101
2,66,1,10,2,1,aa,3,101
2,69,2,38,5,3,aa,3,101
2,39,2,0,5,5,aa,1,101
2,43,2,49,2,2,aa,1,636
2,20,2,55,4,1,aa,1,385
2,57,1,10,4,5,aa,4,101
2,51,1,56,3,1,aa,1,101
2,70,2,12,1,3,aa,3,717
2,35,1,19,3,2,aa,1,101
2,24,1,59,2,4,aa,2,101
2,69,2,10,5,2,aa,4,101
2,80,2,59,2,3,aa,3,753
2,45,2,46,1,1,aa,4,101
2,24,2,47,1,3,aa,1,101
2,43,1,54,7,2,aa,4,639
2,42,1,60,4,5,aa,3,101
2,44,1,3,1,3,aa,1,672
2,52,2,19,2,5,aa,4,101
2,83,2,45,3,2,aa,1,101
2,51,2,12,2,3,aa,4,101
2,70,2,6,2,3,aa,2,565
2,74,2,9,4,2,aa,4,587
2,32,1,36,6,5,aa,1,101
2,18,2,9,7,1,aa,1,101
2,34,2,48,3,2,aa,4,725
2,52,1,44,2,4,aa,1,101
2,42,2,30,2,1,aa,4,330
2,86,1,54,5,4,aa,1,101
2,51,2,12,2,1,aa,1,101
2,39,2,30,4,3,aa,2,101
2,51,1,45,6,3,aa,4,101
2,69,2,14,5,1,aa,1,101
2,80,2,39,1,4,aa,4,101
2,25,2,57,1,4,aa,1,101
2,26,2,56,3,2,aa,4,101
2,46,1,34,1,4,aa,1,101
2,33,1,0,3,1,aa,1,101
2,82,2,63,6,3,aa,2,497
2,14,2,57,2,4,aa,3,2
2,64,2,46,3,1,aa,4,101
2,51,2,45,3,5,aa,2,101
2,46,2,50,1,3,aa,4,504
2,30,1,0,3,3,aa,3,465
2,64,1,27,5,3,aa,4,101
2,69,2,14,2,4,aa,4,101
2,18,1,9,7,5,aa,4,101
2,82,2,25,3,4,aa,2,101
2,58,2,15,1,3,aa,2,101
2,83,2,27,3,1,aa,4,101
2,29,1,47,6,4,aa,3,101
2,55,2,34,3,1,aa,2,77
2,19,2,20,7,2,aa,4,101
2,69,2,27,4,2,aa,2,101
2,20,1,30,3,4,aa,4,101
2,78,2,40,5,5,aa,1,691
2,59,1,2,1,4,aa,3,651
2,70,2,36,4,5,aa,1,101
2,30,1,3,7,4,aa,3,399
2,40,2,7,2,1,aa,2,320
2,29,2,38,2,4,aa,4,761
2,16,2,38,2,2,aa,4,599
2,88,1,19,6,2,aa,2,101
2,66,1,19,7,2,aa,2,271
2,69,2,20,4,3,aa,1,101
2,40,2,29,5,4,aa,1,655
2,52,1,23,5,4,aa,1,520
2,53,1,19,2,1,aa,4,101
2,30,1,44,1,5,aa,2,101
2,22,2,19,3,1,aa,2,101
2,86,1,49,6,4,aa,4,101
2,35,1,41,2,2,aa,2,545
2,53,2,54,2,3,aa,3,101
2,64,1,38,5,5,aa,1,726
2,49,2,34,6,4,aa,4,114
2,69,2,18,1,4,aa,3,101
2,51,2,11,7,5,aa,3,101
2,88,2,19,5,2,aa,4,101
2,20,2,55,6,4,aa,2,592
2,86,1,49,1,1,aa,1,101
2,37,2,2,2,5,aa,2,101
2,51,2,32,5,5,aa,3,629
2,44,1,49,3,4,aa,4,592
2,39,1,17,1,1,aa,1,372
2,20,1,2,1,2,aa,1,101
2,34,2,19,5,2,aa,3,101
2,71,1,32,6,4,aa,2,374
2,51,1,3,4,4,aa,2,101
2,39,1,41,1,4,aa,1,727
2,59,2,57,4,1,aa,2,101
2,14,1,61,6,2,aa,1,27
2,83,2,12,6,2,aa,3,576
2,37,2,39,2,4,aa,2,725
2,58,1,19,5,4,aa,3,101
2,20,2,44,2,4,aa,1,101
2,51,2,44,1,3,aa,2,101
2,52,1,54,7,1,aa,4,101
2,30,2,2,6,1,aa,3,101
2,61,1,17,4,3,aa,1,101
2,52,2,58,6,3,aa,3,101
2,53,2,28,6,2,aa,1,101
2,35,1,18,4,5,aa,2,101
2,51,1,3,6,4,aa,4,632
2,35,2,59,3,3,aa,1,101
2,67,1,40,5,2,aa,2,725
2,57,1,17,3,5,aa,4,101
2,20,1,43,2,4,aa,2,101
2,86,1,2,5,2,aa,2,551
2,21,1,2,5,5,aa,1,101
2,49,1,35,2,3,aa,2,96
2,86,1,49,1,4,aa,3,101
2,60,1,9,6,4,aa,1,101
2,70,1,12,7,5,aa,2,717
2,53,2,52,6,5,aa,1,101
2,80,2,23,1,3,aa,4,101
2,87,1,23,7,5,aa,1,101
2,51,1,32,2,1,aa,4,100
2,18,2,54,4,4,aa,4,726
2,70,1,43,3,4,aa,3,670
2,39,2,0,3,1,aa,2,101
2,70,2,20,5,2,aa,4,101
2,28,1,3,3,2,aa,1,101
2,69,1,20,4,4,aa,4,101
2,53,1,2,5,2,aa,3,101
2,74,1,61,4,5,aa,4,386
2,28,2,9,7,2,aa,1,486
2,18,1,23,1,3,aa,3,101
2,39,2,50,4,2,aa,4,383
2,20,2,42,2,2,aa,3,101
2,35,2,30,3,5,aa,3,375
2,82,1,35,4,2,aa,3,648
2,78,1,46,3,4,aa,2,270
2,83,2,49,7,1,aa,4,101
2,20,1,55,2,5,aa,1,508
2,52,2,57,7,3,aa,4,101
2,47,2,34,3,1,aa,4,101
2,72,1,50,5,2,aa,3,505
2,67,2,60,7,2,aa,4,357
2,70,1,36,6,2,aa,2,498
2,35,1,50,4,1,aa,4,579
2,89,1,19,3,5,aa,2,101
2,57,2,16,2,2,aa,2,101
2,25,2,57,6,1,aa,1,101
2,50,2,34,4,5,aa,3,126
2,20,2,46,1,1,aa,1,101
2,19,2,54,5,3,aa,3,453
2,19,1,57,2,4,aa,4,599
2,74,2,2,6,1,aa,3,651
2,83,1,12,1,4,aa,4,505
2,43,2,29,3,3,aa,1,637
2,51,2,44,5,4,aa,2,101
2,24,2,54,7,4,aa,4,650
2,80,2,17,7,1,aa,3,101
2,26,1,43,5,1,aa,1,712
2,56,2,27,5,2,aa,3,562
2,30,2,2,1,1,aa,2,101
2,54,2,35,7,1,aa,3,112
2,51,1,44,1,5,aa,2,101
2,19,2,22,4,1,aa,4,101
2,78,2,45,6,5,aa,1,578
2,27,2,8,3,3,aa,1,393
2,14,2,57,3,3,aa,3,94
2,80,1,33,5,4,aa,3,510
2,82,2,12,6,1,aa,2,101
2,80,2,10,7,3,aa,2,101
2,24,1,54,6,1,aa,1,653
2,21,2,23,7,5,aa,1,101
2,20,1,46,4,3,aa,3,101
2,60,1,11,6,1,aa,4,694
2,60,1,16,7,1,aa,2,101
2,47,1,34,4,3,aa,3,101
2,60,1,11,7,4,aa,4,703
2,35,2,18,2,4,aa,4,101
2,24,2,51,7,5,aa,1,756
2,52,2,55,5,1,aa,4,397
2,64,1,45,3,3,aa,4,101
2,52,2,23,5,3,aa,2,101
2,66,1,30,5,1,aa,4,349
2,27,1,47,1,4,aa,2,101
2,86,1,49,7,5,aa,2,101
2,52,1,44,3,3,aa,4,101
2,47,2,15,3,1,aa,2,376
2,83,2,37,2,3,aa,1,101
2,58,1,4,1,3,aa,3,101
2,24,2,58,5,1,aa,1,467
2,70,2,33,1,4,aa,2,727
2,67,1,61,7,1,aa,4,101
2,58,2,21,6,1,aa,2,752
2,52,2,28,4,2,aa,4,101
2,64,1,19,1,2,aa,2,101
2,39,1,46,5,2,aa,3,101
2,49,1,39,4,2,aa,4,699
2,20,2,14,5,4,aa,1,390
2,78,2,46,5,4,aa,4,101
2,35,2,19,5,2,aa,4,101
2,80,1,63,3,3,aa,3,500
2,83,1,50,3,4,aa,4,101
2,35,1,17,7,1,aa,3,331
