EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5
301884,1,57,1,aa,21,3,1
302831,2,42,1,aa,23,4,1
302885,2,42,1,aa,34,4,1
303271,2,70,1,aa,61,3,2
303898,2,46,1,aa,23,4,4
303937,2,62,1,aa,27,3,2
304881,2,42,1,aa,61,3,4
305613,1,45,1,aa,61,5,4
305693,1,80,2,aa,55,2,4
306905,1,24,1,aa,27,3,4
307711,2,70,2,aa,13,5,4
308410,2,21,2,aa,50,3,2
308574,1,41,1,aa,14,4,3
308895,2,49,1,aa,17,4,2
309072,1,46,2,aa,62,4,3
310421,2,19,2,aa,36,5,4
310634,2,30,1,aa,36,4,2
310878,1,69,1,aa,53,2,3
310943,1,69,1,aa,39,6,3
311018,1,41,2,aa,36,6,4
311127,1,69,1,aa,9,6,3
311216,2,69,2,aa,39,3,4
311388,2,81,2,aa,35,6,2
311515,1,21,2,aa,35,6,3
311533,1,85,1,aa,29,7,3
311566,1,78,1,aa,53,6,3
311570,2,78,2,aa,38,5,4
311651,2,27,1,aa,63,5,4
314488,2,25,1,aa,20,6,4
314534,1,49,1,aa,49,6,2
315025,2,78,1,aa,48,2,2
315037,2,87,1,aa,22,6,2
315247,2,36,1,aa,63,2,2
315521,2,36,1,aa,51,1,1
315717,1,39,1,aa,27,5,3
316106,2,39,1,aa,41,2,4
316219,2,30,2,aa,23,2,2
316258,2,14,2,aa,29,5,4
316542,2,17,2,aa,41,6,1
316561,2,39,2,aa,25,6,2
316906,2,54,2,aa,27,6,2
317038,2,39,2,aa,12,6,2
317158,2,20,2,aa,23,6,2
317227,2,39,2,aa,9,6,1
317407,1,39,2,aa,29,6,3
318127,2,20,2,aa,14,6,2
318940,1,89,2,aa,28,6,4
319389,1,38,2,aa,14,5,2
322708,1,38,2,aa,28,5,2
322784,1,20,2,aa,62,6,2
322843,1,47,2,aa,50,5,2
322847,1,38,2,aa,10,6,3
322860,1,14,1,aa,62,2,2
322951,1,18,2,aa,36,2,4
322963,1,63,1,aa,42,1,3
323122,1,83,1,aa,61,6,4
323194,1,39,1,aa,62,1,4
323257,1,87,1,aa,42,5,3
323306,1,78,1,aa,42,2,2
323340,1,39,1,aa,28,3,4
323516,2,81,2,aa,18,7,3
323602,1,14,1,aa,63,2,3
323634,1,31,1,aa,63,1,3
323787,2,49,1,aa,28,7,4
323823,2,56,1,aa,15,1,2
323836,1,24,1,aa,43,2,4
323852,2,81,1,aa,39,2,2
323966,2,50,2,aa,62,1,4
324054,2,20,2,aa,43,3,4
324088,1,76,2,aa,28,7,4
324158,1,60,2,aa,37,3,4
324209,1,77,2,aa,32,3,2
324293,1,39,2,aa,50,3,2
324296,1,77,2,aa,37,3,4
324344,1,60,1,aa,33,3,1
324387,1,59,1,aa,43,1,3
324433,1,50,2,aa,61,2,2
324485,2,62,1,aa,39,2,3
328660,2,75,1,aa,57,2,3
329325,2,76,1,aa,23,2,1
333634,1,21,1,aa,20,2,1
334137,1,84,2,aa,23,4,2
334228,2,56,2,aa,42,3,3
334286,1,47,2,aa,57,4,3
334581,2,31,1,aa,5,3,2
334589,1,64,2,aa,42,5,3
334595,1,29,2,aa,4,5,3
334867,2,71,2,aa,26,6,3
336057,2,61,2,aa,14,6,1
336309,1,62,2,aa,5,5,1
336337,2,51,2,aa,33,6,1
339997,2,31,2,aa,40,6,2
340430,2,54,2,aa,1,4,4
340795,2,86,2,aa,35,4,4
341097,1,29,2,aa,52,6,2
341509,1,75,1,aa,26,5,4
342215,1,51,1,aa,23,6,3
342477,2,47,2,aa,23,4,2
343228,1,75,1,aa,5,5,4
344551,2,49,1,aa,58,6,4
345102,1,29,1,aa,58,6,3
345249,2,31,1,aa,58,1,4
345327,2,60,1,aa,14,6,1
345804,2,24,1,aa,9,7,1
346108,2,15,1,aa,58,2,1
346398,2,21,1,aa,40,3,4
347030,2,50,2,aa,40,5,2
347389,1,21,1,aa,32,5,2
348124,1,31,1,aa,35,6,4
350281,1,16,2,aa,52,2,4
350764,2,47,2,aa,15,7,3
350786,1,62,1,aa,9,5,4
350917,1,20,2,aa,6,5,4
351146,2,53,1,aa,35,4,4
351161,2,19,1,aa,15,6,4
351267,1,47,2,aa,42,2,4
351443,2,62,2,aa,41,7,4
351524,2,24,2,aa,15,6,3
351588,2,19,2,aa,5,4,4
351602,1,64,1,aa,15,1,3
351671,2,69,2,aa,2,3,3
352140,1,65,1,aa,14,1,4
352141,1,71,2,aa,15,6,4
353211,1,56,1,aa,33,5,3
353529,1,84,1,aa,33,2,4
357888,2,84,2,aa,23,3,4
357891,1,61,1,aa,4,3,4
357938,2,78,2,aa,34,3,4
357956,2,50,1,aa,10,1,3
357969,2,62,2,aa,42,7,4
358076,1,69,2,aa,5,6,1
358209,2,14,1,aa,24,3,2
358268,2,44,1,aa,23,6,4
358316,2,69,1,aa,23,6,4
358324,1,61,1,aa,33,3,2
360486,2,72,1,aa,40,5,3
360777,1,23,1,aa,35,7,4
361248,1,15,1,aa,2,3,1
361480,2,83,1,aa,33,5,3
361916,2,17,1,aa,40,4,1
362166,2,46,1,aa,36,7,1
362233,1,62,2,aa,14,1,3
362446,2,60,2,aa,42,1,1
363032,1,17,2,aa,42,5,1
363305,2,17,2,aa,38,7,1
363306,2,55,2,aa,48,5,1
363393,2,51,2,aa,41,6,2
364920,1,87,2,aa,16,1,1
365470,2,87,1,aa,48,1,1
365487,2,29,1,aa,42,6,1
365821,2,87,2,aa,16,6,2
366203,2,29,2,aa,54,5,1
367167,2,83,2,aa,19,4,1
367233,2,35,2,aa,19,1,1
367349,2,54,2,aa,56,3,1
367991,1,71,2,aa,56,1,1
368089,1,47,2,aa,56,5,1
368125,2,24,2,aa,56,2,1
368218,1,32,2,aa,50,5,3
368443,1,35,2,aa,30,1,1
369293,2,64,2,aa,61,2,4
369354,1,54,1,aa,36,2,3
369770,1,32,2,aa,62,2,3
370385,1,35,2,aa,26,2,4
370389,1,35,2,aa,53,5,3
370570,2,79,2,aa,62,4,3
371259,2,14,1,aa,28,5,4
372591,2,79,2,aa,61,3,4
372760,1,77,1,aa,44,5,3
372774,2,60,2,aa,4,5,3
372815,1,44,1,aa,50,7,1
372856,2,60,1,aa,43,4,4
372958,1,48,1,aa,43,1,4
373427,2,61,1,aa,5,4,1
373657,2,70,2,aa,14,1,4
373676,1,70,2,aa,34,3,3
373761,2,63,2,aa,56,4,3
373775,1,87,2,aa,39,7,2
373839,2,44,1,aa,27,7,4
373840,1,87,2,aa,43,5,2
373945,1,15,1,aa,14,5,1
374136,1,32,2,aa,7,7,2
374219,1,32,1,aa,29,7,2
374318,2,27,2,aa,63,1,2
374387,2,76,1,aa,27,3,2
374600,1,49,1,aa,43,3,4
374644,2,45,2,aa,28,1,2
374663,2,27,1,aa,50,1,1
374731,2,32,1,aa,35,1,4
374762,2,53,1,aa,63,3,1
376932,1,86,1,aa,16,1,1
377126,1,78,2,aa,9,7,4
377235,2,32,1,aa,52,2,1
377295,2,46,2,aa,32,5,1
377305,2,57,2,aa,58,3,4
377697,1,74,1,aa,43,1,1
377699,1,35,1,aa,37,4,3
377710,1,69,2,aa,37,5,1
377775,1,79,1,aa,50,7,1
377886,1,37,2,aa,30,6,1
377895,2,79,1,aa,16,5,1
378279,2,36,2,aa,53,4,1
378592,1,36,2,aa,58,6,3
378837,1,85,2,aa,36,3,1
378871,2,50,2,aa,43,7,2
381105,2,70,1,aa,8,2,3
381834,1,37,2,aa,16,3,2
382512,2,36,1,aa,16,5,1
383120,2,47,2,aa,62,5,1
383188,2,60,1,aa,35,4,3
383652,2,68,1,aa,62,6,2
384228,2,51,1,aa,28,6,3
384343,2,44,2,aa,45,7,1
384512,1,15,2,aa,34,2,2
386375,1,82,2,aa,50,7,2
386403,1,37,2,aa,44,7,3
386537,2,37,1,aa,54,3,1
386738,2,69,2,aa,16,7,2
386921,2,63,1,aa,40,2,2
386940,1,60,2,aa,33,3,3
387055,1,37,2,aa,51,6,4
389522,2,41,2,aa,29,2,4
389575,2,64,2,aa,27,4,4
389645,1,80,1,aa,17,6,4
389931,2,41,2,aa,36,6,4
389983,1,69,1,aa,62,6,4
390001,1,62,2,aa,48,5,4
390149,1,41,1,aa,62,4,3
390180,2,37,1,aa,31,4,4
390255,2,69,1,aa,39,2,4
390885,2,80,1,aa,28,6,4
391061,2,51,1,aa,50,7,4
