MONTHS_OF_SERVICE,TAETIGKEITSSCHLUESSEL4,B52,TAETIGKEITSSCHLUESSEL5
58,1,575.9843908849705,4
42,1,1192.902934585675,4
43,1,1104.3467993151662,4
42,1,1157.9204393099371,4
43,1,1192.8566898462886,4
43,1,1159.8928731705657,4
46,1,1149.1105873719612,4
42,1,1159.597560679747,4
59,1,1128.5568119833977,4
58,1,1202.803680550414,4
58,1,1158.6703664662452,4
59,1,1041.0899078620957,4
58,1,1142.988637060983,4
58,1,1040.0615749784274,4
62,1,1211.1021381280032,4
60,1,1050.2164056594088,4
