EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
267609,2,47,1,aa,54,1,1,710
268131,2,15,2,aa,6,5,4,416
268345,1,64,2,aa,58,5,3,101
268474,1,15,2,aa,10,3,1,704
268544,1,67,2,aa,44,7,4,724
268571,1,67,2,aa,59,1,2,791
268749,1,67,2,aa,56,3,2,101
268830,1,67,2,aa,44,3,2,101
268927,1,44,1,aa,56,7,4,101
269256,1,76,2,aa,30,5,4,787
269408,1,67,2,aa,22,1,2,101
269668,1,81,2,aa,6,3,2,101
269827,1,83,2,aa,48,7,3,101
269864,1,46,1,aa,10,3,4,101
269891,1,66,2,aa,56,3,2,101
270035,1,83,2,aa,48,3,4,101
270117,2,50,1,aa,44,3,2,596
270160,2,90,2,aa,30,3,2,594
270175,2,54,2,aa,17,3,2,596
270298,2,83,1,aa,55,7,2,101
270542,2,18,2,aa,37,7,2,101
270578,2,14,2,aa,54,2,2,629
270845,2,35,2,aa,39,5,3,101
271210,2,86,2,aa,39,1,4,321
275276,2,83,2,aa,19,2,2,101
275390,2,50,2,aa,28,4,2,321
278908,1,14,2,aa,2,4,2,101
280581,2,16,2,aa,37,4,3,321
280678,2,59,2,aa,11,4,2,101
280680,2,44,2,aa,57,4,3,101
280727,2,59,2,aa,13,5,1,271
281411,2,19,1,aa,45,2,3,704
281755,1,59,1,aa,13,5,2,758
281971,2,59,1,aa,18,5,4,270
282179,2,82,1,aa,57,6,2,101
282745,2,86,1,aa,18,4,1,596
282941,2,57,1,aa,18,1,3,101
283321,1,75,1,aa,6,3,1,101
283416,1,39,1,aa,18,4,3,599
283480,1,86,1,aa,6,4,2,184
283512,1,32,1,aa,30,3,4,334
283650,1,39,1,aa,31,4,1,755
283754,1,57,1,aa,52,6,2,186
283770,1,59,1,aa,22,2,2,330
283971,1,75,1,aa,31,3,4,548
284004,1,56,1,aa,29,4,3,185
284177,2,59,1,aa,58,6,1,101
284199,2,30,1,aa,30,5,3,101
284217,2,56,1,aa,29,6,1,548
284628,2,28,2,aa,30,4,4,101
284646,2,30,2,aa,29,4,1,101
287357,2,89,2,aa,0,3,3,595
287443,2,73,2,aa,1,3,3,101
288261,1,24,2,aa,44,5,4,784
288329,2,54,1,aa,37,1,1,101
288533,2,48,2,aa,44,5,3,101
289196,2,80,2,aa,44,2,3,101
289474,1,50,2,aa,13,6,4,101
290617,2,78,2,aa,44,6,1,101
290855,2,37,2,aa,23,2,1,101
290910,2,87,2,aa,4,2,1,377
291018,2,59,2,aa,0,3,4,376
291320,1,26,2,aa,15,1,1,293
291436,1,80,2,aa,58,6,3,726
291741,2,42,2,aa,29,1,1,185
291930,2,48,1,aa,4,2,1,532
292001,2,28,1,aa,37,1,4,379
292086,2,59,1,aa,46,5,3,807
292153,2,53,1,aa,11,2,1,257
292490,2,87,1,aa,4,2,1,285
292569,1,83,2,aa,58,6,2,530
292848,1,59,2,aa,52,4,1,256
295496,1,71,2,aa,19,4,1,284
295719,1,90,1,aa,23,5,2,382
299261,2,57,2,aa,35,3,1,535
299313,1,56,2,aa,33,4,1,101
299656,2,59,1,aa,41,4,1,101
300342,2,71,1,aa,34,5,1,101
301884,1,57,1,aa,21,3,1,101
302831,2,42,1,aa,23,4,1,101
302885,2,42,1,aa,34,4,1,133
303271,2,70,1,aa,61,3,2,101
303898,2,46,1,aa,23,4,4,101
303937,2,62,1,aa,27,3,2,710
304881,2,42,1,aa,61,3,4,101
305613,1,45,1,aa,61,5,4,101
305693,1,80,2,aa,55,2,4,101
306905,1,24,1,aa,27,3,4,101
307711,2,70,2,aa,13,5,4,101
308410,2,21,2,aa,50,3,2,101
308574,1,41,1,aa,14,4,3,384
308895,2,49,1,aa,17,4,2,101
309072,1,46,2,aa,62,4,3,101
310421,2,19,2,aa,36,5,4,101
310634,2,30,1,aa,36,4,2,655
310878,1,69,1,aa,53,2,3,101
310943,1,69,1,aa,39,6,3,101
311018,1,41,2,aa,36,6,4,101
311127,1,69,1,aa,9,6,3,101
311216,2,69,2,aa,39,3,4,101
311388,2,81,2,aa,35,6,2,101
311515,1,21,2,aa,35,6,3,461
311533,1,85,1,aa,29,7,3,101
311566,1,78,1,aa,53,6,3,171
311570,2,78,2,aa,38,5,4,249
311651,2,27,1,aa,63,5,4,101
314488,2,25,1,aa,20,6,4,249
314534,1,49,1,aa,49,6,2,101
315025,2,78,1,aa,48,2,2,101
315037,2,87,1,aa,22,6,2,392
315247,2,36,1,aa,63,2,2,415
315521,2,36,1,aa,51,1,1,415
315717,1,39,1,aa,27,5,3,145
316106,2,39,1,aa,41,2,4,101
316219,2,30,2,aa,23,2,2,101
316258,2,14,2,aa,29,5,4,101
316542,2,17,2,aa,41,6,1,499
316561,2,39,2,aa,25,6,2,499
316906,2,54,2,aa,27,6,2,385
317038,2,39,2,aa,12,6,2,145
317158,2,20,2,aa,23,6,2,101
317227,2,39,2,aa,9,6,1,101
317407,1,39,2,aa,29,6,3,194
318127,2,20,2,aa,14,6,2,101
318940,1,89,2,aa,28,6,4,101
319389,1,38,2,aa,14,5,2,101
322708,1,38,2,aa,28,5,2,101
322784,1,20,2,aa,62,6,2,101
322843,1,47,2,aa,50,5,2,135
322847,1,38,2,aa,10,6,3,101
322860,1,14,1,aa,62,2,2,101
322951,1,18,2,aa,36,2,4,131
322963,1,63,1,aa,42,1,3,101
323122,1,83,1,aa,61,6,4,233
323194,1,39,1,aa,62,1,4,233
323257,1,87,1,aa,42,5,3,648
323306,1,78,1,aa,42,2,2,468
323340,1,39,1,aa,28,3,4,101
323516,2,81,2,aa,18,7,3,158
323602,1,14,1,aa,63,2,3,101
323634,1,31,1,aa,63,1,3,101
323787,2,49,1,aa,28,7,4,101
323823,2,56,1,aa,15,1,2,754
323836,1,24,1,aa,43,2,4,101
323852,2,81,1,aa,39,2,2,101
323966,2,50,2,aa,62,1,4,101
324054,2,20,2,aa,43,3,4,101
324088,1,76,2,aa,28,7,4,101
324158,1,60,2,aa,37,3,4,101
324209,1,77,2,aa,32,3,2,101
324293,1,39,2,aa,50,3,2,101
324296,1,77,2,aa,37,3,4,101
324344,1,60,1,aa,33,3,1,101
324387,1,59,1,aa,43,1,3,128
324433,1,50,2,aa,61,2,2,507
324485,2,62,1,aa,39,2,3,470
328660,2,75,1,aa,57,2,3,101
329325,2,76,1,aa,23,2,1,507
333634,1,21,1,aa,20,2,1,101
334137,1,84,2,aa,23,4,2,101
334228,2,56,2,aa,42,3,3,159
334286,1,47,2,aa,57,4,3,101
334581,2,31,1,aa,5,3,2,101
334589,1,64,2,aa,42,5,3,596
334595,1,29,2,aa,4,5,3,286
334867,2,71,2,aa,26,6,3,101
336057,2,61,2,aa,14,6,1,136
336309,1,62,2,aa,5,5,1,101
336337,2,51,2,aa,33,6,1,101
339997,2,31,2,aa,40,6,2,564
340430,2,54,2,aa,1,4,4,269
340795,2,86,2,aa,35,4,4,101
341097,1,29,2,aa,52,6,2,101
341509,1,75,1,aa,26,5,4,268
342215,1,51,1,aa,23,6,3,101
342477,2,47,2,aa,23,4,2,143
343228,1,75,1,aa,5,5,4,141
344551,2,49,1,aa,58,6,4,459
345102,1,29,1,aa,58,6,3,426
345249,2,31,1,aa,58,1,4,700
345327,2,60,1,aa,14,6,1,101
345804,2,24,1,aa,9,7,1,101
346108,2,15,1,aa,58,2,1,421
346398,2,21,1,aa,40,3,4,101
347030,2,50,2,aa,40,5,2,101
347389,1,21,1,aa,32,5,2,285
348124,1,31,1,aa,35,6,4,586
350281,1,16,2,aa,52,2,4,286
350764,2,47,2,aa,15,7,3,705
350786,1,62,1,aa,9,5,4,138
350917,1,20,2,aa,6,5,4,139
351146,2,53,1,aa,35,4,4,101
351161,2,19,1,aa,15,6,4,101
351267,1,47,2,aa,42,2,4,101
351443,2,62,2,aa,41,7,4,188
351524,2,24,2,aa,15,6,3,158
351588,2,19,2,aa,5,4,4,101
351602,1,64,1,aa,15,1,3,271
351671,2,69,2,aa,2,3,3,101
352140,1,65,1,aa,14,1,4,101
352141,1,71,2,aa,15,6,4,101
353211,1,56,1,aa,33,5,3,101
353529,1,84,1,aa,33,2,4,101
357888,2,84,2,aa,23,3,4,456
357891,1,61,1,aa,4,3,4,286
357938,2,78,2,aa,34,3,4,413
357956,2,50,1,aa,10,1,3,484
357969,2,62,2,aa,42,7,4,655
358076,1,69,2,aa,5,6,1,425
358209,2,14,1,aa,24,3,2,268
358268,2,44,1,aa,23,6,4,101
358316,2,69,1,aa,23,6,4,101
358324,1,61,1,aa,33,3,2,101
360486,2,72,1,aa,40,5,3,149
360777,1,23,1,aa,35,7,4,637
361248,1,15,1,aa,2,3,1,146
361480,2,83,1,aa,33,5,3,101
361916,2,17,1,aa,40,4,1,669
362166,2,46,1,aa,36,7,1,592
362233,1,62,2,aa,14,1,3,579
362446,2,60,2,aa,42,1,1,101
363032,1,17,2,aa,42,5,1,101
363305,2,17,2,aa,38,7,1,587
363306,2,55,2,aa,48,5,1,101
363393,2,51,2,aa,41,6,2,101
364920,1,87,2,aa,16,1,1,101
365470,2,87,1,aa,48,1,1,586
365487,2,29,1,aa,42,6,1,446
365821,2,87,2,aa,16,6,2,101
366203,2,29,2,aa,54,5,1,101
367167,2,83,2,aa,19,4,1,101
367233,2,35,2,aa,19,1,1,101
367349,2,54,2,aa,56,3,1,725
367991,1,71,2,aa,56,1,1,101
368089,1,47,2,aa,56,5,1,101
368125,2,24,2,aa,56,2,1,101
368218,1,32,2,aa,50,5,3,780
368443,1,35,2,aa,30,1,1,101
369293,2,64,2,aa,61,2,4,453
369354,1,54,1,aa,36,2,3,101
369770,1,32,2,aa,62,2,3,101
370385,1,35,2,aa,26,2,4,579
370389,1,35,2,aa,53,5,3,797
370570,2,79,2,aa,62,4,3,799
371259,2,14,1,aa,28,5,4,796
372591,2,79,2,aa,61,3,4,101
372760,1,77,1,aa,44,5,3,101
372774,2,60,2,aa,4,5,3,101
372815,1,44,1,aa,50,7,1,101
372856,2,60,1,aa,43,4,4,101
372958,1,48,1,aa,43,1,4,390
373427,2,61,1,aa,5,4,1,101
373657,2,70,2,aa,14,1,4,101
373676,1,70,2,aa,34,3,3,725
373761,2,63,2,aa,56,4,3,101
373775,1,87,2,aa,39,7,2,271
373839,2,44,1,aa,27,7,4,101
373840,1,87,2,aa,43,5,2,101
373945,1,15,1,aa,14,5,1,285
374136,1,32,2,aa,7,7,2,101
374219,1,32,1,aa,29,7,2,101
374318,2,27,2,aa,63,1,2,101
374387,2,76,1,aa,27,3,2,101
374600,1,49,1,aa,43,3,4,284
374644,2,45,2,aa,28,1,2,101
374663,2,27,1,aa,50,1,1,101
374731,2,32,1,aa,35,1,4,101
374762,2,53,1,aa,63,3,1,101
376932,1,86,1,aa,16,1,1,270
377126,1,78,2,aa,9,7,4,786
377235,2,32,1,aa,52,2,1,500
377295,2,46,2,aa,32,5,1,287
377305,2,57,2,aa,58,3,4,101
377697,1,74,1,aa,43,1,1,101
377699,1,35,1,aa,37,4,3,594
377710,1,69,2,aa,37,5,1,101
377775,1,79,1,aa,50,7,1,101
377886,1,37,2,aa,30,6,1,101
377895,2,79,1,aa,16,5,1,101
378279,2,36,2,aa,53,4,1,101
378592,1,36,2,aa,58,6,3,101
378837,1,85,2,aa,36,3,1,710
378871,2,50,2,aa,43,7,2,101
381105,2,70,1,aa,8,2,3,101
381834,1,37,2,aa,16,3,2,101
382512,2,36,1,aa,16,5,1,101
383120,2,47,2,aa,62,5,1,508
383188,2,60,1,aa,35,4,3,101
383652,2,68,1,aa,62,6,2,101
384228,2,51,1,aa,28,6,3,268
384343,2,44,2,aa,45,7,1,784
384512,1,15,2,aa,34,2,2,786
386375,1,82,2,aa,50,7,2,101
386403,1,37,2,aa,44,7,3,101
386537,2,37,1,aa,54,3,1,101
386738,2,69,2,aa,16,7,2,670
386921,2,63,1,aa,40,2,2,385
386940,1,60,2,aa,33,3,3,802
387055,1,37,2,aa,51,6,4,599
389522,2,41,2,aa,29,2,4,101
389575,2,64,2,aa,27,4,4,101
389645,1,80,1,aa,17,6,4,312
389931,2,41,2,aa,36,6,4,101
389983,1,69,1,aa,62,6,4,101
390001,1,62,2,aa,48,5,4,286
390149,1,41,1,aa,62,4,3,101
390180,2,37,1,aa,31,4,4,101
390255,2,69,1,aa,39,2,4,101
390885,2,80,1,aa,28,6,4,304
391061,2,51,1,aa,50,7,4,101
