B27,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
aa,1,819.0110617676247,5,63,4,101
aa,2,1037.6632898558805,2,63,3,682
aa,1,587.2036536655681,7,63,2,101
aa,2,1157.5352570697319,2,63,4,680
aa,2,1052.491365893312,5,63,4,249
aa,2,1044.3669012140529,2,63,4,101
aa,1,1040.0929055242657,5,63,4,101
aa,1,1128.990200805001,3,63,4,653
aa,2,1044.5191265303606,2,63,4,650
aa,1,1074.4112912629064,2,63,3,101
aa,1,928.7247600575943,6,63,3,101
aa,1,570.7806825667487,7,63,2,791
aa,1,930.766090684236,5,64,3,261
aa,1,217.18595074368807,3,64,4,101
aa,2,586.6240486222295,6,64,1,652
aa,1,877.1568774464763,6,64,1,648
aa,2,911.1011344775108,6,64,2,101
aa,1,648.6258412605553,1,64,4,101
aa,1,480.8189271812937,7,64,3,715
aa,2,562.789978027344,5,64,4,101
aa,1,716.2044305519207,7,64,4,294
aa,2,579.758211829068,6,64,2,101
aa,2,540.6564800753596,7,64,2,101
aa,2,691.5240845851055,5,64,4,101
aa,1,205.76629502756714,3,64,4,101
aa,1,1140.265098821133,5,64,2,101
aa,2,846.1051497124904,6,64,2,383
aa,2,751.2141366128814,6,64,4,101
aa,2,825.4292912174951,7,64,4,579
aa,2,823.0469054507649,6,64,3,467
aa,2,1143.6444172770211,6,64,1,101
aa,2,892.764555785258,6,64,1,592
aa,1,1.2943119281408055,3,65,2,101
aa,2,719.5884431793714,6,65,2,101
aa,1,677.7343631381183,2,66,2,101
aa,2,258.7032454421857,6,65,1,596
aa,2,484.0215977486485,2,66,3,460
aa,1,293.4247447612575,4,65,4,507
aa,2,823.0469054507649,6,66,4,501
aa,2,853.3319808494418,3,66,3,348
aa,1,1143.555589090683,6,66,1,101
aa,2,1226.0256905188483,3,66,3,712
aa,1,717.7218148713799,6,66,1,466
aa,2,709.9591240316832,6,66,4,455
aa,1,1133.256225033299,6,66,4,595
aa,1,604.3784784457971,2,66,4,101
aa,2,68.58670184457078,6,66,1,187
aa,1,492.8012264602495,6,66,4,101
aa,1,217.29503319091745,5,66,1,101
aa,1,447.1393034682034,2,66,1,101
aa,2,1038.9780408582897,3,66,4,159
aa,2,999.5437207567427,4,66,1,259
aa,2,256.891003030288,1,66,3,189
aa,1,444.6542632704994,3,66,1,101
aa,2,737.2588226466155,1,67,4,101
aa,2,845.561610184469,2,67,4,371
aa,1,909.9768362350164,1,67,3,101
aa,2,801.1524994833127,5,67,2,414
aa,1,929.9012007687849,5,67,4,101
aa,1,733.8467372161587,6,67,2,365
aa,1,240.10864987501355,4,67,1,586
aa,1,886.2527320937893,4,67,1,101
aa,1,104.5741545189187,6,67,3,694
aa,2,423.29502257413776,6,67,1,101
aa,2,285.8135261607954,3,67,1,101
aa,2,1128.5035756252753,3,67,3,701
aa,1,671.1032223143098,3,68,4,271
aa,1,264.82499807340446,3,67,1,566
aa,2,244.48732947946132,5,68,4,577
aa,1,831.501164561039,6,68,4,291
aa,2,486.76826762779984,6,68,1,249
aa,1,709.6182428128326,6,68,3,101
aa,1,562.789978027344,3,68,3,285
aa,1,264.67277521026267,3,68,1,142
aa,1,1131.4627942343516,3,68,1,560
aa,1,351.25998198192866,5,68,4,136
aa,2,216.49753599137057,5,68,3,688
aa,1,838.8521689804306,3,68,4,101
aa,2,246.8689463734391,1,69,3,101
aa,1,31.027136827798955,3,69,4,101
aa,1,850.7461871948307,5,69,1,464
aa,1,602.4863499562467,7,69,4,652
aa,2,59.02412780278276,7,69,3,101
aa,2,614.6932428869433,3,69,3,101
aa,1,343.39659920464806,4,69,3,101
aa,1,1240.5163395619006,2,69,2,284
aa,1,179.1724471403281,5,69,3,101
aa,1,216.14453070563823,5,69,4,101
aa,1,908.4161170569298,1,69,3,101
aa,2,424.3234001635424,2,69,3,430
aa,2,609.4168284560901,3,69,1,466
aa,2,569.5504771970711,5,69,4,101
aa,2,284.43197735806206,1,69,3,101
aa,2,462.0973492472121,7,70,4,101
aa,1,876.6536275071371,1,69,4,101
aa,2,1039.2094313087596,7,70,3,101
aa,1,144.05898784261467,3,69,4,101
aa,2,395.52612692953414,2,70,1,233
aa,1,234.24880992182514,7,69,2,670
aa,2,671.3563995171662,1,70,3,101
aa,2,908.3678641060309,1,69,3,414
aa,1,343.93708165909015,5,70,1,101
aa,2,177.64171702375486,6,69,4,101
aa,2,59.31180431941486,5,70,3,101
aa,2,647.6946335233092,5,69,3,101
aa,2,88.1797029231202,4,70,3,522
aa,2,935.4552510935815,6,70,2,487
aa,2,1049.9974957578909,7,70,1,101
aa,2,363.53157749650495,4,70,4,665
aa,1,741.4521463190089,2,70,1,101
aa,1,1261.2877179421025,3,70,1,508
aa,1,745.2350647260967,1,70,1,101
aa,2,172.23198058197414,7,70,2,101
aa,1,737.7662125791579,5,71,2,101
aa,1,361.29270376271575,1,70,1,101
aa,2,1156.456495584697,3,71,4,328
aa,2,705.3236956051272,1,70,1,101
aa,2,734.7513218872205,6,71,1,101
aa,1,366.6349524964232,5,70,3,651
aa,2,1157.6546881477766,3,71,1,594
aa,1,1104.7772805810512,7,70,2,101
aa,1,81.4428594889732,6,71,1,101
aa,2,1195.4634443685864,4,70,1,101
aa,1,986.0960264841145,4,71,3,364
aa,2,607.7566989651569,7,70,1,101
aa,1,1039.2043410186457,4,72,3,159
aa,1,862.9467178239863,4,70,1,101
aa,2,1193.571926336954,4,73,2,101
aa,2,58.92810536896501,5,71,1,544
aa,1,446.4965385923309,3,73,1,270
aa,2,1260.9297101329842,6,71,3,629
aa,2,716.9648216346344,2,73,2,496
aa,2,1159.04962032187,6,71,1,595
aa,1,604.5583544312084,7,73,4,366
aa,1,293.08304332681485,2,71,2,320
aa,2,174.792373436581,7,73,2,443
aa,2,1135.616680281942,2,71,3,648
aa,1,1151.5183019892515,2,73,3,349
aa,2,62.15468912984216,7,71,4,654
aa,1,216.03034435521224,5,73,1,101
aa,1,694.8318863748498,1,71,4,798
aa,1,892.5851513162434,2,74,1,101
aa,1,930.766090684236,5,72,1,268
aa,1,351.25998198192866,5,74,1,158
aa,1,131.4177510322457,4,72,4,317
aa,1,716.836506972014,5,74,4,101
aa,2,376.49392921535184,2,72,4,415
aa,1,709.9591240316832,6,74,1,471
aa,1,1158.952937273203,6,72,1,626
aa,2,684.6206080897409,2,75,1,541
aa,1,562.789978027344,5,72,1,101
aa,1,1259.4751528149159,3,75,1,506
aa,1,995.8491753041332,5,72,1,101
aa,2,1097.8926251367193,5,75,1,101
aa,1,614.9728571206443,3,73,4,317
aa,2,377.42386687425255,2,75,3,460
aa,1,62.94112927955013,4,73,1,101
aa,1,517.6478926323057,1,75,4,372
aa,1,879.6015777584296,1,73,4,631
aa,1,892.3014239569317,1,75,1,470
aa,1,348.6703262784119,4,73,1,101
aa,1,347.0851392602009,4,76,3,258
aa,1,347.1089253543658,3,73,1,101
aa,1,1108.8866313003257,1,76,4,101
aa,1,1105.209692819436,1,73,4,101
aa,2,721.108156052803,6,76,1,101
aa,2,671.2553373678488,6,74,1,534
aa,1,1107.4812293800828,2,76,1,101
aa,2,216.88692564183765,5,74,4,523
aa,1,1109.7735411214148,1,76,4,101
aa,2,718.9599968759289,2,74,4,101
aa,2,1142.3994276874505,1,77,2,101
aa,2,175.05968555530492,5,74,4,101
aa,1,293.8491156199455,4,77,4,655
aa,1,216.51656004103347,3,75,2,452
aa,2,293.1453101876099,3,77,2,101
aa,2,1091.1726752706486,6,75,3,766
aa,1,256.50739112034057,6,77,2,448
aa,2,412.17473869256975,4,75,3,364
aa,1,1143.03427064057,4,77,2,101
aa,1,257.1602449871265,6,75,4,652
aa,1,866.1816188832951,4,78,2,270
aa,2,1128.021519441608,1,76,2,101
aa,1,878.004014394729,6,78,3,367
aa,2,513.8843050934975,1,76,1,471
aa,2,663.961312182624,6,78,1,101
aa,2,165.4605991339722,6,76,3,239
aa,1,864.9028033332919,5,78,4,158
aa,2,1118.1687198290238,1,76,2,101
aa,1,876.9232624953165,6,78,1,586
aa,2,1128.7200961032815,7,76,2,101
aa,2,169.65008816656461,7,78,3,101
aa,1,87.7137676990638,3,76,4,101
aa,2,651.1802816338178,6,78,4,294
aa,2,293.08304332681485,2,77,4,321
aa,1,229.5618395698151,3,78,1,320
aa,2,1140.3482660504628,3,77,1,101
aa,1,1140.6536691055028,7,78,4,101
aa,1,264.8560990206792,3,78,1,101
aa,2,856.4691163063852,3,79,3,249
aa,2,704.1964791332707,7,78,1,192
aa,2,830.6864399323563,4,79,4,101
aa,1,56.48959730611943,5,78,4,538
aa,2,544.7437474627989,6,79,1,230
aa,1,384.2316888167321,4,78,1,160
aa,1,216.85096536676414,5,79,1,500
aa,1,386.9453000764362,6,78,4,542
aa,1,336.00218781268484,4,79,1,195
aa,2,1261.086136508051,5,78,1,724
aa,1,734.5237546720418,2,79,3,348
aa,2,1129.0427048708673,7,78,4,101
aa,1,376.49392921535184,2,80,1,463
aa,2,625.943946768153,6,78,1,101
aa,1,893.2866424746643,4,80,3,101
aa,1,331.8731677451349,4,79,3,101
aa,2,860.9247752830231,3,80,3,101
aa,2,1133.2696002121763,6,79,1,101
aa,2,1131.2616051602631,6,80,2,101
aa,1,232.83557219964302,7,79,1,649
aa,2,1116.4103785396976,1,80,4,101
aa,2,169.2196968418081,5,79,3,393
aa,2,734.8662756432241,5,81,4,101
aa,1,966.326861297743,2,79,4,764
aa,2,1133.8483191381556,1,81,2,101
aa,1,1157.7109918361161,4,79,1,101
aa,2,1159.4589173752406,7,81,2,101
aa,1,1048.562942219065,5,79,4,101
aa,2,216.31297229183363,3,81,1,497
aa,1,893.6652001857211,3,79,3,727
aa,1,275.2645814016682,4,81,1,101
aa,2,1097.1463068623598,5,80,3,101
aa,1,728.1576718577631,3,81,4,101
aa,2,447.13216483730776,3,80,3,101
aa,2,574.8968259855104,5,81,4,101
aa,2,1314.6515572503401,3,81,2,285
aa,2,345.1514047760462,6,82,1,101
aa,2,813.2630273998807,3,81,2,725
aa,1,1156.5299746437515,3,82,1,586
aa,1,877.2065498949239,1,81,1,665
aa,1,1159.5721169615742,3,82,1,572
aa,1,476.9470443129474,2,81,1,101
aa,2,808.4524122695215,1,82,1,101
aa,2,643.8671025305323,2,81,4,271
aa,1,105.84288900269168,1,82,1,101
aa,1,1110.440768403877,3,81,4,101
aa,1,241.6027442915387,5,82,3,101
aa,1,870.0027136002493,4,81,1,101
aa,1,244.0350900844781,4,82,2,286
aa,2,562.789978027344,6,82,4,101
aa,1,131.4177510322457,4,83,3,314
aa,2,733.8167229191736,3,82,3,101
aa,2,625.3578850588461,7,83,3,101
aa,1,760.537301843936,6,82,3,101
aa,1,1052.774208669796,5,83,4,101
aa,1,801.957420869196,6,82,1,467
aa,1,1128.0408658187248,7,83,3,101
aa,2,1193.576806110996,3,82,2,675
aa,1,540.8233867898826,7,83,4,101
aa,1,640.5488471670799,2,82,4,365
aa,1,151.681096611121,3,83,4,318
aa,1,562.789978027344,6,82,4,369
aa,1,1156.9564540336917,7,83,2,101
aa,2,245.5841668871563,1,83,4,101
aa,2,362.32274422157553,7,83,4,101
aa,2,1116.073771527126,3,83,3,101
aa,2,1110.8689513159845,1,83,4,101
aa,2,1039.7122555643045,3,83,1,101
aa,2,292.8866563138721,5,84,4,101
aa,1,1263.9178228663827,6,83,4,726
aa,1,1158.4325945469895,7,84,3,101
aa,2,124.39940402408452,1,83,2,101
aa,2,256.61878713199667,1,84,2,789
aa,1,1098.4542600432178,3,83,2,549
aa,2,718.4034870077008,3,84,4,101
aa,1,1159.9283331563252,3,83,3,101
aa,1,69.93891013051892,3,85,3,101
aa,1,446.604519433853,7,83,4,101
aa,2,797.0181326722856,3,85,3,666
aa,1,1038.7245165446755,4,83,3,101
aa,1,217.67824392934563,7,85,3,101
aa,2,173.87413002700524,5,83,4,101
aa,1,641.7857221169438,2,86,3,634
aa,1,82.03729753874669,4,83,2,101
aa,1,334.23471289749517,5,86,4,101
aa,1,459.7315542785525,6,83,2,101
aa,1,446.4965385923309,3,86,1,271
aa,2,256.891003030288,1,83,4,187
aa,1,1156.1656822179114,4,86,4,718
aa,2,1045.3457273136678,3,83,1,101
aa,2,1157.8158177397318,6,86,2,101
aa,2,484.0215977486485,2,84,1,482
aa,2,823.0186534188281,3,86,1,190
aa,1,723.7100596817793,6,84,1,366
aa,2,704.74609319944,4,86,3,186
aa,1,61.49610075795906,4,84,1,101
aa,2,366.7660613921414,5,86,1,571
aa,1,247.31119070333273,4,84,2,562
aa,1,361.81739284370343,4,87,2,724
aa,1,346.4145204836632,2,86,1,664
aa,2,346.1292771933551,1,87,3,101
aa,2,109.60202776847454,1,86,2,101
aa,2,1130.0899136327303,7,87,2,101
aa,2,1058.6510516044932,6,86,3,101
aa,2,170.23873547717582,7,87,1,101
aa,2,216.39776038594835,5,86,3,528
aa,1,293.457361214303,4,87,3,101
aa,1,1159.8495056440388,6,86,2,101
aa,2,340.72938408590977,1,87,4,101
aa,1,688.8456833899437,2,86,3,636
aa,2,334.7144930597925,6,87,2,101
aa,1,929.9134893825018,4,86,4,101
aa,1,562.789978027344,7,87,4,101
aa,1,829.4143520921075,7,86,2,579
aa,1,411.30064173746604,6,87,2,101
aa,1,364.37311644465956,6,86,2,101
aa,2,615.090678100176,6,87,3,529
aa,1,292.6942592827718,3,86,3,101
aa,2,1134.982652570245,1,88,2,101
aa,2,529.4383447660998,2,86,3,503
aa,1,756.333437130454,6,88,1,101
aa,1,1173.7315054499782,5,87,4,101
aa,2,869.4881300701003,2,88,4,101
aa,2,83.8537701913454,7,87,1,101
aa,1,1111.5663840967513,4,88,1,569
aa,2,1039.3350865579393,3,87,4,101
aa,1,990.5839339053234,5,88,2,101
aa,1,1151.5183019892515,2,87,3,352
aa,1,246.98403436604843,4,88,1,575
aa,1,84.46031391075621,6,87,1,101
aa,1,992.9719993057829,2,89,4,374
aa,2,753.6897192559185,6,87,2,101
aa,2,674.2654545183101,2,89,4,101
aa,1,691.5322379455661,5,87,4,101
aa,2,115.66876388511854,6,89,2,101
aa,2,614.5823424112274,3,87,4,101
aa,1,930.766090684236,5,89,3,269
aa,2,878.8710102724417,5,87,3,101
aa,2,1175.7523464738456,5,89,4,101
aa,2,870.7455485630962,4,88,3,101
aa,2,1036.5282119644846,3,90,3,101
aa,2,413.11689363094393,6,88,3,101
aa,2,93.99682080897784,6,90,3,101
aa,1,704.9201233202476,6,88,3,101
aa,2,866.6821008722933,3,90,3,101
aa,1,1158.96511336879,6,88,3,101
aa,2,1157.3183829401964,2,90,3,101
aa,2,1159.9271932177676,6,89,3,101
aa,1,735.8171074123067,5,90,3,101
aa,2,728.4085922083146,6,90,1,540
