EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE
367991,1,71,2,56,3,2
368089,1,47,2,56,4,1
368125,2,24,2,56,2,5
368218,1,32,2,50,7,5
368443,1,35,2,30,3,2
369293,2,64,2,61,3,3
369354,1,54,1,36,3,3
369770,1,32,2,62,5,5
370385,1,35,2,26,5,3
370389,1,35,2,53,1,5
370570,2,79,2,62,7,1
371259,2,14,1,28,1,4
372591,2,79,2,61,3,2
372760,1,77,1,44,5,2
372774,2,60,2,4,3,4
372815,1,44,1,50,5,5
372856,2,60,1,43,1,3
372958,1,48,1,43,3,4
373427,2,61,1,5,5,4
373657,2,70,2,14,1,3
373676,1,70,2,34,2,2
373761,2,63,2,56,7,3
373775,1,87,2,39,2,3
373839,2,44,1,27,7,4
373840,1,87,2,43,2,3
373945,1,15,1,14,7,1
374136,1,32,2,7,5,5
374219,1,32,1,29,1,1
374318,2,27,2,63,1,3
374387,2,76,1,27,1,4
374600,1,49,1,43,1,1
374644,2,45,2,28,4,4
374663,2,27,1,50,4,5
374731,2,32,1,35,5,4
374762,2,53,1,63,4,1
376932,1,86,1,16,2,3
377126,1,78,2,9,1,1
377235,2,32,1,52,5,4
377295,2,46,2,32,7,4
377305,2,57,2,58,5,2
377697,1,74,1,43,2,3
377699,1,35,1,37,2,5
377710,1,69,2,37,1,3
377775,1,79,1,50,1,5
377886,1,37,2,30,5,1
377895,2,79,1,16,2,1
378279,2,36,2,53,7,1
378592,1,36,2,58,3,3
378837,1,85,2,36,5,1
378871,2,50,2,43,7,5
381105,2,70,1,8,3,1
381834,1,37,2,16,2,1
382512,2,36,1,16,6,1
383120,2,47,2,62,5,3
383188,2,60,1,35,6,1
383652,2,68,1,62,3,1
384228,2,51,1,28,3,1
384343,2,44,2,45,6,3
384512,1,15,2,34,7,2
386375,1,82,2,50,6,3
386403,1,37,2,44,4,2
386537,2,37,1,54,5,1
386738,2,69,2,16,6,2
386921,2,63,1,40,2,2
386940,1,60,2,33,4,2
387055,1,37,2,51,7,3
389522,2,41,2,29,7,1
389575,2,64,2,27,6,1
389645,1,80,1,17,6,3
389931,2,41,2,36,5,2
389983,1,69,1,62,4,5
390001,1,62,2,48,6,2
390149,1,41,1,62,6,3
390180,2,37,1,31,4,2
390255,2,69,1,39,4,2
390885,2,80,1,28,7,1
391061,2,51,1,50,4,1
