EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
317407,1,39,2,29,2,4,3
318127,2,20,2,14,6,2,2
318940,1,89,2,28,1,4,2
319389,1,38,2,14,7,1,2
322708,1,38,2,28,1,2,2
322784,1,20,2,62,5,4,4
322843,1,47,2,50,6,2,2
322847,1,38,2,10,5,3,1
322860,1,14,1,62,1,1,4
322951,1,18,2,36,5,1,1
322963,1,63,1,42,5,1,1
323122,1,83,1,61,6,1,4
323194,1,39,1,62,6,3,3
323257,1,87,1,42,1,1,3
323306,1,78,1,42,1,1,4
323340,1,39,1,28,3,1,3
323516,2,81,2,18,1,1,4
323602,1,14,1,63,2,1,2
323634,1,31,1,63,3,4,2
323787,2,49,1,28,2,5,3
323823,2,56,1,15,3,4,2
323836,1,24,1,43,3,4,2
323852,2,81,1,39,3,4,4
323966,2,50,2,62,7,4,3
324054,2,20,2,43,3,5,1
324088,1,76,2,28,2,4,4
324158,1,60,2,37,2,5,4
324209,1,77,2,32,3,4,4
324293,1,39,2,50,2,4,2
324296,1,77,2,37,3,4,4
324344,1,60,1,33,7,4,4
324387,1,59,1,43,2,4,1
324433,1,50,2,61,1,3,1
324485,2,62,1,39,6,3,1
328660,2,75,1,57,4,3,1
329325,2,76,1,23,6,3,1
333634,1,21,1,20,3,4,1
334137,1,84,2,23,6,4,3
334228,2,56,2,42,5,4,1
334286,1,47,2,57,5,4,3
334581,2,31,1,5,4,4,2
334589,1,64,2,42,6,4,2
334595,1,29,2,4,6,4,3
334867,2,71,2,26,2,1,1
336057,2,61,2,14,3,5,3
336309,1,62,2,5,4,1,2
336337,2,51,2,33,6,1,3
339997,2,31,2,40,5,4,4
340430,2,54,2,1,6,4,2
340795,2,86,2,35,5,4,4
341097,1,29,2,52,6,5,4
341509,1,75,1,26,1,5,3
342215,1,51,1,23,4,3,4
342477,2,47,2,23,4,1,2
343228,1,75,1,5,5,3,4
344551,2,49,1,58,4,4,4
345102,1,29,1,58,6,5,3
345249,2,31,1,58,4,4,4
345327,2,60,1,14,4,4,4
345804,2,24,1,9,2,4,4
346108,2,15,1,58,6,3,4
346398,2,21,1,40,2,1,4
347030,2,50,2,40,3,3,4
347389,1,21,1,32,5,1,4
348124,1,31,1,35,1,4,3
350281,1,16,2,52,5,5,4
350764,2,47,2,15,6,3,2
350786,1,62,1,9,7,3,3
350917,1,20,2,6,4,5,2
351146,2,53,1,35,5,4,4
351161,2,19,1,15,2,2,2
351267,1,47,2,42,2,4,3
351443,2,62,2,41,5,2,3
351524,2,24,2,15,5,4,3
351588,2,19,2,5,6,1,4
351602,1,64,1,15,3,4,3
351671,2,69,2,2,1,3,4
352140,1,65,1,14,5,4,4
352141,1,71,2,15,5,3,4
353211,1,56,1,33,3,2,4
353529,1,84,1,33,3,1,4
357888,2,84,2,23,6,3,2
357891,1,61,1,4,1,4,4
357938,2,78,2,34,1,1,2
357956,2,50,1,10,7,5,3
357969,2,62,2,42,3,1,4
358076,1,69,2,5,1,1,1
358209,2,14,1,24,6,4,1
358268,2,44,1,23,6,5,4
358316,2,69,1,23,7,5,3
358324,1,61,1,33,7,3,4
360486,2,72,1,40,1,4,1
360777,1,23,1,35,7,1,1
361248,1,15,1,2,6,5,3
361480,2,83,1,33,3,2,3
361916,2,17,1,40,6,1,4
362166,2,46,1,36,5,3,3
362233,1,62,2,14,6,2,1
362446,2,60,2,42,6,2,3
363032,1,17,2,42,2,3,2
363305,2,17,2,38,5,4,1
363306,2,55,2,48,3,2,1
363393,2,51,2,41,2,2,1
364920,1,87,2,16,1,2,1
365470,2,87,1,48,7,4,1
365487,2,29,1,42,5,3,1
365821,2,87,2,16,5,4,2
366203,2,29,2,54,2,3,1
367167,2,83,2,19,2,2,1
367233,2,35,2,19,2,2,1
367349,2,54,2,56,7,3,3
367991,1,71,2,56,3,2,4
368089,1,47,2,56,4,1,4
368125,2,24,2,56,2,5,1
368218,1,32,2,50,7,5,3
368443,1,35,2,30,3,2,3
369293,2,64,2,61,3,3,3
369354,1,54,1,36,3,3,1
369770,1,32,2,62,5,5,4
370385,1,35,2,26,5,3,3
370389,1,35,2,53,1,5,4
370570,2,79,2,62,7,1,1
371259,2,14,1,28,1,4,3
372591,2,79,2,61,3,2,4
372760,1,77,1,44,5,2,1
372774,2,60,2,4,3,4,3
372815,1,44,1,50,5,5,1
372856,2,60,1,43,1,3,3
372958,1,48,1,43,3,4,1
373427,2,61,1,5,5,4,2
373657,2,70,2,14,1,3,1
373676,1,70,2,34,2,2,4
373761,2,63,2,56,7,3,4
373775,1,87,2,39,2,3,3
373839,2,44,1,27,7,4,2
373840,1,87,2,43,2,3,4
373945,1,15,1,14,7,1,2
374136,1,32,2,7,5,5,4
374219,1,32,1,29,1,1,1
374318,2,27,2,63,1,3,1
374387,2,76,1,27,1,4,2
374600,1,49,1,43,1,1,1
374644,2,45,2,28,4,4,2
374663,2,27,1,50,4,5,1
374731,2,32,1,35,5,4,1
374762,2,53,1,63,4,1,4
376932,1,86,1,16,2,3,1
377126,1,78,2,9,1,1,2
377235,2,32,1,52,5,4,4
377295,2,46,2,32,7,4,4
377305,2,57,2,58,5,2,1
377697,1,74,1,43,2,3,2
377699,1,35,1,37,2,5,1
377710,1,69,2,37,1,3,2
377775,1,79,1,50,1,5,1
377886,1,37,2,30,5,1,3
377895,2,79,1,16,2,1,2
378279,2,36,2,53,7,1,3
378592,1,36,2,58,3,3,1
378837,1,85,2,36,5,1,2
378871,2,50,2,43,7,5,1
381105,2,70,1,8,3,1,2
381834,1,37,2,16,2,1,1
382512,2,36,1,16,6,1,2
383120,2,47,2,62,5,3,1
383188,2,60,1,35,6,1,1
383652,2,68,1,62,3,1,1
384228,2,51,1,28,3,1,1
384343,2,44,2,45,6,3,2
384512,1,15,2,34,7,2,2
386375,1,82,2,50,6,3,1
386403,1,37,2,44,4,2,3
386537,2,37,1,54,5,1,3
386738,2,69,2,16,6,2,4
386921,2,63,1,40,2,2,3
386940,1,60,2,33,4,2,3
387055,1,37,2,51,7,3,4
389522,2,41,2,29,7,1,4
389575,2,64,2,27,6,1,4
389645,1,80,1,17,6,3,4
389931,2,41,2,36,5,2,4
389983,1,69,1,62,4,5,4
390001,1,62,2,48,6,2,4
390149,1,41,1,62,6,3,3
390180,2,37,1,31,4,2,4
390255,2,69,1,39,4,2,4
390885,2,80,1,28,7,1,4
391061,2,51,1,50,4,1,3
