LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL4,B52,EF16U2,EF41,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
3,1,176.74933257570433,5,83,4,101
4,1,257.4094803571408,4,87,4,101
2,2,1150.533175443108,7,83,3,101
5,2,162.79061135716876,5,88,4,101
2,2,1054.9428820242774,4,83,3,101
2,1,95.65308785300353,3,88,3,101
2,2,47.7694915363379,6,84,3,101
2,2,1131.6027776006608,6,88,4,101
1,1,1105.8118235361521,6,86,3,101
2,2,1049.6900378298158,4,88,3,101
3,1,415.2405087032826,4,86,2,101
2,2,444.8689370221579,3,88,2,101
1,2,1174.1860441374743,3,86,2,101
2,2,127.92162435052151,6,88,3,101
3,2,1141.8870408603375,7,86,4,101
2,1,562.789978027344,7,88,3,101
1,2,827.9872956353548,2,86,3,101
1,1,562.789978027344,7,89,2,101
1,1,1158.4476858997696,6,87,4,101
3,2,1044.9395585727736,6,89,4,101
1,2,1141.778910358013,4,87,4,101
1,2,124.0054078055509,1,89,1,101
1,2,384.5080091742463,4,87,3,101
1,2,414.629735511262,6,86,4,131
1,1,705.7063382759403,5,87,4,101
1,2,124.07968710388613,3,83,1,138
1,1,1076.5732824563834,3,87,1,101
1,1,110.03341592584462,6,70,1,139
1,1,1192.231302746387,5,87,4,101
1,2,1157.128868985753,3,82,1,144
1,1,144.79126438635072,5,87,1,101
3,1,336.2257465355857,4,79,4,158
1,2,484.6141330181365,7,87,2,101
1,2,415.2952188622125,6,85,2,158
1,2,1172.1742157487881,7,87,2,101
1,1,385.4589676872494,7,71,4,159
1,1,124.58958312613136,3,87,3,101
5,2,785.1833838088063,3,74,3,159
5,2,334.1661328657476,1,88,3,101
5,2,1158.986710760702,6,80,3,186
5,2,860.2879713622223,3,88,3,101
5,2,216.4937540328227,7,77,3,188
5,2,146.901000368409,6,89,1,101
5,2,343.2119698439346,1,80,3,191
4,2,1128.9124994572433,6,73,4,129
4,2,1143.3281092844381,7,70,4,192
4,2,1110.1133637954322,6,69,1,158
4,1,1156.434745371898,7,78,1,193
4,2,125.36800856851589,1,65,1,159
4,2,652.2069371692083,6,77,1,195
4,1,1158.413352762437,6,64,1,192
4,2,1156.434745371898,7,75,1,212
4,2,151.7099359094712,3,78,3,194
4,1,1074.8453005057374,7,79,1,212
4,2,96.9334563400636,6,66,3,228
4,2,57.451464779068175,6,74,3,249
5,1,683.1403156831103,6,68,3,257
5,2,1132.2539292536912,3,71,1,268
2,1,818.1638031980534,6,77,3,260
2,1,1079.0517614104544,2,68,2,269
2,1,797.6297259706437,3,84,3,261
1,2,819.2860856296738,3,66,4,270
2,2,818.7617672545935,3,75,4,268
1,1,723.8735828877477,6,82,4,270
3,1,966.850185237485,5,68,3,269
1,1,62.16105906732574,3,68,4,284
5,1,856.9384801006657,6,81,3,269
2,2,967.0548714592937,2,70,4,285
5,2,608.505487892877,5,67,1,270
5,1,859.25740068322,6,82,3,287
1,1,1132.2539292536912,3,74,1,285
2,1,705.6707850254179,3,66,3,290
2,1,965.0191732399061,5,68,2,286
1,1,786.4602293898436,2,76,1,295
5,2,813.6262985348526,2,71,4,288
1,1,207.691425295528,5,69,2,305
1,1,62.16105906732574,3,83,4,307
5,1,56.112737921485206,3,81,3,311
2,1,445.29820889060227,3,81,4,312
5,1,877.7879088087375,3,84,4,318
1,1,1073.3878595061205,3,71,2,320
3,2,810.2421229417603,6,64,3,321
3,1,786.4602293898436,2,70,1,321
1,1,967.0562097076306,5,68,3,332
2,1,245.82612014107505,6,82,4,339
3,1,57.975161152915064,3,84,3,356
2,1,444.90118716135885,3,83,2,349
2,1,59.633987852645134,3,84,4,364
4,1,821.1955228651088,5,70,1,358
3,1,995.0751278498874,2,84,4,365
5,1,821.1955228651088,5,83,1,365
5,1,878.4075215832623,6,87,1,366
3,2,607.067378042456,3,82,4,373
4,2,293.7678126713415,4,67,3,369
5,2,819.579887618044,1,86,2,377
4,2,293.23262249545866,2,78,1,371
5,2,786.667081396511,1,68,2,387
3,2,389.4474438499888,4,77,1,415
2,2,825.8409389024315,6,77,3,392
3,2,853.135205156405,6,71,3,453
5,2,734.1103375758653,2,72,1,399
5,2,848.4702868366472,6,87,2,453
3,2,494.53253894146735,2,82,3,412
1,2,810.2421229417603,6,77,3,456
3,1,821.737810426028,7,87,3,417
1,1,893.4453433303179,7,78,4,461
4,1,292.0206132604116,2,84,4,456
4,1,1194.4596682276556,3,79,1,464
1,1,150.56200034897464,5,79,4,459
1,2,410.5968245845102,4,70,1,471
4,1,819.579887618044,1,74,3,462
4,1,826.249904118863,6,76,2,482
1,1,1192.6010414672896,3,72,1,465
4,2,826.249904118863,6,74,2,488
1,2,984.315604409229,2,73,3,467
2,1,494.53253894146735,2,78,3,498
1,2,990.2761593809261,4,88,1,468
1,1,329.9525381352951,5,87,3,498
1,2,1292.2427929304124,3,88,4,471
1,2,150.4871422614305,5,64,1,500
5,2,1192.6010414672896,3,75,1,498
4,1,716.9468065689586,6,75,1,501
4,2,893.6229852878571,5,72,1,500
1,1,360.3778961725529,6,78,1,505
4,1,360.3778961725529,6,72,1,504
1,1,731.6653874977522,2,87,1,505
1,1,733.8628817788472,1,73,4,507
4,1,226.086563408493,2,75,4,508
1,2,360.3778961725529,6,73,3,510
4,1,865.2841929358545,1,87,4,510
4,1,819.8120305892056,5,18,3,520
2,1,816.8246351220766,5,18,3,536
2,1,292.5904055252736,2,20,3,522
4,1,256.3952486466573,2,20,3,541
3,1,892.4105275018233,5,20,3,531
3,1,877.8534906460873,3,17,3,546
3,1,129.80863420701996,3,20,3,545
3,1,242.71241945451712,3,17,3,547
3,1,878.5746584819291,3,18,3,547
3,1,244.83578506142933,3,18,1,547
4,1,59.9167522246046,2,20,3,576
3,1,61.31723838354904,2,20,3,586
2,1,928.231146877305,3,19,4,586
2,1,293.18982908960584,2,21,3,586
2,1,876.5309478775996,3,27,4,586
2,1,839.8669008561999,7,21,3,587
2,2,879.5448969337377,3,21,4,592
2,2,256.0959892956157,2,16,3,593
2,2,984.3992866085736,5,21,3,594
2,1,893.7751339034057,5,24,3,593
2,1,933.7466096222033,3,18,4,597
4,1,259.61725696172545,3,25,1,593
2,2,877.7583534891745,3,30,3,631
4,2,835.1386351826866,4,16,1,595
1,2,216.49292665030666,7,18,4,648
5,1,111.39614348310057,7,25,1,595
5,2,832.0680077110467,3,26,4,648
4,2,878.4835592665142,5,21,1,596
4,1,259.3763237844665,3,24,1,651
4,2,892.05954988063,5,21,3,597
5,2,879.629226819322,3,21,4,654
2,1,130.25205260534867,7,24,4,598
1,1,133.0039346467183,7,27,4,672
1,1,349.62092159449605,7,25,1,599
4,2,110.67973467783625,7,24,3,687
1,2,204.77285084827741,7,27,4,666
5,2,870.4869685628419,7,20,3,705
4,2,879.3761749681595,3,20,1,677
5,2,964.2764610057976,5,20,4,711
5,2,131.27002208907703,7,28,2,707
1,2,217.72539698287463,7,20,1,725
1,2,924.3879442574588,7,24,4,724
1,2,877.264915542466,3,20,3,754
2,2,870.5242855736091,7,26,1,726
2,2,864.9143079433192,7,30,1,758
1,2,145.39102748876496,7,27,1,727
3,2,344.05183462505033,7,18,4,764
1,2,256.2591344645339,3,25,4,755
3,2,60.862769504756145,7,20,3,796
3,2,60.58432738618754,7,27,4,757
4,2,1117.6023006926227,3,32,2,521
5,2,75.37653102926613,4,32,2,523
5,2,1156.4601567473717,6,33,2,592
5,2,1156.4601567473717,6,32,2,638
5,2,787.6255604698373,1,39,2,546
5,2,773.150533101161,4,37,1,577
3,2,462.5406291940188,4,37,4,653
5,2,1248.4950102702717,3,32,4,709
4,2,747.8453312068584,5,36,3,671
4,2,747.8453312068584,5,35,3,713
3,2,642.654827242891,5,37,1,711
3,1,642.5301271578951,5,39,2,725
3,1,785.3416252988511,5,38,3,718
3,1,1116.6767398748636,3,39,2,726
3,1,161.3574314074825,5,39,2,753
3,2,75.01273045481298,4,32,2,755
3,1,770.6017289814861,1,35,3,754
3,2,808.3742979054215,7,39,2,756
3,1,813.6748790018355,3,39,3,762
3,2,1149.1265092232313,7,35,4,760
3,2,787.9736591591602,5,32,2,766
3,2,929.2135608100929,3,32,4,767
1,2,1063.587907389101,3,47,1,523
4,2,625.4514737598521,7,41,1,594
5,2,1192.4375843401328,6,42,3,547
5,2,1151.5349592575706,5,42,2,635
3,2,808.3742979054215,7,44,4,597
3,2,1142.2452361330077,5,42,1,638
5,1,1100.1035785641334,7,35,2,769
4,1,812.8322518251283,3,41,3,785
4,1,1195.263254480487,5,45,2,808
1,1,1133.8423710294305,7,44,3,796
1,1,1133.8423710294305,7,43,3,812
5,1,459.19158433340874,5,51,4,521
5,2,730.8221168224902,6,51,2,625
1,1,1223.1389909484735,3,51,2,551
1,1,691.4439849127243,6,55,1,648
4,2,1158.0693199100558,6,50,1,565
4,1,1158.0655375445533,4,49,1,664
4,1,1128.3081318669188,7,49,2,594
2,1,1046.9397318780047,5,49,4,668
4,1,732.5089360185884,1,49,4,599
4,1,1252.4876747255203,2,55,4,669
4,2,691.4439849127243,6,50,1,649
1,1,784.4666523654995,1,55,3,671
1,2,786.8175266774248,1,55,2,653
4,1,1158.0655375445533,4,49,1,692
1,1,733.7096922500449,1,51,2,655
1,1,1147.6216702306538,2,50,4,696
1,2,787.9660290958395,1,51,4,706
4,2,1173.2719104877883,2,53,4,781
1,1,1151.1985702202921,6,48,4,798
5,1,805.8504609065274,3,50,2,809
5,2,626.3611447595027,6,59,4,535
5,2,626.3611447595027,6,57,4,526
5,2,164.91420799263022,5,59,1,595
1,2,786.8878517247953,6,59,4,573
1,2,786.8878517247953,6,58,4,648
2,1,731.7597348352537,1,59,4,587
1,2,786.238379107336,6,58,1,655
2,1,1146.4468828365116,2,56,4,666
1,1,893.0836051368087,3,57,4,700
5,1,893.0836051368087,3,58,4,703
5,2,1172.3901932277902,3,62,2,534
4,2,731.3729392319947,6,60,4,545
2,2,672.0291073369409,6,60,4,576
1,2,693.7743111241509,6,62,3,653
2,2,160.83509208925932,5,62,4,648
2,2,625.2770566703093,6,61,3,668
4,1,1140.8716066859706,2,62,4,651
2,2,734.4682718667885,1,61,2,691
4,2,893.5889973113843,3,60,1,666
2,2,786.0911815366776,1,60,2,780
2,2,786.0911815366776,1,62,2,680
5,2,801.5867924644891,3,62,2,782
2,2,1072.8180938394325,3,83,1,520
5,1,878.0601323958725,2,83,3,529
4,2,265.1343450061633,3,69,4,529
3,1,1174.8616587066222,2,70,3,531
4,2,815.3774365348283,6,75,1,537
3,1,879.8877161845593,3,87,1,532
3,1,1108.5127252836967,5,84,4,539
1,1,1211.4989609808258,3,83,3,533
2,1,1201.691802905498,6,82,1,543
2,2,1201.691802905498,6,74,1,535
3,1,478.8704226116217,3,86,1,544
2,2,1130.8684810209459,3,85,4,542
3,1,336.6229780713214,4,84,1,545
1,2,146.77280674948116,3,82,1,546
2,1,408.4304866041557,5,69,1,548
3,1,331.7998895922774,4,68,1,550
3,2,331.7998895922774,4,87,1,550
5,1,409.2766927410729,3,82,2,570
1,2,1205.835782239357,3,74,2,560
1,2,1158.3775211926816,6,68,3,594
2,2,1093.114787925508,2,78,1,567
4,2,562.789978027344,2,64,1,599
1,2,1109.6086055389685,5,86,1,570
2,2,329.6290250223174,4,74,4,629
3,2,1129.7880651993355,3,83,3,576
1,2,573.7570381276433,1,65,1,634
1,1,265.25094104715197,4,87,4,586
2,1,483.9270337214416,1,72,4,637
5,2,642.2030783270973,1,69,4,593
1,1,217.93323091490169,5,64,2,652
3,1,361.27177857817685,6,68,1,597
1,1,264.71398026854473,4,82,3,652
1,1,719.2679087313429,6,87,1,599
5,1,680.1466818223436,3,86,3,664
4,1,893.9767370533325,7,69,4,631
4,1,878.8583812882817,1,67,1,665
4,1,1118.5674477974244,3,71,2,648
4,1,670.5810833982463,7,86,1,666
1,1,709.4885678515718,3,67,1,649
3,1,1050.8730274223385,5,86,1,671
5,2,150.825755682975,5,87,1,652
4,2,831.0120275457831,6,78,1,706
4,1,204.61368354091346,4,79,2,654
4,1,203.88501244153443,4,73,3,713
2,2,718.0827395490631,6,90,1,655
4,2,69.54860658259766,7,71,4,717
1,1,1146.5584303236667,7,87,3,667
1,2,604.0997531172104,6,78,1,724
5,1,1206.2124699840606,5,86,2,685
4,2,108.26165727095385,6,74,3,726
5,2,783.660709269816,6,64,3,707
4,1,110.63354941066508,6,87,3,727
4,2,410.5685027663711,5,67,1,714
2,2,258.0865782538848,6,83,4,779
5,1,58.1374979075983,7,64,3,726
1,1,350.7124146985824,4,67,2,797
5,1,1072.653688739441,6,83,4,756
4,1,265.8454897591905,4,75,1,797
4,2,259.437312433507,6,70,3,764
5,1,415.40908266396167,5,78,4,797
4,1,926.9754040212657,6,82,4,788
4,2,1110.9697498547223,7,78,2,798
