EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,TAETIGKEITSSCHLUESSEL5
342477,2,47,2,aa,23,4
343228,1,75,1,aa,5,1
344551,2,49,1,aa,58,4
345102,1,29,1,aa,58,4
345249,2,31,1,aa,58,2
345327,2,60,1,aa,14,3
345804,2,24,1,aa,9,2
346108,2,15,1,aa,58,3
346398,2,21,1,aa,40,1
347030,2,50,2,aa,40,1
347389,1,21,1,aa,32,4
348124,1,31,1,aa,35,1
350281,1,16,2,aa,52,4
350764,2,47,2,aa,15,3
350786,1,62,1,aa,9,4
350917,1,20,2,aa,6,4
351146,2,53,1,aa,35,4
351161,2,19,1,aa,15,4
351267,1,47,2,aa,42,4
351443,2,62,2,aa,41,4
351524,2,24,2,aa,15,4
351588,2,19,2,aa,5,3
351602,1,64,1,aa,15,3
351671,2,69,2,aa,2,3
352140,1,65,1,aa,14,3
352141,1,71,2,aa,15,3
353211,1,56,1,aa,33,3
353529,1,84,1,aa,33,4
357888,2,84,2,aa,23,2
357891,1,61,1,aa,4,1
357938,2,78,2,aa,34,4
357956,2,50,1,aa,10,1
357969,2,62,2,aa,42,2
358076,1,69,2,aa,5,2
358209,2,14,1,aa,24,4
358268,2,44,1,aa,23,3
358316,2,69,1,aa,23,4
358324,1,61,1,aa,33,3
360486,2,72,1,aa,40,1
360777,1,23,1,aa,35,1
361248,1,15,1,aa,2,4
361480,2,83,1,aa,33,4
361916,2,17,1,aa,40,4
362166,2,46,1,aa,36,4
362233,1,62,2,aa,14,1
362446,2,60,2,aa,42,4
363032,1,17,2,aa,42,4
363305,2,17,2,aa,38,1
363306,2,55,2,aa,48,1
363393,2,51,2,aa,41,1
364920,1,87,2,aa,16,1
365470,2,87,1,aa,48,1
365487,2,29,1,aa,42,1
365821,2,87,2,aa,16,1
366203,2,29,2,aa,54,2
367167,2,83,2,aa,19,1
367233,2,35,2,aa,19,1
367349,2,54,2,aa,56,2
367991,1,71,2,aa,56,4
368089,1,47,2,aa,56,4
368125,2,24,2,aa,56,4
368218,1,32,2,aa,50,3
368443,1,35,2,aa,30,2
369293,2,64,2,aa,61,3
369354,1,54,1,aa,36,1
369770,1,32,2,aa,62,4
370385,1,35,2,aa,26,4
370389,1,35,2,aa,53,3
370570,2,79,2,aa,62,1
371259,2,14,1,aa,28,1
372591,2,79,2,aa,61,4
372760,1,77,1,aa,44,3
372774,2,60,2,aa,4,3
372815,1,44,1,aa,50,1
372856,2,60,1,aa,43,3
372958,1,48,1,aa,43,1
373427,2,61,1,aa,5,1
373657,2,70,2,aa,14,3
373676,1,70,2,aa,34,3
373761,2,63,2,aa,56,2
373775,1,87,2,aa,39,4
373839,2,44,1,aa,27,1
373840,1,87,2,aa,43,3
373945,1,15,1,aa,14,1
374136,1,32,2,aa,7,2
374219,1,32,1,aa,29,1
374318,2,27,2,aa,63,4
374387,2,76,1,aa,27,4
374600,1,49,1,aa,43,4
374644,2,45,2,aa,28,4
374663,2,27,1,aa,50,1
374731,2,32,1,aa,35,2
374762,2,53,1,aa,63,1
376932,1,86,1,aa,16,4
377126,1,78,2,aa,9,1
377235,2,32,1,aa,52,1
377295,2,46,2,aa,32,2
377305,2,57,2,aa,58,2
377697,1,74,1,aa,43,1
377699,1,35,1,aa,37,2
377710,1,69,2,aa,37,2
377775,1,79,1,aa,50,1
377886,1,37,2,aa,30,1
377895,2,79,1,aa,16,2
378279,2,36,2,aa,53,3
378592,1,36,2,aa,58,2
378837,1,85,2,aa,36,3
378871,2,50,2,aa,43,1
381105,2,70,1,aa,8,1
381834,1,37,2,aa,16,1
382512,2,36,1,aa,16,2
383120,2,47,2,aa,62,1
383188,2,60,1,aa,35,1
383652,2,68,1,aa,62,3
384228,2,51,1,aa,28,1
384343,2,44,2,aa,45,3
384512,1,15,2,aa,34,2
386375,1,82,2,aa,50,2
386403,1,37,2,aa,44,1
386537,2,37,1,aa,54,1
386738,2,69,2,aa,16,3
386921,2,63,1,aa,40,3
386940,1,60,2,aa,33,4
387055,1,37,2,aa,51,4
389522,2,41,2,aa,29,4
389575,2,64,2,aa,27,4
389645,1,80,1,aa,17,4
389931,2,41,2,aa,36,4
389983,1,69,1,aa,62,4
390001,1,62,2,aa,48,3
390149,1,41,1,aa,62,4
390180,2,37,1,aa,31,4
390255,2,69,1,aa,39,3
390885,2,80,1,aa,28,4
391061,2,51,1,aa,50,4
