EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,B52,TAETIGKEITSSCHLUESSEL5
192951,1,46,2,aa,63,1,3,783.7779828569782,1
193930,2,70,2,aa,16,4,3,1277.8746451163363,2
194152,2,36,2,aa,23,4,3,1143.2520501746365,2
196831,2,16,2,aa,41,3,4,515.2652012174676,2
196974,2,22,2,aa,57,1,4,1342.2072385498968,2
197235,2,35,1,aa,57,2,4,125.21238388279248,4
197759,2,40,2,aa,42,2,3,1341.1483076154655,3
197987,1,52,1,aa,41,1,3,916.7202722915389,2
198273,1,46,2,aa,0,1,5,427.37486879047844,2
198623,1,22,1,aa,2,1,5,1275.5899680579396,3
199065,1,77,2,aa,42,5,5,463.9846349825677,2
199066,1,20,2,aa,34,1,4,202.15010433564962,4
199084,1,49,2,aa,7,1,2,18.650204607805577,3
199134,1,49,1,aa,3,5,4,1150.5601628122447,3
199175,1,40,1,aa,30,1,2,16.594728529983698,3
199290,1,79,2,aa,17,1,4,458.6940385072289,2
199431,1,71,2,aa,41,2,5,951.2217193014412,2
201311,1,83,2,aa,17,2,3,246.79330566790023,2
201811,2,21,1,aa,54,7,4,130.3658559809227,4
201891,2,79,1,aa,24,7,3,988.7045590553391,4
202018,2,79,1,aa,46,7,4,1269.1796037648414,2
202026,2,49,1,aa,31,3,4,118.66568479451547,4
202045,1,41,1,aa,3,5,5,627.1289842499941,4
202605,2,41,1,aa,2,1,3,841.1031402666915,4
202768,2,59,2,aa,46,1,1,626.7388439165971,1
203142,2,75,2,aa,35,5,5,871.7379482758485,1
203370,2,71,2,aa,19,5,1,1333.8144167370033,3
204004,2,83,2,aa,18,5,2,964.3609380869788,1
205242,1,71,2,aa,25,7,1,481.7811173560502,3
205344,1,14,2,aa,33,3,1,591.6989586826628,1
205539,1,20,2,aa,53,5,2,1037.8913618619035,3
205564,1,20,2,aa,35,2,1,384.8343563633442,4
205596,2,53,1,aa,18,5,1,409.4673508340238,1
205933,2,53,1,aa,40,6,2,982.6125569946483,3
206100,2,21,1,aa,28,1,3,587.9352193664453,1
206188,2,26,2,aa,46,3,1,906.6121666388842,3
206500,2,50,1,aa,61,2,3,923.8071929659413,3
206692,2,51,1,aa,2,5,1,483.6300443593176,1
207541,1,20,1,aa,46,2,2,1075.9008054410583,4
207784,2,46,2,aa,46,5,3,1333.6502540691797,1
208024,2,82,2,aa,43,5,2,16.938014562423255,3
208528,1,82,2,aa,43,2,3,787.8592925532098,3
208704,2,55,1,aa,24,6,2,803.8006645480102,1
208768,1,26,1,aa,2,6,4,1116.284984405322,3
208870,1,15,1,aa,50,1,4,1335.0179944480637,1
211002,1,47,1,aa,6,6,4,158.39401389407192,3
211074,1,81,1,aa,16,6,4,230.7968853763678,1
211316,1,39,1,aa,25,3,3,62.26833360228771,1
211551,1,52,1,aa,50,7,5,777.4953403804469,1
212024,2,87,1,aa,26,7,3,493.34559684055375,1
212336,1,87,1,aa,27,6,3,1158.2147773968354,1
212749,1,27,1,aa,57,3,3,18.591175548551817,2
213152,2,65,1,aa,27,7,2,70.90136220756895,3
213837,1,18,2,aa,59,7,3,1079.0807001496687,4
214060,2,81,2,aa,47,7,4,93.4594237352789,2
214261,1,65,2,aa,47,7,2,1225.233844493523,4
214621,2,36,2,aa,17,2,2,935.6455570212353,3
214891,1,81,2,aa,17,7,2,1135.1319280169355,2
215393,2,74,1,aa,61,2,2,964.2496568276247,4
215818,2,81,1,aa,0,2,4,147.8397386387441,1
216024,2,20,1,aa,47,6,3,16.264224303554705,1
216761,2,18,2,aa,35,6,2,4.5699280218942935,2
221280,1,21,1,aa,33,6,3,30.56843820029537,2
221322,2,21,1,aa,0,6,3,1129.6888229679857,2
221845,2,24,1,aa,60,4,3,62.62502287661525,2
222014,2,61,1,aa,50,6,5,819.9120480791612,3
222466,2,74,1,aa,0,4,5,1046.7405122119994,2
223167,2,44,2,aa,54,4,2,1073.572762886335,3
223256,1,37,2,aa,0,4,5,1287.4641634256664,1
223522,1,69,2,aa,42,5,1,517.9507281629211,2
223993,2,69,2,aa,42,4,1,1046.6958293211387,2
224139,2,21,2,aa,0,4,5,608.5658988765067,3
224222,1,21,2,aa,53,4,1,200.4080450247786,4
226779,2,86,2,aa,19,4,1,162.37189100600182,1
227001,2,54,2,aa,4,6,1,606.9607545241736,3
227021,2,53,2,aa,33,5,4,876.4507102785088,2
227183,1,74,2,aa,0,6,1,1192.3357650986757,3
227308,1,28,2,aa,63,5,1,871.9989248019083,4
229897,2,76,1,aa,5,5,3,603.9880475600027,3
230039,1,29,1,aa,5,1,3,493.6127328332914,1
230100,1,50,1,aa,19,7,3,57.278965023257186,2
230253,2,76,1,aa,19,3,5,865.1645323699133,3
230302,2,74,1,aa,27,7,5,1245.777829646012,3
230410,2,37,1,aa,19,5,5,981.3916868209607,3
230615,2,62,1,aa,28,5,5,529.8818622184839,3
230926,2,33,1,aa,31,5,5,62.66315001925082,4
231023,2,75,1,aa,34,4,3,363.7048768454061,4
231029,2,42,1,aa,34,7,1,1315.3561302753685,4
231189,2,42,1,aa,54,6,4,1215.471356220813,1
231801,2,37,1,aa,35,6,1,409.41087938111315,4
231996,1,43,1,aa,48,3,3,338.24111125922474,4
232041,1,72,1,aa,48,4,5,336.0960079690417,4
232172,1,28,1,aa,3,4,3,798.9015161651357,4
233791,2,86,1,aa,3,3,5,959.9667658830301,4
233836,2,26,1,aa,30,6,2,1347.0681200313861,4
233847,1,24,1,aa,32,7,5,501.9434522077486,3
234303,1,72,1,aa,50,4,2,1314.9574356977782,4
234418,1,62,1,aa,57,4,4,202.84732662003887,3
234724,1,24,2,aa,31,1,4,860.0647182797849,4
234733,1,68,2,aa,30,1,3,456.627387034661,4
235269,1,38,2,aa,57,2,3,69.7717996532012,4
235270,1,63,2,aa,57,3,5,1074.6019206836818,4
235288,2,86,2,aa,57,2,4,796.0984761947352,2
235448,1,64,2,aa,32,6,1,462.31996091634454,2
235710,1,64,2,aa,57,3,1,814.6377184241121,2
235786,2,55,2,aa,57,5,4,548.5767076375934,2
235866,2,36,2,aa,53,3,5,550.1373175925629,2
236387,1,49,2,aa,28,3,5,1334.0490628251368,2
236453,1,21,2,aa,56,7,1,1226.399589121713,1
237333,2,83,2,aa,56,6,5,246.87548478394316,2
240675,2,64,1,aa,57,7,4,1107.4899221377686,1
240704,1,83,2,aa,56,6,1,1097.603470437175,3
240713,2,59,2,aa,56,2,3,1263.134059381324,3
240751,2,37,2,aa,56,7,3,912.0111214203736,3
240796,1,67,2,aa,38,2,4,1104.7119880204227,1
240825,2,67,2,aa,56,7,3,1311.8096454214399,1
240885,2,67,2,aa,7,6,3,933.0320926557501,3
240947,2,58,1,aa,56,2,1,132.72617530986403,1
240973,2,41,1,aa,57,3,3,458.0303146602265,1
241001,2,57,1,aa,57,3,2,1072.8619445470235,3
241110,1,35,1,aa,57,6,1,967.426421076353,1
241138,2,63,1,aa,28,3,1,334.7827095546396,1
241145,2,67,2,aa,16,1,2,130.09999018352943,3
241150,1,64,2,aa,16,5,5,1158.5132212728931,3
241808,2,35,1,aa,50,1,5,529.7437416847902,3
241963,2,21,1,aa,3,1,2,496.20307643517964,3
242450,2,21,2,aa,18,5,5,528.3295309323624,2
243264,1,48,1,aa,37,2,5,417.6223009287903,2
243472,2,81,1,aa,14,5,2,85.74713092631323,3
243528,1,35,1,aa,14,1,5,156.6680962857073,2
244690,1,15,1,aa,39,1,2,444.702442025001,2
245267,1,83,1,aa,50,5,5,1135.5395053863767,2
245713,1,63,2,aa,37,2,5,808.7658932765434,3
246252,1,47,2,aa,14,3,1,1208.1851282738858,3
247075,1,47,1,aa,14,2,1,548.3685019439129,2
247465,2,20,1,aa,52,7,1,447.7337679199157,4
248544,2,83,2,aa,14,6,1,258.99324845348656,4
248559,2,34,2,aa,14,1,1,513.275627381259,4
248720,2,34,1,aa,14,3,4,68.14670250137084,4
249979,2,41,1,aa,14,6,1,412.5289551483647,3
249988,1,20,2,aa,36,4,1,539.9753382808008,1
250106,2,47,1,aa,25,6,4,542.6500907012124,1
250501,2,61,2,aa,34,4,1,799.5455893892863,3
250509,1,61,1,aa,14,5,4,845.7966432680432,1
250585,2,49,1,aa,32,5,4,217.22592594610043,2
250614,1,83,2,aa,33,3,4,536.1483890050283,4
250971,1,46,1,aa,32,3,1,985.8637465527717,4
250984,1,22,1,aa,38,4,1,346.7079507624015,4
251000,2,50,1,aa,32,3,1,217.2621053636418,4
251200,2,51,1,aa,32,4,4,1314.7584243765125,2
251367,1,40,1,aa,14,5,3,343.9572377316129,2
251396,2,20,2,aa,14,3,1,611.197302031607,2
251579,1,39,2,aa,14,2,1,462.14494843742176,2
251664,1,62,2,aa,14,6,4,614.9556952125572,2
251712,1,50,2,aa,14,5,4,463.8813801843619,2
251781,2,45,1,aa,32,3,4,893.3936739026688,1
254156,2,32,1,aa,32,3,4,1142.3959100669902,4
254163,2,22,2,aa,14,6,1,562.789978027344,3
254165,2,22,1,aa,38,3,4,63.68791778706048,1
254346,2,50,2,aa,19,2,2,529.6627104564031,2
254507,1,59,2,aa,50,7,3,502.3659531871621,1
254627,1,80,2,aa,16,7,2,410.7686559779044,1
254877,2,81,1,aa,16,3,3,413.13415602565766,1
255120,1,36,2,aa,51,6,3,148.82736778007765,1
255394,1,43,1,aa,14,2,1,408.05901783661363,3
255517,1,84,2,aa,14,6,2,530.7131142869571,4
258055,1,18,2,aa,14,1,2,412.7250380116827,1
258150,2,40,2,aa,14,2,4,920.4794452030874,3
258345,2,18,2,aa,50,7,4,470.10433043123425,4
258449,2,81,1,aa,14,7,2,966.0117167514151,3
258795,1,46,2,aa,14,1,2,1315.9041327173395,3
259177,2,53,2,aa,19,1,2,74.16885199819632,2
259527,1,36,2,aa,5,6,1,1277.2879562196417,1
259993,1,19,2,aa,51,1,1,1348.2757451509572,3
265266,1,79,1,aa,17,6,2,988.9727219382285,1
265343,1,44,2,aa,0,6,1,172.5101506978182,1
265380,1,89,1,aa,30,1,1,360.8339347952723,1
265446,1,14,2,aa,45,1,4,1245.8083911929007,1
265512,1,52,1,aa,13,1,1,82.72765344775391,4
265549,1,29,2,aa,19,3,1,77.12724384345724,4
265654,2,64,2,aa,21,6,2,69.89131030165865,3
265685,2,64,2,aa,45,7,4,292.03260639851675,1
265735,2,15,2,aa,14,1,1,500.22743096716965,4
265783,1,75,1,aa,1,5,5,486.25437844822477,3
265925,2,18,2,aa,55,1,2,783.6374914785673,4
265976,2,21,2,aa,17,3,5,71.90229342555469,4
266017,2,85,2,aa,15,6,4,590.3692203333794,1
266095,1,15,1,aa,15,6,4,912.5961848942019,1
266099,1,64,2,aa,13,5,5,735.0460923259641,1
266185,2,14,2,aa,45,5,5,7.58297193042041,1
266443,2,55,2,aa,31,7,5,503.53499386286404,1
266860,2,25,1,aa,3,5,5,531.2054876933521,4
267449,1,77,1,aa,15,1,1,1151.5169772361412,3
267993,2,77,1,aa,30,3,1,530.0681759620148,3
268324,1,64,1,aa,10,7,1,966.0824475934395,3
268388,2,75,1,aa,46,3,5,1332.015756692955,4
268465,1,50,1,aa,51,3,1,1038.3737759043502,3
268528,2,53,1,aa,31,5,1,731.1811186485094,3
268571,2,82,1,aa,46,7,5,608.6787554780564,1
268587,2,87,1,aa,13,1,1,205.4706184252705,4
268659,2,27,2,aa,12,7,2,1119.546218934076,1
268747,1,14,2,aa,1,1,5,574.4402744234582,3
269071,1,78,2,aa,47,7,2,135.01653683049673,1
269412,1,52,2,aa,29,3,5,893.0244515953787,3
269467,1,75,2,aa,12,3,5,1334.7006717191996,2
269626,1,14,2,aa,29,1,4,738.8021436771523,2
269824,1,75,2,aa,4,7,2,366.5975989027887,4
269998,1,74,1,aa,1,1,2,1345.1712037894642,2
270160,1,20,2,aa,5,3,2,531.4398634077768,2
270221,1,86,2,aa,56,7,4,1158.813264220648,2
270544,1,15,2,aa,47,7,4,604.5470237075021,2
271158,1,88,2,aa,31,3,4,1276.0173826174332,2
271449,1,40,1,aa,16,7,2,1192.1801410120875,4
271492,1,15,2,aa,39,3,4,1135.791334800132,2
272178,1,84,2,aa,1,3,4,1104.1628354473246,2
272217,2,33,1,aa,1,3,4,343.48392687523716,2
273448,2,30,2,aa,13,7,4,1328.680217517375,2
273904,2,90,2,aa,36,3,4,360.47140503202553,3
274435,2,66,1,aa,59,3,2,1262.6882442121594,4
274489,2,90,2,aa,6,7,2,562.789978027344,2
274558,2,66,2,aa,18,1,4,116.4923020987848,4
274764,2,84,2,aa,6,4,2,779.6545843863895,2
274909,2,64,2,aa,28,1,2,259.0615784647226,4
275033,2,48,2,aa,57,6,3,998.1555862511492,2
275385,2,31,2,aa,54,4,5,1159.9297528979312,2
275700,1,65,2,aa,36,4,5,796.8878830024345,3
275748,2,87,2,aa,36,2,3,1159.798647252362,3
275852,2,64,2,aa,56,3,3,935.5323735154359,4
275953,2,74,2,aa,57,4,5,1258.692427918263,2
276147,2,64,2,aa,59,2,3,1261.7092137923828,3
276150,2,50,1,aa,3,5,5,467.4521476343395,1
276179,1,64,1,aa,3,4,3,419.271439585658,2
276267,1,54,1,aa,22,2,3,1332.1388332546985,4
279359,2,36,1,aa,22,2,4,367.70237106141735,2
280678,2,47,1,aa,19,4,4,1287.405954716052,4
280762,2,64,1,aa,57,2,3,1281.7848221149377,2
281024,2,48,1,aa,57,4,3,911.6654631911932,1
281212,1,57,1,aa,46,2,3,293.1748609162084,2
281506,1,57,1,aa,59,6,3,487.4853624657781,2
281789,1,41,1,aa,56,4,4,771.9708986321205,4
282152,1,78,1,aa,56,4,4,1284.0093804131097,3
282745,1,21,1,aa,19,4,4,892.8969704730201,4
282776,1,78,1,aa,4,4,5,119.98654220806009,3
282823,1,78,1,aa,23,1,3,1274.9125771690915,4
282836,1,80,1,aa,36,2,4,348.9318565463325,3
282867,1,86,1,aa,4,3,3,106.49193326376479,3
283143,2,82,1,aa,17,5,4,60.019894283260506,1
283198,2,29,1,aa,1,4,3,1292.185924421223,1
283255,2,83,1,aa,7,3,5,1039.0560886652668,1
283431,2,44,2,aa,55,6,3,695.2107560095258,4
283512,2,28,2,aa,53,5,2,905.6994467511864,1
283706,2,45,2,aa,8,5,2,878.4558450746558,3
283758,2,59,2,aa,8,3,2,626.9152411097746,1
283796,1,83,2,aa,1,3,2,1293.6880856436412,3
283875,2,59,1,aa,13,5,2,108.86960083588015,3
284018,2,29,2,aa,50,6,4,1246.7468875643272,4
284112,2,87,2,aa,46,1,4,1192.3766138755982,1
284619,1,78,2,aa,28,2,5,293.8053247586931,1
284654,2,83,2,aa,28,5,4,445.98393920378817,1
287347,2,85,2,aa,28,5,2,274.42783194687286,3
287434,2,58,2,aa,29,6,2,410.3010880814961,3
287514,2,58,2,aa,36,6,3,796.9798292042028,1
287528,1,35,2,aa,20,6,5,158.44082214915753,3
287555,1,80,2,aa,23,1,2,799.3060878553416,1
287574,2,57,2,aa,57,3,4,812.8487785399416,4
288276,2,37,1,aa,15,5,3,909.549193964653,1
288462,2,59,1,aa,31,2,3,386.6616900884545,3
288680,2,58,1,aa,23,2,4,964.5657897312055,1
289205,2,39,1,aa,57,1,3,131.86962401045642,1
289790,2,39,1,aa,9,6,4,62.54547434263815,1
289832,1,59,2,aa,53,5,2,1280.6184045549828,2
291061,1,58,2,aa,29,4,3,88.16439483880524,1
291580,1,57,2,aa,41,5,2,917.8366941599836,1
292070,1,30,1,aa,8,4,3,546.0067485503969,2
292369,2,86,2,aa,60,7,3,585.6847555537435,1
292471,1,20,2,aa,60,7,5,1343.6897215199745,1
295373,2,86,1,aa,48,2,3,557.3483623441083,1
295756,2,68,1,aa,52,3,5,719.6232850762175,1
296254,1,68,1,aa,54,2,3,46.03950311562989,2
296684,2,49,1,aa,27,2,3,204.1195947376254,1
296944,2,49,1,aa,63,4,2,808.5560857847289,1
300748,2,68,1,aa,63,4,3,1260.8453237355623,1
301769,2,82,1,aa,34,4,2,1204.1468994193997,4
301858,2,70,1,aa,22,4,2,46.86289858222101,4
302087,2,87,1,aa,55,3,3,869.8424455664718,4
302529,1,70,1,aa,62,3,2,154.6838990414426,4
303845,1,51,2,aa,60,5,5,62.95488732831914,4
304177,1,70,1,aa,14,5,3,94.65035972358214,2
304689,2,70,2,aa,41,3,3,671.9784490431083,2
306554,2,62,2,aa,41,4,2,1275.2959971363334,3
307557,1,62,1,aa,23,3,2,474.43171216934707,3
308067,2,70,1,aa,9,5,2,478.4423205840186,4
309205,1,30,2,aa,60,3,5,500.024242868293,3
310274,2,29,2,aa,41,3,5,412.4117743967824,4
310322,2,82,1,aa,9,3,1,1057.1326980660754,3
310392,1,31,1,aa,37,4,1,670.7833142935028,4
310508,1,56,1,aa,20,6,4,216.88289669823945,3
310555,1,47,2,aa,63,6,4,770.2144306795828,2
310591,1,36,1,aa,50,4,1,1058.052808203139,3
310677,2,36,2,aa,50,6,1,502.5474990511839,4
310709,2,36,2,aa,37,6,4,1263.4566934321713,4
310803,1,61,2,aa,52,5,4,1135.69720951211,3
310821,1,46,1,aa,16,6,4,56.84114592509411,4
311145,1,19,1,aa,18,4,4,822.1610332525433,3
311227,2,36,2,aa,49,6,1,682.7815655672673,2
311301,2,48,1,aa,61,6,4,272.2852263728109,2
311321,2,36,1,aa,28,5,4,487.12899283318524,4
311326,1,19,1,aa,12,6,1,671.2243460053704,2
311375,2,36,1,aa,28,6,1,671.3356894543174,2
311395,2,62,1,aa,42,6,1,590.8334477439377,2
311427,2,46,1,aa,35,6,1,1141.266075228905,3
311432,2,44,1,aa,49,6,4,572.2903315529293,2
311474,1,62,1,aa,14,5,2,264.63091406784855,1
311477,2,46,1,aa,13,6,2,110.80623009848154,2
311502,2,30,1,aa,29,5,4,571.5350333838311,4
311504,2,62,2,aa,28,6,1,275.98218004645105,3
311522,2,44,2,aa,60,6,4,1039.2111909731495,2
311552,2,37,2,aa,28,6,4,247.7904702569271,2
311646,2,62,2,aa,23,5,4,203.31290207889086,2
311708,2,79,2,aa,27,6,4,247.96208852549069,2
311743,2,37,2,aa,23,6,2,160.25241390888272,2
311767,2,28,2,aa,32,6,5,641.6755465639011,2
314504,2,14,2,aa,33,6,2,1314.429274768782,2
314504,1,49,2,aa,36,7,3,1174.1172707875935,1
314515,1,60,2,aa,36,1,3,1201.9859466863888,2
314684,1,84,2,aa,33,6,3,1314.513960299272,4
314721,1,78,2,aa,27,2,2,1315.733467041926,2
314942,1,79,2,aa,39,2,1,108.88272760941041,2
315065,1,19,2,aa,42,7,2,728.6057960174578,2
315260,1,79,2,aa,42,2,1,1174.6298548200896,3
315312,1,37,2,aa,39,1,2,82.07366329979153,4
315334,1,16,1,aa,60,7,1,1175.6332779490244,3
315580,1,18,2,aa,33,5,3,1107.1018422798006,4
315685,1,20,1,aa,26,2,2,389.1942563525406,4
316031,1,37,1,aa,15,5,5,625.5192459343382,1
316202,1,62,1,aa,20,1,1,878.733228184787,4
316270,1,14,1,aa,60,5,2,501.05607687044676,2
316885,2,79,1,aa,33,2,2,63.635004454634995,3
317195,1,36,1,aa,26,1,1,4.070178893872242,4
317944,1,36,2,aa,15,3,3,1340.2563752773108,3
318755,2,18,1,aa,23,1,1,836.9189203923893,4
319163,2,14,1,aa,21,3,1,245.79813855671327,2
322761,1,36,1,aa,37,2,3,877.5215875576107,4
323165,2,39,1,aa,37,2,5,835.9361893013355,4
323250,2,78,1,aa,34,3,1,1074.3206915226597,1
323279,2,78,1,aa,37,3,4,609.1313721989876,3
323361,1,84,2,aa,60,2,4,553.098921398321,2
323474,1,44,2,aa,17,3,4,265.713377146261,3
323590,1,87,2,aa,41,3,4,1205.3777315180582,2
323648,1,62,2,aa,36,2,4,836.4699076986723,4
323659,1,41,2,aa,28,1,4,1315.0944363163264,4
323712,1,22,2,aa,36,3,4,292.3152744872673,2
323798,1,86,2,aa,29,2,4,277.44466889313554,4
323855,1,24,1,aa,28,2,4,292.861141324662,4
324100,2,51,1,aa,60,4,4,277.7502116108498,3
324139,2,41,2,aa,41,3,5,280.5897555833761,2
324219,2,77,1,aa,35,2,4,275.1881921062539,3
324391,1,18,1,aa,5,1,5,1140.5794057787691,2
324508,1,51,1,aa,41,4,1,282.0772001483693,1
324589,2,84,1,aa,58,2,4,869.9810111794063,3
331206,1,84,2,aa,7,3,4,175.29123941490724,2
331917,2,84,2,aa,43,6,4,457.7206151263601,3
332272,1,67,2,aa,28,5,4,1110.1091636044969,2
332620,1,30,1,aa,6,5,4,1141.1853216899967,3
333613,2,42,2,aa,14,5,5,460.9484385525843,3
334867,2,81,2,aa,4,4,4,745.0743769294118,3
335244,1,30,2,aa,22,2,1,1088.490295177478,4
335314,2,70,2,aa,58,5,4,626.5209010825573,1
335390,2,49,2,aa,14,6,5,161.50341822732548,1
335698,2,74,2,aa,51,4,4,927.550564912413,2
335994,2,74,2,aa,4,5,5,864.9067851264675,3
336004,1,24,2,aa,12,4,5,487.7800919078851,4
336252,1,20,2,aa,24,5,4,1175.842823142159,4
336308,1,20,2,aa,50,4,4,562.789978027344,4
336402,2,15,1,aa,32,5,3,671.3195804151802,1
336613,1,82,1,aa,5,5,3,514.8326298232753,1
336735,2,24,2,aa,52,6,4,498.80482276145386,4
340134,1,28,1,aa,42,1,3,463.8402691033174,4
340293,2,17,1,aa,42,6,3,411.47476020634815,2
340430,2,50,1,aa,8,6,1,1158.2944549821616,4
340622,2,78,1,aa,41,7,5,129.8955476175512,1
340659,2,22,1,aa,12,4,1,1156.684895235756,4
340814,2,22,1,aa,21,6,1,1254.5947767151983,1
340842,2,42,1,aa,32,4,4,202.2345727694437,3
340893,1,50,1,aa,23,6,3,878.9492446804956,4
341431,1,61,2,aa,23,6,4,1157.9777467428214,3
341990,1,46,1,aa,21,5,5,878.3251865781095,4
342095,2,49,1,aa,21,6,4,217.74879233696387,4
343557,1,16,2,aa,52,3,4,586.6616978726629,4
343618,1,52,2,aa,14,6,1,1204.640987852455,3
343667,2,60,1,aa,14,6,3,671.1118907470376,4
343965,2,60,2,aa,53,7,4,741.9445429338372,2
344469,1,24,1,aa,28,6,4,1041.8051283860584,4
344990,2,63,1,aa,4,3,3,238.72131081616823,2
345459,2,20,2,aa,57,3,4,1042.029465946116,4
345777,2,20,2,aa,28,5,1,1046.2852391871052,1
345951,1,62,2,aa,57,6,2,152.86230032375707,3
347412,2,16,2,aa,15,7,3,1039.889893954688,3
347792,1,46,1,aa,56,4,4,372.9076453128047,4
347865,1,86,2,aa,4,6,4,843.8124573065592,3
348011,1,62,1,aa,25,1,2,1039.1750104928985,2
350237,1,21,2,aa,5,1,2,485.79182346816435,2
350246,2,62,1,aa,43,5,3,1267.443946318963,4
350281,1,86,1,aa,34,3,1,163.58640347961864,4
350328,2,15,2,aa,29,7,3,292.34510399250803,4
350679,2,63,1,aa,35,7,3,340.11599690344195,4
350708,2,62,2,aa,56,6,1,1129.6677316243588,4
350744,1,72,1,aa,30,1,3,278.9100998749531,4
351073,2,62,2,aa,34,1,4,493.27276229269177,3
351311,2,65,2,aa,23,7,2,688.7602762147108,3
351312,2,62,1,aa,25,3,3,332.9428026402923,3
351420,1,67,1,aa,23,3,2,1238.0284147586847,3
351460,2,65,1,aa,10,3,2,695.0162113905702,1
351492,2,68,1,aa,14,3,3,554.7674011498614,1
351517,1,75,1,aa,35,7,5,695.6724953163096,4
351611,1,53,1,aa,35,5,1,1117.9821846046216,3
352206,2,30,1,aa,42,6,4,492.6872468741595,4
352427,2,30,1,aa,35,5,1,1141.810163157569,1
353166,2,62,1,aa,43,2,1,693.4457503996209,1
353915,1,27,1,aa,14,6,1,179.29031173155062,4
354590,2,59,2,aa,24,6,3,493.08623990808013,1
354879,1,40,2,aa,14,2,5,626.8508906725182,2
354945,2,67,2,aa,33,6,4,625.2235920088418,4
355285,2,52,2,aa,36,1,2,772.7909899496627,2
355407,2,41,2,aa,43,1,5,916.2612963951925,1
355424,1,50,2,aa,16,5,2,627.6762793234408,1
355530,2,70,2,aa,56,2,4,445.3163736029073,1
355787,2,67,1,aa,34,1,4,650.5230885253274,1
356138,2,44,1,aa,56,5,5,176.59343326952762,1
358088,2,68,2,aa,37,2,4,1239.8400591744082,1
358151,2,45,2,aa,37,7,2,611.7065456361755,1
358180,2,59,2,aa,48,4,2,998.0528351517008,1
358196,2,62,2,aa,51,2,2,457.5953874161821,1
358260,1,46,2,aa,57,3,2,1098.566784389288,2
360592,1,14,2,aa,40,7,5,59.93446831410266,1
360855,2,60,2,aa,51,5,3,528.5571569394506,2
360864,1,61,2,aa,19,1,5,893.2537833209341,4
361032,1,51,2,aa,57,4,5,861.1186914632287,1
361135,2,48,2,aa,52,5,1,1036.623526035704,1
361842,1,32,2,aa,46,1,3,466.0320163330387,3
362014,1,66,1,aa,10,1,5,892.8408303832872,4
362143,1,53,2,aa,12,2,3,860.8802458508932,3
362473,1,66,2,aa,48,1,2,892.2060057280868,2
362590,2,83,2,aa,51,2,1,1042.6517630059552,3
363001,2,60,2,aa,34,3,5,447.647534951016,3
363061,2,32,1,aa,61,2,5,28.572729114529714,4
363505,1,15,2,aa,43,5,1,625.333072679098,3
363610,2,32,1,aa,61,2,4,1036.2295276927243,2
363863,1,32,2,aa,42,4,2,305.7797854578952,3
363876,2,33,1,aa,8,1,4,832.754026407625,3
363943,1,32,1,aa,16,3,4,129.1667604518475,1
364333,2,32,1,aa,16,4,1,132.4620782704235,4
364511,2,84,1,aa,16,7,2,119.12181108088393,3
364593,1,33,2,aa,29,1,4,257.07750557499077,2
365964,2,46,2,aa,42,5,4,463.32482653768653,4
366320,1,52,2,aa,63,7,3,814.8607800389949,1
366502,2,87,2,aa,58,3,5,131.42353234019333,2
366844,1,79,1,aa,47,1,3,410.37087363479736,3
367304,1,63,2,aa,4,3,4,1057.913446166584,1
367545,1,79,1,aa,28,1,3,529.3996875032902,4
369288,1,41,2,aa,63,4,1,485.3490027333807,1
369445,2,55,1,aa,29,5,3,539.8724813054014,4
369663,2,86,2,aa,36,1,1,1060.87244857102,1
369993,1,72,1,aa,38,5,4,1.9513096594334502,1
370541,2,80,1,aa,42,2,1,562.789978027344,4
371853,2,84,2,aa,34,2,3,499.17745430561195,1
372774,2,86,1,aa,41,7,3,265.433059315229,4
372775,2,64,1,aa,42,4,2,863.5500178327942,4
373033,1,64,1,aa,31,5,4,604.7058066756052,1
373215,1,66,1,aa,33,5,4,861.276956639948,1
373542,2,84,2,aa,29,1,3,474.9206349165293,1
373856,2,29,1,aa,42,1,3,859.316974677594,2
373865,2,60,2,aa,31,3,4,204.79671392764283,4
373882,1,32,2,aa,58,4,2,859.8223476762626,4
374073,1,30,1,aa,0,4,1,1147.292316426999,1
374256,1,29,1,aa,58,5,1,892.5014283300962,2
374382,1,32,2,aa,3,3,3,1061.6729061575916,1
374483,1,64,1,aa,49,7,3,273.37366732076293,1
374648,2,35,2,aa,42,7,5,892.4429695131269,3
374687,2,66,1,aa,2,5,3,860.2862501887314,1
374775,1,69,2,aa,40,7,1,369.007620158682,3
377587,1,29,2,aa,48,6,3,1172.5968749956473,1
377772,2,62,2,aa,18,2,3,411.1069777822878,1
377790,2,29,2,aa,32,2,3,694.6774889806138,1
377861,1,78,1,aa,36,2,1,29.76476400907673,2
378300,2,78,2,aa,16,5,5,257.54274957719144,3
378560,2,14,1,aa,16,3,1,1157.370711104886,1
378704,2,53,2,aa,14,6,1,670.9285012925874,2
378781,2,83,1,aa,44,3,1,1079.1064725230415,2
378847,2,44,1,aa,48,4,1,649.9187748582722,2
382302,2,44,1,aa,60,3,3,1075.0778548710407,2
383302,2,38,2,aa,60,7,1,88.30501694088973,2
383941,1,38,2,aa,36,3,1,107.08272027599831,1
384002,1,38,2,aa,60,2,3,648.2938966959663,1
