TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5,PERSONENGRUPPE
2,40,2,29,5,4,2,655
2,75,2,17,4,1,4,101
2,83,1,54,7,3,3,101
2,70,1,18,2,4,4,101
2,82,1,22,5,4,1,101
2,18,1,20,1,1,3,101
2,80,2,17,7,1,1,101
2,46,2,50,1,3,1,504
2,51,2,44,4,2,2,569
2,47,2,15,3,1,1,376
2,26,1,43,2,3,2,712
2,44,1,49,3,4,2,592
2,24,2,2,3,4,4,268
2,49,1,39,4,2,4,699
2,24,1,59,2,4,4,101
2,74,2,9,5,4,4,480
2,25,1,46,5,5,4,101
2,64,2,46,3,1,2,101
2,58,2,19,6,1,4,101
2,86,1,49,6,4,4,101
2,83,1,11,5,4,4,101
2,51,2,44,3,5,3,496
2,26,1,43,5,1,3,712
2,47,1,34,4,3,2,101
2,18,1,43,3,1,4,101
2,42,2,34,6,5,2,378
2,34,2,48,3,2,4,725
2,67,1,61,7,1,3,101
2,66,2,55,7,3,1,413
2,70,2,43,7,4,3,101
2,58,2,59,3,4,2,633
2,29,1,3,7,5,3,101
2,78,2,40,5,5,1,691
2,28,1,59,1,1,4,654
2,86,1,49,1,1,4,101
2,87,2,49,5,2,2,101
2,54,1,31,2,1,4,101
2,56,1,27,3,5,3,562
2,43,1,40,4,3,2,633
2,62,2,23,4,4,3,548
2,52,1,44,3,3,2,101
2,69,2,37,3,2,3,101
2,53,1,30,1,3,2,101
2,44,2,61,6,2,4,101
2,52,2,58,6,3,2,101
2,70,2,12,1,3,3,717
2,22,2,52,3,2,3,376
2,19,2,54,5,3,4,453
2,43,2,29,3,3,4,637
2,59,1,57,3,1,4,101
2,52,1,54,7,2,4,101
2,86,1,49,7,5,1,101
2,27,1,47,1,4,4,101
2,35,1,19,1,4,4,101
2,57,2,16,2,2,1,101
2,42,1,60,4,5,4,101
2,52,1,23,5,4,1,520
2,51,1,3,4,4,4,101
2,51,1,45,5,4,2,101
2,20,1,31,7,4,1,352
2,35,2,45,3,4,4,395
2,59,2,57,4,1,4,101
2,69,2,10,7,3,1,101
2,53,2,55,3,5,2,101
2,52,2,60,6,4,2,483
2,51,2,45,3,5,1,101
2,74,2,37,3,1,4,365
2,80,2,15,4,4,4,101
2,35,2,59,3,3,3,101
2,44,1,3,1,3,4,672
2,18,1,23,3,2,1,101
2,80,2,10,7,3,4,101
2,58,1,19,5,4,3,101
2,69,2,20,4,2,3,101
2,24,1,57,6,2,4,101
2,80,2,23,1,3,3,101
2,77,1,9,4,3,4,101
2,20,2,42,2,2,4,101
2,25,1,57,1,4,2,101
2,86,1,34,1,4,2,101
2,74,2,9,4,2,3,587
2,62,2,18,6,4,3,101
2,60,1,9,6,4,3,101
2,45,1,2,1,5,3,101
2,35,1,36,7,5,4,101
2,52,1,44,2,4,2,101
2,51,2,9,3,3,3,321
2,52,2,23,5,3,1,523
2,35,2,18,2,4,3,101
2,72,1,50,5,2,3,505
2,55,1,33,1,1,4,106
2,53,1,3,2,2,2,101
2,83,2,27,3,1,2,101
2,54,2,35,7,1,1,112
2,88,2,19,5,2,1,101
2,47,2,34,3,1,3,101
2,51,1,45,6,3,4,101
2,70,2,20,5,2,2,101
2,83,2,11,2,2,1,101
2,69,1,27,3,3,2,101
2,51,2,3,3,5,2,101
2,44,1,61,6,2,3,101
2,37,2,19,2,4,1,310
2,39,2,60,2,3,1,101
2,67,2,19,6,4,3,101
2,74,1,42,3,3,2,711
2,58,2,21,6,5,3,763
2,67,2,60,7,2,1,357
2,83,1,26,7,5,3,101
2,32,1,43,2,3,3,725
2,80,2,25,1,3,1,101
2,53,2,28,6,2,1,101
2,51,2,33,4,4,2,111
2,24,1,54,6,1,4,653
2,74,2,9,2,2,4,586
2,59,2,23,5,5,2,101
2,59,1,2,1,4,4,651
2,32,2,43,1,5,1,727
2,64,1,40,5,4,4,101
2,18,2,9,2,1,4,101
2,32,1,36,6,5,4,101
2,45,1,54,1,3,4,465
2,35,2,24,2,3,4,753
2,21,2,43,5,4,1,727
2,53,1,28,5,4,3,101
2,64,2,23,6,5,4,268
2,45,1,35,2,2,1,368
2,20,1,42,5,1,4,697
2,33,2,24,7,2,4,263
2,86,1,39,6,4,2,101
2,81,1,27,3,2,3,101
2,45,1,46,3,3,3,101
2,82,1,12,2,1,4,101
2,20,2,46,1,1,2,101
2,26,2,56,3,2,3,101
2,14,2,57,2,4,2,2
2,35,2,41,7,1,2,551
2,68,2,35,6,2,2,366
