TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,EF16U2,LEISTUNGSGRUPPE,B27
2,70,2,58,6,2,aa
2,82,2,56,3,4,aa
2,42,1,62,1,3,aa
2,41,1,3,4,3,aa
2,35,2,43,5,3,aa
2,29,2,56,7,2,aa
2,34,1,40,5,1,aa
2,30,1,28,4,3,aa
2,34,2,30,5,1,aa
2,59,2,17,6,3,aa
2,18,1,9,4,4,aa
2,74,2,27,7,5,aa
2,20,2,46,6,1,aa
2,17,1,59,5,1,aa
2,22,1,20,7,1,aa
2,34,1,23,7,3,aa
2,35,2,19,2,3,aa
2,20,1,3,7,5,aa
2,68,2,14,3,5,aa
2,36,1,51,7,4,aa
2,46,2,13,6,3,aa
2,78,1,56,2,3,aa
2,24,1,57,5,1,aa
2,59,2,29,5,1,aa
2,44,1,5,7,3,aa
2,42,2,55,1,3,aa
2,74,2,7,6,2,aa
2,50,2,16,6,2,aa
2,92,2,30,7,2,aa
2,51,1,17,6,2,aa
2,20,1,24,5,5,aa
2,62,2,20,6,4,aa
2,32,2,51,7,5,aa
2,50,2,50,2,4,aa
2,24,1,19,7,4,aa
2,40,1,56,1,3,aa
2,75,1,15,3,2,aa
2,78,2,30,3,2,aa
2,60,1,55,1,3,aa
2,35,1,61,2,2,aa
2,38,2,45,4,1,aa
2,49,1,14,5,3,aa
2,51,2,48,3,1,aa
2,35,1,19,3,3,aa
2,22,1,19,4,4,aa
2,66,2,10,2,3,aa
2,20,2,42,3,3,aa
2,49,2,34,4,4,aa
2,35,1,42,3,3,aa
2,50,1,2,4,2,aa
2,52,2,53,3,5,aa
2,78,2,15,1,1,aa
2,76,2,51,3,4,aa
2,37,1,50,7,5,aa
2,53,1,49,2,3,aa
2,74,1,42,3,3,aa
2,52,2,19,4,4,aa
2,49,2,46,1,4,aa
2,50,2,23,3,4,aa
2,76,1,29,7,1,aa
2,82,1,23,7,2,aa
2,85,2,17,7,2,aa
2,53,1,29,1,3,aa
2,52,2,2,5,3,aa
2,81,2,18,2,2,aa
2,43,2,14,6,1,aa
2,62,2,28,6,2,aa
2,34,1,43,5,4,aa
2,27,2,28,2,2,aa
2,43,2,34,5,3,aa
2,52,2,35,1,2,aa
2,79,2,24,1,2,aa
2,83,2,8,6,4,aa
2,48,1,22,7,2,aa
2,73,2,58,5,1,aa
