TAETIGKEITSSCHLUESSEL4,EF41,EF10,EF40,B27,EF21,EF16U2,LEISTUNGSGRUPPE
2,53,1,35,aa,300949,5,3
1,40,1,50,aa,301023,5,2
2,69,2,35,aa,301633,4,3
1,82,1,34,aa,303097,7,3
2,69,1,41,aa,303624,2,3
2,86,1,61,aa,303683,5,3
2,68,1,23,aa,303683,4,2
1,69,1,55,aa,304107,6,3
2,68,1,41,aa,304235,6,2
2,27,2,14,aa,304679,3,3
2,63,2,61,aa,305202,4,5
1,26,2,16,aa,305602,3,3
2,46,2,41,aa,305899,6,1
1,87,2,62,aa,307635,2,1
1,68,1,62,aa,307713,6,5
2,87,1,39,aa,310379,6,5
1,68,1,36,aa,310537,5,1
1,63,1,36,aa,310794,6,1
1,17,2,12,aa,310895,6,1
1,27,1,23,aa,310962,4,4
1,14,2,53,aa,311118,5,4
2,68,1,63,aa,311152,4,4
1,46,2,14,aa,311375,6,1
1,46,1,63,aa,311562,3,4
2,37,1,53,aa,311606,3,1
2,37,2,36,aa,311608,4,1
2,31,1,63,aa,311614,3,4
2,55,1,36,aa,311662,6,1
2,90,1,25,aa,311683,2,4
1,37,1,37,aa,311745,4,4
2,37,1,14,aa,311750,6,1
2,37,1,28,aa,314382,2,4
1,56,1,15,aa,314683,5,5
2,82,1,28,aa,314836,6,2
2,19,1,28,aa,314859,6,4
2,76,2,51,aa,314940,5,2
2,62,2,34,aa,314991,1,4
1,37,2,49,aa,314996,7,4
2,20,2,48,aa,314997,2,1
2,27,2,63,aa,315155,5,4
1,63,2,20,aa,315269,6,4
2,87,2,22,aa,315290,6,2
2,63,2,63,aa,315349,5,2
2,60,2,25,aa,315398,5,1
1,21,2,9,aa,315691,5,3
2,78,2,23,aa,315750,7,2
1,40,2,25,aa,316005,6,1
2,60,2,28,aa,316042,5,3
1,14,2,28,aa,316108,6,3
1,14,2,41,aa,316187,6,1
1,40,2,28,aa,316596,6,2
1,19,1,27,aa,316675,6,3
1,27,1,41,aa,317259,6,1
1,19,2,27,aa,317343,6,2
1,39,1,29,aa,317725,7,1
1,39,1,29,aa,318122,1,1
2,49,2,39,aa,318840,1,1
2,40,1,39,aa,319182,2,5
1,77,1,61,aa,322787,1,2
2,39,1,35,aa,323044,2,2
1,57,1,10,aa,323089,2,2
2,79,1,19,aa,323215,2,2
2,39,1,14,aa,323286,2,4
1,20,1,62,aa,323307,2,4
1,78,1,48,aa,323348,1,4
2,83,1,35,aa,323450,2,4
1,78,2,8,aa,323631,3,5
1,46,2,61,aa,323660,3,4
1,42,2,50,aa,323838,3,4
1,37,2,36,aa,323844,3,5
1,39,2,32,aa,324159,1,4
1,63,2,43,aa,324274,3,4
1,39,2,63,aa,324294,3,4
1,49,2,36,aa,324435,3,4
1,55,2,62,aa,324548,4,5
1,76,1,37,aa,324561,3,3
1,55,2,33,aa,324582,1,4
1,39,2,20,aa,328451,3,5
1,40,2,42,aa,329313,3,3
2,81,1,5,aa,329803,3,4
2,81,1,42,aa,329904,1,4
2,67,1,43,aa,330375,5,1
2,53,1,57,aa,331796,1,4
1,42,1,42,aa,332747,5,1
2,17,2,26,aa,333256,5,4
2,73,2,4,aa,333519,6,5
2,17,1,57,aa,334382,1,4
1,15,2,5,aa,336293,6,4
2,59,2,14,aa,336834,4,5
2,52,2,33,aa,336836,6,1
2,57,2,26,aa,340693,4,4
1,60,2,1,aa,340980,6,3
2,53,2,35,aa,340983,4,4
1,70,2,51,aa,341195,6,5
1,20,1,24,aa,341258,6,5
2,44,1,20,aa,342312,6,5
1,15,2,5,aa,342717,6,4
2,46,1,20,aa,343044,6,4
2,59,1,9,aa,344572,2,4
1,28,1,40,aa,344944,5,5
2,81,2,58,aa,345339,6,3
1,52,2,22,aa,345442,6,3
2,15,1,58,aa,345460,5,4
2,49,1,52,aa,345900,5,1
2,81,2,35,aa,346470,4,3
2,15,1,14,aa,346944,7,3
1,75,1,22,aa,346987,5,4
2,71,1,35,aa,347199,6,1
1,87,1,22,aa,347488,5,3
1,63,1,15,aa,350300,3,4
1,77,2,6,aa,350513,7,1
2,84,1,2,aa,350558,5,4
2,62,2,42,aa,350926,4,5
1,76,1,41,aa,351097,4,2
2,63,2,14,aa,351423,3,4
2,40,1,9,aa,352023,1,4
1,66,2,15,aa,352095,6,4
1,25,1,35,aa,352103,5,2
1,76,1,15,aa,352152,5,4
2,61,1,15,aa,352220,7,3
2,20,2,33,aa,352322,7,4
1,29,2,56,aa,352340,3,3
1,29,1,5,aa,355058,1,2
1,21,1,15,aa,355385,2,4
1,21,1,54,aa,355625,2,5
2,58,2,56,aa,356332,3,3
2,64,1,24,aa,357906,3,4
2,20,1,33,aa,358058,4,4
2,22,2,5,aa,358060,2,1
1,71,1,23,aa,358074,6,1
2,53,2,34,aa,358097,7,4
1,22,2,10,aa,358224,7,3
1,60,1,35,aa,358268,4,1
2,82,1,23,aa,358329,6,1
2,64,2,42,aa,358346,6,3
2,63,1,4,aa,358365,5,3
2,63,1,16,aa,360737,6,5
2,20,1,47,aa,360999,5,5
1,54,1,42,aa,361099,5,2
2,71,1,2,aa,361622,1,2
2,55,2,14,aa,362308,2,3
2,73,2,16,aa,362418,5,4
1,29,1,40,aa,362462,3,3
2,47,1,41,aa,362671,2,2
1,29,2,50,aa,362799,2,3
2,29,2,42,aa,362849,6,2
2,26,2,36,aa,362937,2,2
1,18,2,42,aa,363124,6,4
2,53,2,63,aa,363601,2,1
2,29,2,42,aa,363761,1,2
2,14,2,48,aa,363895,1,1
1,35,2,63,aa,363971,7,2
2,63,1,37,aa,364172,1,1
2,52,2,30,aa,364933,3,2
2,33,1,42,aa,365247,7,1
2,80,2,18,aa,365595,2,3
2,35,2,16,aa,365732,5,5
1,35,2,19,aa,365796,1,5
1,33,1,18,aa,366132,2,2
1,35,2,3,aa,366551,7,1
1,40,2,30,aa,366821,5,5
1,35,1,48,aa,366828,7,5
2,35,2,19,aa,367463,7,3
1,44,2,52,aa,367985,7,3
2,58,2,56,aa,368532,1,5
1,64,2,62,aa,369139,7,2
2,24,1,48,aa,369784,3,2
2,64,2,26,aa,370002,1,1
1,61,2,56,aa,370336,5,1
1,47,2,62,aa,370654,5,5
1,47,2,36,aa,370700,1,2
1,71,1,56,aa,371608,2,4
1,35,1,18,aa,371928,4,4
2,75,2,31,aa,372568,1,2
1,58,2,50,aa,372956,4,5
2,70,1,35,aa,373046,5,3
1,35,2,46,aa,373191,3,3
2,44,2,39,aa,373325,3,3
1,78,1,19,aa,373384,2,4
2,65,2,56,aa,373423,3,4
2,34,1,4,aa,373507,2,4
2,49,1,63,aa,373525,2,3
1,62,2,43,aa,373525,1,4
2,76,1,54,aa,373612,7,2
2,45,2,5,aa,373617,5,4
2,60,1,56,aa,373640,5,3
1,37,1,28,aa,373684,2,3
2,37,1,29,aa,373727,5,1
2,30,2,43,aa,373789,5,1
1,77,2,29,aa,373897,4,4
1,30,1,63,aa,373906,1,4
2,58,1,28,aa,374027,1,4
2,71,2,43,aa,374203,1,3
2,60,1,50,aa,374526,3,1
2,37,2,28,aa,374532,1,3
2,71,2,32,aa,374584,3,1
1,70,2,35,aa,374651,7,3
1,38,1,14,aa,374730,4,1
2,51,1,58,aa,376896,3,1
1,38,1,36,aa,377092,6,3
1,51,2,50,aa,377317,7,5
1,37,1,30,aa,377540,3,3
1,41,2,33,aa,377568,5,1
1,71,2,43,aa,377716,4,1
2,37,2,58,aa,377886,3,1
1,87,1,9,aa,377916,4,1
2,70,2,32,aa,378094,4,1
2,36,2,37,aa,378167,5,1
2,82,1,8,aa,380969,3,5
2,29,1,61,aa,383054,2,1
2,78,1,34,aa,383217,2,2
1,40,2,41,aa,383228,7,2
1,29,1,53,aa,383274,2,5
2,36,2,35,aa,384305,5,5
2,54,1,61,aa,384794,7,2
2,86,2,48,aa,384842,6,1
2,40,2,40,aa,386112,6,2
1,84,2,33,aa,386261,7,3
2,55,2,52,aa,386437,5,3
2,60,1,50,aa,386959,4,1
1,82,2,62,aa,389322,4,1
2,87,1,50,aa,389504,4,1
2,78,2,62,aa,389799,2,2
1,79,1,31,aa,389880,7,2
1,42,2,39,aa,390202,6,3
1,52,2,8,aa,390360,5,2
1,79,2,36,aa,390414,6,2
1,49,1,27,aa,390471,6,1
2,64,1,36,aa,390968,6,3
2,80,1,45,aa,390995,6,3
2,80,1,16,aa,391002,6,2
