EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2
344551,2,49,1,aa,58,6
345102,1,29,1,aa,58,6
345249,2,31,1,aa,58,1
345327,2,60,1,aa,14,6
345804,2,24,1,aa,9,7
346108,2,15,1,aa,58,2
346398,2,21,1,aa,40,3
347030,2,50,2,aa,40,5
347389,1,21,1,aa,32,5
348124,1,31,1,aa,35,6
350281,1,16,2,aa,52,2
350764,2,47,2,aa,15,7
350786,1,62,1,aa,9,5
350917,1,20,2,aa,6,5
351146,2,53,1,aa,35,4
351161,2,19,1,aa,15,6
351267,1,47,2,aa,42,2
351443,2,62,2,aa,41,7
351524,2,24,2,aa,15,6
351588,2,19,2,aa,5,4
351602,1,64,1,aa,15,1
351671,2,69,2,aa,2,3
352140,1,65,1,aa,14,1
352141,1,71,2,aa,15,6
353211,1,56,1,aa,33,5
353529,1,84,1,aa,33,2
357888,2,84,2,aa,23,3
357891,1,61,1,aa,4,3
357938,2,78,2,aa,34,3
357956,2,50,1,aa,10,1
357969,2,62,2,aa,42,7
358076,1,69,2,aa,5,6
358209,2,14,1,aa,24,3
358268,2,44,1,aa,23,6
358316,2,69,1,aa,23,6
358324,1,61,1,aa,33,3
360486,2,72,1,aa,40,5
360777,1,23,1,aa,35,7
361248,1,15,1,aa,2,3
361480,2,83,1,aa,33,5
361916,2,17,1,aa,40,4
362166,2,46,1,aa,36,7
362233,1,62,2,aa,14,1
362446,2,60,2,aa,42,1
363032,1,17,2,aa,42,5
363305,2,17,2,aa,38,7
363306,2,55,2,aa,48,5
363393,2,51,2,aa,41,6
364920,1,87,2,aa,16,1
365470,2,87,1,aa,48,1
365487,2,29,1,aa,42,6
365821,2,87,2,aa,16,6
366203,2,29,2,aa,54,5
367167,2,83,2,aa,19,4
367233,2,35,2,aa,19,1
367349,2,54,2,aa,56,3
367991,1,71,2,aa,56,1
368089,1,47,2,aa,56,5
368125,2,24,2,aa,56,2
368218,1,32,2,aa,50,5
368443,1,35,2,aa,30,1
369293,2,64,2,aa,61,2
369354,1,54,1,aa,36,2
369770,1,32,2,aa,62,2
370385,1,35,2,aa,26,2
370389,1,35,2,aa,53,5
370570,2,79,2,aa,62,4
371259,2,14,1,aa,28,5
372591,2,79,2,aa,61,3
372760,1,77,1,aa,44,5
372774,2,60,2,aa,4,5
372815,1,44,1,aa,50,7
372856,2,60,1,aa,43,4
372958,1,48,1,aa,43,1
373427,2,61,1,aa,5,4
373657,2,70,2,aa,14,1
373676,1,70,2,aa,34,3
373761,2,63,2,aa,56,4
373775,1,87,2,aa,39,7
373839,2,44,1,aa,27,7
373840,1,87,2,aa,43,5
373945,1,15,1,aa,14,5
374136,1,32,2,aa,7,7
374219,1,32,1,aa,29,7
374318,2,27,2,aa,63,1
374387,2,76,1,aa,27,3
374600,1,49,1,aa,43,3
374644,2,45,2,aa,28,1
374663,2,27,1,aa,50,1
374731,2,32,1,aa,35,1
374762,2,53,1,aa,63,3
376932,1,86,1,aa,16,1
377126,1,78,2,aa,9,7
377235,2,32,1,aa,52,2
377295,2,46,2,aa,32,5
377305,2,57,2,aa,58,3
377697,1,74,1,aa,43,1
377699,1,35,1,aa,37,4
377710,1,69,2,aa,37,5
377775,1,79,1,aa,50,7
377886,1,37,2,aa,30,6
377895,2,79,1,aa,16,5
378279,2,36,2,aa,53,4
378592,1,36,2,aa,58,6
378837,1,85,2,aa,36,3
378871,2,50,2,aa,43,7
381105,2,70,1,aa,8,2
381834,1,37,2,aa,16,3
382512,2,36,1,aa,16,5
383120,2,47,2,aa,62,5
383188,2,60,1,aa,35,4
383652,2,68,1,aa,62,6
384228,2,51,1,aa,28,6
384343,2,44,2,aa,45,7
384512,1,15,2,aa,34,2
386375,1,82,2,aa,50,7
386403,1,37,2,aa,44,7
386537,2,37,1,aa,54,3
386738,2,69,2,aa,16,7
386921,2,63,1,aa,40,2
386940,1,60,2,aa,33,3
387055,1,37,2,aa,51,6
389522,2,41,2,aa,29,2
389575,2,64,2,aa,27,4
389645,1,80,1,aa,17,6
389931,2,41,2,aa,36,6
389983,1,69,1,aa,62,6
390001,1,62,2,aa,48,5
390149,1,41,1,aa,62,4
390180,2,37,1,aa,31,4
390255,2,69,1,aa,39,2
390885,2,80,1,aa,28,6
391061,2,51,1,aa,50,7
