EF21,TAETIGKEITSSCHLUESSEL4,EF41,EF10,B27,EF40,EF16U2,LEISTUNGSGRUPPE,TAETIGKEITSSCHLUESSEL5
267609,2,47,1,aa,54,1,2,1
268131,2,15,2,aa,6,5,2,1
268345,1,64,2,aa,58,5,2,4
268474,1,15,2,aa,10,3,1,3
268544,1,67,2,aa,44,7,1,4
268571,1,67,2,aa,59,1,4,2
268749,1,67,2,aa,56,3,2,2
268830,1,67,2,aa,44,3,4,2
268927,1,44,1,aa,56,7,4,4
269256,1,76,2,aa,30,5,4,2
269408,1,67,2,aa,22,1,2,2
269668,1,81,2,aa,6,3,2,2
269827,1,83,2,aa,48,7,2,2
269864,1,46,1,aa,10,3,4,2
269891,1,66,2,aa,56,3,4,2
270035,1,83,2,aa,48,3,2,3
270117,2,50,1,aa,44,3,4,2
270160,2,90,2,aa,30,3,4,4
270175,2,54,2,aa,17,3,2,3
270298,2,83,1,aa,55,7,4,2
270542,2,18,2,aa,37,7,2,3
270578,2,14,2,aa,54,2,2,4
270845,2,35,2,aa,39,5,4,4
271210,2,86,2,aa,39,1,3,2
275276,2,83,2,aa,19,2,3,2
275390,2,50,2,aa,28,4,3,2
278908,1,14,2,aa,2,4,4,2
280581,2,16,2,aa,37,4,3,4
280678,2,59,2,aa,11,4,3,2
280680,2,44,2,aa,57,4,3,3
280727,2,59,2,aa,13,5,3,1
281411,2,19,1,aa,45,2,5,1
281755,1,59,1,aa,13,5,3,3
281971,2,59,1,aa,18,5,3,2
282179,2,82,1,aa,57,6,3,1
282745,2,86,1,aa,18,4,3,4
282941,2,57,1,aa,18,1,5,2
283321,1,75,1,aa,6,3,3,2
283416,1,39,1,aa,18,4,5,4
283480,1,86,1,aa,6,4,4,3
283512,1,32,1,aa,30,3,4,1
283650,1,39,1,aa,31,4,5,3
283754,1,57,1,aa,52,6,5,4
283770,1,59,1,aa,22,2,4,1
283971,1,75,1,aa,31,3,4,4
284004,1,56,1,aa,29,4,3,4
284177,2,59,1,aa,58,6,2,3
284199,2,30,1,aa,30,5,2,2
284217,2,56,1,aa,29,6,4,2
284628,2,28,2,aa,30,4,2,3
284646,2,30,2,aa,29,4,3,3
287357,2,89,2,aa,0,3,2,3
287443,2,73,2,aa,1,3,5,4
288261,1,24,2,aa,44,5,4,1
288329,2,54,1,aa,37,1,4,1
288533,2,48,2,aa,44,5,2,1
289196,2,80,2,aa,44,2,4,1
289474,1,50,2,aa,13,6,2,1
290617,2,78,2,aa,44,6,5,3
290855,2,37,2,aa,23,2,2,4
290910,2,87,2,aa,4,2,2,1
291018,2,59,2,aa,0,3,3,3
291320,1,26,2,aa,15,1,4,1
291436,1,80,2,aa,58,6,3,1
291741,2,42,2,aa,29,1,3,1
291930,2,48,1,aa,4,2,4,3
292001,2,28,1,aa,37,1,4,4
292086,2,59,1,aa,46,5,4,3
292153,2,53,1,aa,11,2,3,1
292490,2,87,1,aa,4,2,5,2
292569,1,83,2,aa,58,6,5,1
292848,1,59,2,aa,52,4,2,1
295496,1,71,2,aa,19,4,2,1
295719,1,90,1,aa,23,5,2,2
299261,2,57,2,aa,35,3,2,1
299313,1,56,2,aa,33,4,3,1
299656,2,59,1,aa,41,4,2,2
300342,2,71,1,aa,34,5,3,1
301884,1,57,1,aa,21,3,3,1
302831,2,42,1,aa,23,4,2,1
302885,2,42,1,aa,34,4,2,1
303271,2,70,1,aa,61,3,3,1
303898,2,46,1,aa,23,4,3,3
303937,2,62,1,aa,27,3,3,3
304881,2,42,1,aa,61,3,3,2
305613,1,45,1,aa,61,5,2,3
305693,1,80,2,aa,55,2,3,3
306905,1,24,1,aa,27,3,2,3
307711,2,70,2,aa,13,5,3,3
308410,2,21,2,aa,50,3,3,4
308574,1,41,1,aa,14,4,1,2
308895,2,49,1,aa,17,4,5,4
309072,1,46,2,aa,62,4,1,4
310421,2,19,2,aa,36,5,1,4
310634,2,30,1,aa,36,4,1,4
310878,1,69,1,aa,53,2,1,3
310943,1,69,1,aa,39,6,1,3
311018,1,41,2,aa,36,6,1,2
311127,1,69,1,aa,9,6,4,4
311216,2,69,2,aa,39,3,4,4
311388,2,81,2,aa,35,6,4,4
311515,1,21,2,aa,35,6,1,2
311533,1,85,1,aa,29,7,5,4
311566,1,78,1,aa,53,6,5,4
311570,2,78,2,aa,38,5,4,4
311651,2,27,1,aa,63,5,4,4
314488,2,25,1,aa,20,6,4,2
314534,1,49,1,aa,49,6,1,4
315025,2,78,1,aa,48,2,4,2
315037,2,87,1,aa,22,6,5,4
315247,2,36,1,aa,63,2,4,3
315521,2,36,1,aa,51,1,4,4
315717,1,39,1,aa,27,5,1,2
316106,2,39,1,aa,41,2,1,2
316219,2,30,2,aa,23,2,1,4
316258,2,14,2,aa,29,5,4,2
316542,2,17,2,aa,41,6,2,2
316561,2,39,2,aa,25,6,2,2
316906,2,54,2,aa,27,6,4,1
317038,2,39,2,aa,12,6,3,2
317158,2,20,2,aa,23,6,4,4
317227,2,39,2,aa,9,6,4,2
317407,1,39,2,aa,29,6,3,2
318127,2,20,2,aa,14,6,1,3
318940,1,89,2,aa,28,6,2,2
319389,1,38,2,aa,14,5,2,3
322708,1,38,2,aa,28,5,1,1
322784,1,20,2,aa,62,6,5,2
322843,1,47,2,aa,50,5,2,2
322847,1,38,2,aa,10,6,2,2
322860,1,14,1,aa,62,2,1,2
322951,1,18,2,aa,36,2,2,3
322963,1,63,1,aa,42,1,1,2
323122,1,83,1,aa,61,6,1,4
323194,1,39,1,aa,62,1,2,1
323257,1,87,1,aa,42,5,2,1
323306,1,78,1,aa,42,2,2,3
323340,1,39,1,aa,28,3,1,2
323516,2,81,2,aa,18,7,5,4
323602,1,14,1,aa,63,2,4,4
323634,1,31,1,aa,63,1,4,2
323787,2,49,1,aa,28,7,4,3
323823,2,56,1,aa,15,1,4,2
323836,1,24,1,aa,43,2,4,3
323852,2,81,1,aa,39,2,4,2
323966,2,50,2,aa,62,1,4,4
324054,2,20,2,aa,43,3,4,3
324088,1,76,2,aa,28,7,5,4
324158,1,60,2,aa,37,3,4,4
324209,1,77,2,aa,32,3,3,2
324293,1,39,2,aa,50,3,4,4
324296,1,77,2,aa,37,3,4,4
324344,1,60,1,aa,33,3,3,4
324387,1,59,1,aa,43,1,5,3
324433,1,50,2,aa,61,2,3,1
324485,2,62,1,aa,39,2,3,2
328660,2,75,1,aa,57,2,5,3
329325,2,76,1,aa,23,2,5,1
333634,1,21,1,aa,20,2,1,3
334137,1,84,2,aa,23,4,4,2
334228,2,56,2,aa,42,3,4,4
334286,1,47,2,aa,57,4,4,2
334581,2,31,1,aa,5,3,4,1
334589,1,64,2,aa,42,5,1,2
334595,1,29,2,aa,4,5,5,1
334867,2,71,2,aa,26,6,4,1
336057,2,61,2,aa,14,6,4,4
336309,1,62,2,aa,5,5,4,4
336337,2,51,2,aa,33,6,1,2
339997,2,31,2,aa,40,6,1,1
340430,2,54,2,aa,1,4,5,4
340795,2,86,2,aa,35,4,1,1
341097,1,29,2,aa,52,6,5,4
341509,1,75,1,aa,26,5,4,4
342215,1,51,1,aa,23,6,4,4
342477,2,47,2,aa,23,4,4,4
343228,1,75,1,aa,5,5,4,4
344551,2,49,1,aa,58,6,4,2
345102,1,29,1,aa,58,6,5,3
345249,2,31,1,aa,58,1,3,4
345327,2,60,1,aa,14,6,4,4
345804,2,24,1,aa,9,7,1,2
346108,2,15,1,aa,58,2,3,3
346398,2,21,1,aa,40,3,4,3
347030,2,50,2,aa,40,5,3,3
347389,1,21,1,aa,32,5,5,4
348124,1,31,1,aa,35,6,4,2
350281,1,16,2,aa,52,2,3,3
350764,2,47,2,aa,15,7,3,3
350786,1,62,1,aa,9,5,4,1
350917,1,20,2,aa,6,5,3,4
351146,2,53,1,aa,35,4,1,3
351161,2,19,1,aa,15,6,2,4
351267,1,47,2,aa,42,2,2,3
351443,2,62,2,aa,41,7,1,4
351524,2,24,2,aa,15,6,4,4
351588,2,19,2,aa,5,4,4,3
351602,1,64,1,aa,15,1,1,3
351671,2,69,2,aa,2,3,4,4
352140,1,65,1,aa,14,1,3,3
352141,1,71,2,aa,15,6,4,2
353211,1,56,1,aa,33,5,3,4
353529,1,84,1,aa,33,2,4,1
357888,2,84,2,aa,23,3,4,4
357891,1,61,1,aa,4,3,4,4
357938,2,78,2,aa,34,3,3,4
357956,2,50,1,aa,10,1,5,4
357969,2,62,2,aa,42,7,5,3
358076,1,69,2,aa,5,6,3,1
358209,2,14,1,aa,24,3,3,3
358268,2,44,1,aa,23,6,1,4
358316,2,69,1,aa,23,6,4,1
358324,1,61,1,aa,33,3,3,1
360486,2,72,1,aa,40,5,3,4
360777,1,23,1,aa,35,7,2,1
361248,1,15,1,aa,2,3,3,2
361480,2,83,1,aa,33,5,4,2
361916,2,17,1,aa,40,4,2,3
362166,2,46,1,aa,36,7,1,3
362233,1,62,2,aa,14,1,2,4
362446,2,60,2,aa,42,1,1,3
363032,1,17,2,aa,42,5,2,4
363305,2,17,2,aa,38,7,5,2
363306,2,55,2,aa,48,5,5,1
363393,2,51,2,aa,41,6,4,1
364920,1,87,2,aa,16,1,2,1
365470,2,87,1,aa,48,1,2,1
365487,2,29,1,aa,42,6,2,1
365821,2,87,2,aa,16,6,4,1
366203,2,29,2,aa,54,5,2,1
367167,2,83,2,aa,19,4,2,1
367233,2,35,2,aa,19,1,3,1
367349,2,54,2,aa,56,3,1,3
367991,1,71,2,aa,56,1,3,1
368089,1,47,2,aa,56,5,5,1
368125,2,24,2,aa,56,2,2,3
368218,1,32,2,aa,50,5,3,2
368443,1,35,2,aa,30,1,3,3
369293,2,64,2,aa,61,2,5,4
369354,1,54,1,aa,36,2,2,4
369770,1,32,2,aa,62,2,2,3
370385,1,35,2,aa,26,2,1,1
370389,1,35,2,aa,53,5,1,4
370570,2,79,2,aa,62,4,5,1
371259,2,14,1,aa,28,5,2,4
372591,2,79,2,aa,61,3,2,1
372760,1,77,1,aa,44,5,1,3
372774,2,60,2,aa,4,5,4,1
372815,1,44,1,aa,50,7,5,3
372856,2,60,1,aa,43,4,2,4
372958,1,48,1,aa,43,1,4,3
373427,2,61,1,aa,5,4,4,1
373657,2,70,2,aa,14,1,5,3
373676,1,70,2,aa,34,3,4,4
373761,2,63,2,aa,56,4,4,4
373775,1,87,2,aa,39,7,5,3
373839,2,44,1,aa,27,7,3,2
373840,1,87,2,aa,43,5,3,1
373945,1,15,1,aa,14,5,4,1
374136,1,32,2,aa,7,7,3,4
374219,1,32,1,aa,29,7,4,4
374318,2,27,2,aa,63,1,4,1
374387,2,76,1,aa,27,3,4,4
374600,1,49,1,aa,43,3,1,4
374644,2,45,2,aa,28,1,5,2
374663,2,27,1,aa,50,1,3,2
374731,2,32,1,aa,35,1,3,1
374762,2,53,1,aa,63,3,3,2
376932,1,86,1,aa,16,1,3,1
377126,1,78,2,aa,9,7,4,2
377235,2,32,1,aa,52,2,1,1
377295,2,46,2,aa,32,5,1,4
377305,2,57,2,aa,58,3,1,2
377697,1,74,1,aa,43,1,3,1
377699,1,35,1,aa,37,4,1,2
377710,1,69,2,aa,37,5,3,1
377775,1,79,1,aa,50,7,1,2
377886,1,37,2,aa,30,6,1,1
377895,2,79,1,aa,16,5,3,1
378279,2,36,2,aa,53,4,1,2
378592,1,36,2,aa,58,6,3,3
378837,1,85,2,aa,36,3,5,2
378871,2,50,2,aa,43,7,5,1
381105,2,70,1,aa,8,2,1,1
381834,1,37,2,aa,16,3,5,1
382512,2,36,1,aa,16,5,1,1
383120,2,47,2,aa,62,5,3,2
383188,2,60,1,aa,35,4,3,2
383652,2,68,1,aa,62,6,3,1
384228,2,51,1,aa,28,6,3,1
384343,2,44,2,aa,45,7,1,1
384512,1,15,2,aa,34,2,1,2
386375,1,82,2,aa,50,7,1,3
386403,1,37,2,aa,44,7,2,3
386537,2,37,1,aa,54,3,2,4
386738,2,69,2,aa,16,7,1,4
386921,2,63,1,aa,40,2,3,3
386940,1,60,2,aa,33,3,5,3
387055,1,37,2,aa,51,6,2,3
389522,2,41,2,aa,29,2,1,4
389575,2,64,2,aa,27,4,1,4
389645,1,80,1,aa,17,6,2,4
389931,2,41,2,aa,36,6,1,4
389983,1,69,1,aa,62,6,2,3
390001,1,62,2,aa,48,5,1,4
390149,1,41,1,aa,62,4,2,4
390180,2,37,1,aa,31,4,2,4
390255,2,69,1,aa,39,2,1,4
390885,2,80,1,aa,28,6,2,3
391061,2,51,1,aa,50,7,2,4
