"EF1","BOGENART","FALLNR","LEISTUNGSGRUPPE","PERSONENGRUPPE","TAETIGKEITSSCHLUESSEL1","TAETIGKEITSSCHLUESSEL2","TAETIGKEITSSCHLUESSEL3","TAETIGKEITSSCHLUESSEL4","TAETIGKEITSSCHLUESSEL5","EF3U1","EF3U2","EF4","EF5","EF6","EF7","EF8","EF9","EF10","EF11","EF12U1","EF12U2","EF14U1","EF14U2","EF15","EF16U1","EF16U2","EF17","EF18","EF19","EF20","EF21","EF22","EF23","EF24","EF25","EF26","EF27","EF28","EF29","EF33","EF34","EF35","EF36","EF37","EF38","EF39","EF40","EF41","EF42","EF43","EF44","EF45","EF46","EF47","EF48","EF49","EF50","EF52","EF53","EF55","EF57","EF58","EF59U1","EF59U3","YEAR","KEYE","B21","B23","B24","B27","B28","B29","B412","B423","B43","B52","KEYL","EF21H"
67272,1,18744,2,101,32641,1,1,1,1,3531,1,74076,27,"",5,1,3,1,1968,5,1956,4,2018,1277,6,3,5,15,160,132,287467,5184,502,119961,719,292,4358372,1882477,16,1,134700,2732,5,31,1130,"aaaaaaaa",12,41,257,3,182105,6246827,1,4748307,920.580017089844,33,36.3499984741211,82.25,23,232310,3,3,3,6,2018,"aaaaaa","a",209,"a","aa","a","aaa",100000000,47744,1274.57995605469,477.790008544922,23517,1796.66875
61392,1,33536,2,101,24241,3,9,1,3,148,5,95546,605,"aaaaa",2,1,1,2,1943,12,2005,4,2018,8474,1,4,4,69,330,36,164476,4804,2489,149672,2185,57,642052,1402521,1,2,754210,36694,7,55,11,"aaaaaaaa",52,18,929,5,65177,6856425,1,2805453,404.579986572266,79,51.3499984741211,38.25,32,4186,1,3,1,5,2018,"aaaaaa","a",514,"a","aa","a","aaa",100000000,100098,1579.57995605469,124.790000915527,18530,498.412121212121
32366,1,33496,5,101,34951,3,4,1,1,2596,8,79451,740,"",1,1,1,1,1954,12,1988,4,2018,86621,7,1,4,51,243,14,269210,7017,5314,172604,2904,326,5629399,3457739,5,2,793872,17290,6,28,84,"aaaaaaaa",6,44,865,1,23037,4134826,0,3180736,870.580017089844,54,14.3500003814697,69.25,20,206266,2,1,3,5,2018,"aaaaaa","a",235,"a","aa","a","aaa",100000000,79275,1614.57995605469,363.790008544922,8680,1107.86008230453
48444,1,21680,3,101,51830,7,2,1,1,1395,3,44932,185,"",5,1,4,2,1953,11,1960,4,2018,58104,4,3,4,11,345,166,107782,3801,4285,31923,1648,324,5006785,4963484,19,2,626504,6213,4,34,440,"aaaaaaaa",22,54,803,3,38333,305283,1,4561211,2148.580078125,83,13.3500003814697,31.25,39,160941,3,2,3,4,2018,"aaaaaa","a",622,"a","aa","a","aaa",100000000,47632,1897.57995605469,463.790008544922,52740,312.411594202899
34503,1,43136,2,101,76363,4,7,1,1,1456,5,66969,432,"aa",1,1,5,1,1989,12,1970,4,2018,78045,8,2,4,13,224,182,259895,7996,6600,119062,3026,263,2750928,466917,50,2,659456,20666,4,45,912,"aaaaaaaa",14,52,183,6,23465,6233910,1,1106921,773.580017089844,53,10.3500003814697,33.25,18,185863,3,1,3,2,2018,"aaaaaa","a",654,"a","aa","a","aaa",100000000,31201,375.579986572266,164.789993286133,28089,1160.24553571429
50444,1,16561,5,101,26310,9,9,2,1,4077,0,44737,519,"",1,1,5,2,1953,9,2004,4,2018,21155,6,2,1,81,30,92,100811,2800,3116,52658,3703,158,3165247,4107376,4,1,495525,18743,7,45,48,"aaaaaaaa",50,45,566,6,98093,289348,1,4166649,35.5800018310547,65,8.35000038146973,11.25,18,83329,3,1,2,3,2018,"aaaaaa","a",341,"a","aa","a","aaa",100000000,70885,164.580001831055,226.789993286133,45539,3360.36666666667
21893,1,13566,1,101,79725,2,5,1,3,3874,2,21964,736,"",4,1,4,2,1961,3,1977,4,2018,91290,0,1,4,65,193,105,127674,5164,8185,84842,3107,184,6500258,1195985,64,1,624359,39157,5,57,133,"aaaaaaaa",10,43,417,1,8566,493906,1,955956,376.579986572266,5,13.3500003814697,68.25,34,211785,1,3,3,4,2018,"aaaaaa","a",641,"a","aa","a","aaa",100000000,32233,141.580001831055,967.789978027344,60109,661.523316062176
10851,1,6938,5,101,82883,4,8,1,3,2256,8,19184,324,"aa",4,1,1,1,1951,5,1997,4,2018,75500,2,4,1,65,139,196,221765,4483,2185,30225,1469,360,3840622,1523811,39,2,815142,23787,7,50,1088,"aaaaaaaa",29,51,622,7,47631,4841570,1,3514452,2150.580078125,93,6.34999990463257,23.25,38,87327,2,3,4,6,2018,"aaaaaa","a",275,"a","aa","a","aaa",100000000,66983,2184.580078125,1294.7900390625,34019,1595.43165467626
20661,1,12664,3,101,49344,9,1,2,3,3681,1,67858,430,"",2,1,1,2,1964,12,2017,4,2018,82721,7,5,3,28,174,28,322905,3699,864,10133,483,118,2936754,2445349,54,2,202034,15673,7,52,97,"aaaaaaaa",34,20,927,8,27910,5061197,0,362910,70.5800018310547,24,23.3500003814697,10.25,8,30723,2,3,3,5,2018,"aaaaaa","a",700,"a","aa","a","aaa",100000000,77468,1792.57995605469,864.789978027344,60645,1855.77586206897
12735,1,6368,4,101,66448,6,3,1,1,1340,4,76522,603,"",2,1,1,1,1966,11,1993,4,2018,28543,7,6,2,20,104,192,332347,2354,186,78581,2902,191,3318106,2117461,64,2,882304,15416,7,42,1243,"aaaaaaaa",51,55,221,5,107988,5618736,0,4855975,2079.580078125,71,19.3500003814697,1.25,16,292229,1,1,2,4,2018,"aaaaaa","a",921,"a","aa","a","aaa",100000000,101999,407.579986572266,426.790008544922,3792,3195.64423076923
55375,1,43660,4,101,9821,5,8,2,1,580,0,2919,789,"aaa",5,1,3,2,1988,7,2000,4,2018,63753,1,3,5,66,62,185,49451,1760,3075,175437,1075,180,4564811,1346176,27,2,509746,25142,6,44,1235,"aaaaaaaa",40,24,232,2,171435,3895805,0,2057762,727.580017089844,59,43.3499984741211,6.25,20,233477,1,3,2,6,2018,"aaaaaa","a",536,"a","aa","a","aaa",100000000,72755,1371.57995605469,228.789993286133,23557,797.596774193548
41906,1,35065,1,101,59727,6,1,1,1,390,3,26097,471,"",1,1,3,1,1933,3,2007,4,2018,18270,4,4,4,82,233,64,124057,4613,8207,155385,266,351,908352,3063229,77,2,899247,51114,6,47,405,"aaaaaaaa",43,20,839,2,168913,3765531,1,3487103,1380.57995605469,45,40.3499984741211,2.25,23,325311,1,2,1,2,2018,"aaaaaa","a",793,"a","aa","a","aaa",100000000,96180,531.580017089844,1240.7900390625,66591,532.43347639485
63741,1,17608,5,101,84555,3,8,1,3,345,6,90463,190,"aa",2,1,1,2,1990,10,1988,4,2018,37069,4,3,4,48,293,66,303883,3959,5592,93507,3292,339,7369958,4857992,10,1,807363,39742,5,28,233,"aaaaaaaa",34,32,838,6,187601,2652823,1,3530789,938.580017089844,41,8.35000038146973,82.25,3,31939,3,3,3,3,2018,"aaaaaa","a",754,"a","aa","a","aaa",100000000,135661,1471.57995605469,1052.7900390625,33477,1037.1433447099
17982,1,23291,2,101,19059,6,3,1,3,555,3,49735,201,"aa",2,1,1,1,1939,11,1991,4,2018,16138,2,3,1,47,353,67,29475,2828,4938,52699,1563,163,4136596,5231205,11,2,284622,56641,7,47,31,"aaaaaaaa",17,50,340,3,198549,7217291,0,717141,631.580017089844,44,4.34999990463257,32.25,17,302170,3,1,3,5,2018,"aaaaaa","a",800,"a","aa","a","aaa",100000000,4239,1330.57995605469,1154.7900390625,57563,83.4985835694051
29136,1,40536,1,101,90895,1,6,2,3,3488,5,72388,525,"",3,1,5,2,1990,12,2014,4,2018,4417,3,5,3,57,290,54,5614,3349,5322,469,3777,274,7342754,1705665,6,2,693022,34774,7,51,765,"aaaaaaaa",26,35,528,7,197309,3816954,1,3795897,1015.58001708984,90,38.3499984741211,56.25,37,88292,3,1,2,6,2018,"aaaaaa","a",737,"a","aa","a","aaa",100000000,20652,66.5800018310547,934.789978027344,44170,19.3586206896552
47398,1,13115,1,101,91656,7,6,1,3,1709,7,87128,805,"aaa",4,1,4,2,1934,12,1981,4,2018,37341,5,4,1,40,16,169,240895,5133,2985,168110,2387,48,2942452,1028300,94,2,62447,36216,7,30,868,"aaaaaaaa",57,47,222,3,96510,5038748,0,2745407,834.580017089844,94,40.3499984741211,10.25,40,14068,3,1,4,1,2018,"aaaaaa","a",651,"a","aa","a","aaa",100000000,35678,2087.580078125,844.789978027344,19427,15055.9375
41337,1,915,5,101,3183,1,3,2,1,2240,8,51525,812,"",1,1,3,2,1931,12,1991,4,2018,53948,7,6,2,29,176,11,107818,2146,5198,178618,1947,107,2055938,995016,64,2,174575,39712,7,33,738,"aaaaaaaa",9,17,738,7,71595,6101058,1,1060595,1164.57995605469,51,7.34999990463257,91.25,33,136403,2,3,4,3,2018,"aaaaaa","a",51,"a","aa","a","aaa",100000000,81588,22.5799999237061,293.790008544922,13361,612.602272727273
59428,1,19927,5,101,24613,8,5,1,1,672,1,23995,716,"aaaaaaaaa",3,1,3,2,1931,12,1986,4,2018,57975,1,3,1,63,346,190,250315,2405,4280,44965,2390,63,5204157,4082555,67,1,545099,15564,4,38,855,"aaaaaaaa",6,42,159,7,86229,4077693,1,1034862,692.580017089844,55,16.3500003814697,7.25,25,242109,2,2,1,4,2018,"aaaaaa","a",296,"a","aa","a","aaa",100000000,72871,1796.57995605469,577.789978027344,63206,723.453757225433
7467,1,18672,1,101,42414,1,3,2,1,1692,3,8032,693,"",2,1,5,1,1961,8,2012,4,2018,84282,5,5,3,49,319,19,281708,34,3019,45222,994,107,180934,611708,59,2,210581,30728,4,36,1141,"aaaaaaaa",46,53,294,4,161404,3123522,1,760372,1725.57995605469,24,12.3500003814697,51.25,16,263043,2,3,1,3,2018,"aaaaaa","a",225,"a","aa","a","aaa",100000000,79187,1476.57995605469,1302.7900390625,12721,883.097178683386
40787,1,40392,2,101,83978,2,3,2,3,2417,1,72954,413,"",3,1,1,1,1964,1,1989,4,2018,91076,8,5,5,22,212,178,219038,7175,8073,89765,1318,164,2454786,5337217,58,2,398054,4458,4,39,1028,"aaaaaaaa",16,28,925,4,3589,2316964,1,5108887,534.580017089844,61,21.3500003814697,89.25,15,249099,3,1,2,1,2018,"aaaaaa","a",763,"a","aa","a","aaa",100000000,58829,568.580017089844,784.789978027344,14352,1033.19811320755
43841,1,28499,3,101,68440,3,4,1,1,2243,6,67653,307,"aaa",2,1,1,2,1978,2,1989,4,2018,24060,6,5,4,59,249,52,215316,488,5371,5460,3141,30,1975088,2527249,92,2,758935,29214,4,41,278,"aaaaaaaa",61,60,115,8,116098,3901209,0,1271930,1684.57995605469,15,50.3499984741211,10.25,11,279966,1,3,3,3,2018,"aaaaaa","a",849,"a","aa","a","aaa",100000000,128617,1418.57995605469,1150.7900390625,23952,864.722891566265
29296,1,40600,2,101,12713,1,6,1,1,2963,2,70841,90,"aa",1,1,4,2,2002,11,2008,4,2018,89784,5,2,2,43,17,121,206450,3040,5569,146077,3620,44,5050211,2813157,73,2,518994,24058,6,28,238,"aaaaaaaa",6,40,388,4,176511,1012034,1,4172923,181.580001831055,93,30.3500003814697,19.25,40,62330,1,3,3,5,2018,"aaaaaa","a",681,"a","aa","a","aaa",100000000,90000,1997.57995605469,651.789978027344,60645,12144.1176470588
57921,1,27363,4,101,29760,2,9,1,1,1558,0,56667,642,"",4,1,4,1,2003,11,1968,4,2018,3660,1,6,4,75,229,122,284285,1007,7176,145104,3203,357,7719005,2986094,50,2,744433,13255,4,27,364,"aaaaaaaa",21,62,946,3,127163,7266236,0,2553385,1582.57995605469,17,17.3500003814697,71.25,22,252531,1,1,3,5,2018,"aaaaaa","a",132,"a","aa","a","aaa",100000000,25603,1087.57995605469,587.789978027344,25916,1241.4192139738
29250,1,4107,2,101,20062,6,7,1,3,2489,9,16922,426,"a",5,1,2,1,1948,8,2018,4,2018,42767,0,4,5,78,216,138,137002,4627,7326,154719,592,290,4908192,2314544,18,1,687931,1401,5,56,534,"aaaaaaaa",41,19,827,6,176648,6083976,1,1086491,1622.57995605469,36,22.3500003814697,14.25,22,164143,3,1,1,3,2018,"aaaaaa","a",486,"a","aa","a","aaa",100000000,41873,213.580001831055,1342.7900390625,20217,634.268518518518
27074,1,29075,1,101,53201,6,4,1,3,3611,1,39567,467,"aaa",3,1,1,2,1960,2,1957,4,2018,25994,5,1,3,51,209,38,247917,3227,5068,130710,2234,130,5686797,1989065,32,2,998485,13759,6,58,550,"aaaaaaaa",2,45,870,3,75773,4938694,0,1245594,547.580017089844,12,44.3499984741211,56.25,31,217236,3,1,3,3,2018,"aaaaaa","a",89,"a","aa","a","aaa",100000000,166157,1227.57995605469,488.790008544922,51932,1186.20574162679
7855,1,4255,3,101,68625,9,4,2,3,1302,7,86269,359,"",2,1,5,1,1972,3,1960,4,2018,78189,3,6,3,43,150,56,190306,4496,2848,20686,2700,119,3563208,3501466,9,2,399841,12397,4,42,493,"aaaaaaaa",62,46,293,6,173989,6703079,0,69068,2133.580078125,73,11.3500003814697,63.25,10,216758,1,1,1,5,2018,"aaaaaa","a",384,"a","aa","a","aaa",100000000,55401,1978.57995605469,1212.7900390625,39500,1268.70666666667
29466,1,31522,3,101,18207,4,9,2,1,2338,1,94857,673,"aaaa",1,1,2,2,1960,6,1970,4,2018,23577,3,2,2,6,232,69,377157,2928,4493,8264,3515,34,2994899,873673,86,2,57282,46561,7,31,96,"aaaaaaaa",40,58,399,5,187222,2630200,1,3449562,2308.580078125,21,15.3500003814697,29.25,28,327262,1,2,4,6,2018,"aaaaaa","a",796,"a","aa","a","aaa",100000000,121621,388.579986572266,1015.78997802734,60413,1625.67672413793
5437,1,15231,1,101,86001,4,8,1,1,1956,2,59102,701,"",1,1,2,2,2001,12,2011,4,2018,88962,5,1,3,60,191,94,158796,3177,1049,115367,3530,37,6852733,4986941,94,2,633366,5834,4,37,101,"aaaaaaaa",48,50,585,1,111833,1184109,1,450679,396.579986572266,72,39.3499984741211,50.25,2,151646,2,3,2,2,2018,"aaaaaa","a",685,"a","aa","a","aaa",100000000,144712,1688.57995605469,1295.7900390625,20467,831.392670157068
56748,1,2889,3,101,11451,9,5,1,1,3881,6,3881,307,"",2,1,1,2,1928,5,1990,4,2018,1424,6,4,1,57,88,59,74035,3655,1516,156920,2124,51,833253,4497306,63,1,704068,36323,6,29,741,"aaaaaaaa",48,29,765,5,458,5486587,1,4075002,596.580017089844,56,11.3500003814697,65.25,28,84854,2,1,1,6,2018,"aaaaaa","a",627,"a","aa","a","aaa",100000000,73119,1325.57995605469,324.790008544922,67685,841.306818181818
38647,1,4712,3,101,42479,2,8,2,3,4081,2,1481,813,"",4,1,5,1,1996,11,1983,4,2018,5297,0,5,3,68,53,37,340028,281,6859,24510,2370,80,4779694,5258987,66,1,213153,34467,7,27,941,"aaaaaaaa",22,47,374,4,21005,40809,1,3749154,595.580017089844,8,21.3500003814697,39.25,22,35661,1,1,3,4,2018,"aaaaaa","a",63,"a","aa","a","aaa",100000000,172885,2249.580078125,528.789978027344,47378,6415.62264150943
7290,1,2085,1,101,22645,5,1,2,1,2610,5,8960,855,"a",4,1,1,1,1968,10,2006,4,2018,39256,4,2,1,57,37,155,136519,2307,294,169222,3439,318,7094631,4546871,52,2,297298,24441,7,48,740,"aaaaaaaa",23,53,900,3,47244,5139532,1,829582,1795.57995605469,78,51.3499984741211,65.25,20,38168,1,2,3,3,2018,"aaaaaa","a",378,"a","aa","a","aaa",100000000,77165,1003.58001708984,26.7900009155273,32506,3689.7027027027
36076,1,26339,5,101,87220,4,8,1,3,2323,0,49652,124,"",4,1,1,2,1982,2,1998,4,2018,88948,4,1,1,67,163,72,380599,8003,3636,148108,1143,42,2335916,2892090,32,1,608114,53479,5,36,620,"aaaaaaaa",28,43,595,3,91880,6891313,1,100763,760.580017089844,66,4.34999990463257,11.25,39,194094,2,1,1,5,2018,"aaaaaa","a",468,"a","aa","a","aaa",100000000,114497,567.580017089844,544.789978027344,59862,2334.96319018405
51905,1,28074,4,101,91086,6,8,1,1,1031,7,88158,407,"aa",2,1,2,2,1992,12,1993,4,2018,5957,7,4,5,50,236,181,164540,2895,6992,112691,1103,112,5122360,914440,9,2,178713,54219,4,50,795,"aaaaaaaa",2,30,68,4,63096,3686220,0,575962,713.580017089844,48,38.3499984741211,60.25,0,17533,2,1,3,5,2018,"aaaaaa","a",805,"a","aa","a","aaa",100000000,33946,445.579986572266,1258.7900390625,20805,697.203389830509
36338,1,2533,5,101,23627,1,6,1,3,2044,3,82266,71,"aaaaaaaaaa",5,1,5,2,1944,4,1971,4,2018,58379,7,4,4,70,193,112,153404,4839,4924,23607,2923,279,5280284,1596823,62,1,213353,50200,4,33,350,"aaaaaaaa",42,35,727,3,100279,4237189,0,3084840,1572.57995605469,99,33.3499984741211,22.25,21,120674,1,3,4,1,2018,"aaaaaa","a",97,"a","aa","a","aaa",100000000,66799,781.580017089844,387.790008544922,8161,794.839378238342
2363,1,40663,3,101,36883,7,4,2,3,521,6,18105,410,"",3,1,1,2,1938,10,1976,4,2018,73463,6,1,2,28,372,181,268923,8371,373,86789,1708,99,697597,359546,77,2,437710,10971,4,42,699,"aaaaaaaa",28,49,300,3,130086,1527204,1,1086590,1270.57995605469,37,48.3499984741211,54.25,8,266600,3,1,4,5,2018,"aaaaaa","a",294,"a","aa","a","aaa",100000000,25744,381.579986572266,96.7900009155273,49548,722.911290322581
54946,1,22740,2,101,31658,9,7,1,3,3774,2,32432,333,"aaa",1,1,5,1,1940,3,2004,4,2018,15202,1,2,5,74,321,91,121496,7447,2654,176864,3003,224,5446863,2831101,64,2,880527,14313,5,36,112,"aaaaaaaa",10,33,445,3,146145,4753630,1,2880108,2214.580078125,67,27.3500003814697,41.25,36,55496,3,3,1,6,2018,"aaaaaa","a",198,"a","aa","a","aaa",100000000,69004,10.5799999237061,1265.7900390625,65750,378.492211838006
12352,1,21013,4,101,89429,7,4,1,1,2092,0,76425,56,"a",2,1,2,2,1996,1,1998,4,2018,43186,3,3,1,59,368,126,347696,7776,525,169779,1545,97,895992,4763700,22,2,276931,13909,4,30,1133,"aaaaaaaa",43,54,289,5,11462,4288540,1,3415278,1755.57995605469,36,16.3500003814697,41.25,16,267348,2,2,2,5,2018,"aaaaaa","a",24,"a","aa","a","aaa",100000000,145839,1550.57995605469,125.790000915527,66884,944.826086956522
20757,1,11381,4,101,93154,4,1,1,3,4154,8,49717,196,"aaa",1,1,3,1,1939,1,2011,4,2018,18123,7,5,4,14,252,124,219083,6384,3326,39917,3072,161,5373546,211197,59,1,671168,16136,7,26,1170,"aaaaaaaa",27,36,179,7,167863,5976781,1,3853326,256.579986572266,15,40.3499984741211,37.25,13,268864,3,2,3,2,2018,"aaaaaa","a",946,"a","aa","a","aaa",100000000,139530,470.579986572266,1139.7900390625,17856,869.376984126984
54723,1,13654,3,101,29078,7,9,1,3,3078,3,11862,539,"",3,1,5,1,1939,2,1984,4,2018,75167,1,4,4,30,53,61,28174,2856,4338,71696,3287,111,6576948,4896783,34,1,603374,13200,7,42,768,"aaaaaaaa",35,40,706,2,123001,5733231,0,1614413,895.580017089844,67,43.3499984741211,94.25,0,170603,1,1,2,1,2018,"aaaaaa","a",955,"a","aa","a","aaa",100000000,100585,200.580001831055,151.789993286133,13047,531.584905660377
52170,1,32583,4,101,49070,1,5,2,3,1361,9,19394,464,"",5,1,4,1,1931,10,1979,4,2018,18095,8,6,3,2,125,77,334941,2643,7741,28799,3128,275,1476472,4715944,97,2,266731,47909,6,36,46,"aaaaaaaa",34,51,204,2,87677,3254303,1,3327090,1200.57995605469,75,29.3500003814697,67.25,10,111102,3,2,3,5,2018,"aaaaaa","a",915,"a","aa","a","aaa",100000000,108406,287.579986572266,243.789993286133,23033,2679.528
58641,1,14170,4,101,51184,4,8,1,1,3431,1,33364,492,"aa",5,1,1,1,1972,1,1964,4,2018,90978,7,3,5,23,278,134,155507,1452,6554,61971,2099,328,3176022,1466597,63,2,13121,8247,5,55,1299,"aaaaaaaa",31,53,804,6,205412,2879482,1,4635041,581.580017089844,33,43.3499984741211,8.25,26,307763,1,3,4,5,2018,"aaaaaa","a",155,"a","aa","a","aaa",100000000,130284,511.579986572266,912.789978027344,13238,559.377697841727
25676,1,16048,4,101,82074,9,7,2,3,93,5,18452,98,"aaa",3,1,5,2,1986,1,2008,4,2018,27404,3,1,2,46,48,29,110147,1833,1498,119970,2724,306,5789539,1436533,4,2,269420,7118,7,32,616,"aaaaaaaa",22,18,131,4,164015,6002063,0,2248940,1952.57995605469,66,36.3499984741211,6.25,28,291299,2,1,3,3,2018,"aaaaaa","a",77,"a","aa","a","aaa",100000000,87775,1733.57995605469,1334.7900390625,34334,2294.72916666667
38952,1,6789,3,101,34640,5,3,1,3,1428,2,17218,303,"",3,1,5,1,1930,7,2005,4,2018,64102,1,3,1,8,288,87,376815,3441,6941,69269,1930,282,4507020,3463553,76,1,799525,38456,4,29,815,"aaaaaaaa",44,30,920,2,159279,227902,1,1019192,1984.57995605469,41,37.3499984741211,17.25,35,43133,1,2,2,2,2018,"aaaaaa","a",207,"a","aa","a","aaa",100000000,69039,2136.580078125,310.790008544922,44600,1308.38541666667
26210,1,20237,1,101,55801,2,8,1,3,898,4,50837,651,"",1,1,4,1,1961,4,2013,4,2018,52837,0,3,4,79,346,166,309031,4172,3285,162443,1746,256,6492468,4797490,70,2,415965,4829,6,30,483,"aaaaaaaa",55,20,161,8,103861,6069049,0,5223481,1217.57995605469,63,51.3499984741211,18.25,9,273948,1,2,4,5,2018,"aaaaaa","a",326,"a","aa","a","aaa",100000000,7467,501.579986572266,1072.7900390625,62374,893.153179190751
25173,1,28136,3,101,25033,3,1,1,1,1320,2,26841,168,"",5,1,5,2,1962,7,1988,4,2018,62601,4,2,1,1,175,99,382538,5881,7346,141422,3706,73,3602094,5110464,56,2,651884,34574,5,49,26,"aaaaaaaa",32,60,796,4,158135,5259583,0,3052588,465.579986572266,96,5.34999990463257,55.25,6,328359,1,2,3,2,2018,"aaaaaa","a",752,"a","aa","a","aaa",100000000,165530,1626.57995605469,1158.7900390625,21121,2185.93142857143
53629,1,2278,4,101,15271,5,8,1,1,1103,6,11453,305,"aaa",3,1,2,1,1937,1,1974,4,2018,22389,2,5,4,50,21,66,265639,82,1862,163349,2225,142,5831324,3449651,83,2,536965,44439,4,37,437,"aaaaaaaa",12,22,731,5,29677,3140679,1,3893173,1704.57995605469,25,12.3500003814697,35.25,16,149021,1,2,4,6,2018,"aaaaaa","a",487,"a","aa","a","aaa",100000000,171267,647.580017089844,75.7900009155273,34427,12649.4761904762
52096,1,10654,3,101,75716,8,5,1,3,3796,4,69326,358,"",1,1,1,2,1992,9,1959,4,2018,9245,4,1,5,52,372,117,152373,2760,471,54998,1031,56,2609751,4920112,32,1,428759,19167,7,56,656,"aaaaaaaa",51,45,686,3,108668,159740,1,1689642,1394.57995605469,27,38.3499984741211,0.25,0,161593,1,1,2,6,2018,"aaaaaa","a",645,"a","aa","a","aaa",100000000,30656,2004.57995605469,925.789978027344,30328,409.604838709677
66681,1,6748,2,101,61171,7,8,1,1,2506,0,48373,231,"",2,1,5,1,1947,3,1996,4,2018,4530,4,5,3,28,87,164,170994,6742,6444,129179,287,143,717937,3227083,11,1,457933,13230,5,35,855,"aaaaaaaa",37,39,660,4,171080,6529892,0,5129758,826.580017089844,53,50.3499984741211,75.25,2,197172,2,1,2,5,2018,"aaaaaa","a",188,"a","aa","a","aaa",100000000,8436,1509.57995605469,348.790008544922,8593,1965.44827586207
20817,1,2577,5,101,32563,6,2,2,3,3036,5,46448,536,"aaa",3,1,1,1,1976,10,1960,4,2018,40042,3,2,2,53,256,58,184964,4536,5749,92168,1833,217,6701743,5314294,93,1,35557,61583,7,30,792,"aaaaaaaa",39,62,513,7,95290,6017563,0,4840132,686.580017089844,91,25.3500003814697,17.25,19,77838,3,1,3,5,2018,"aaaaaa","a",393,"a","aa","a","aaa",100000000,105382,1950.57995605469,1079.7900390625,44614,722.515625
41495,1,16464,3,101,26876,6,1,2,3,4075,3,79862,141,"aa",3,1,3,2,1958,2,1990,4,2018,93287,7,5,3,65,321,94,157797,6194,5953,19135,3776,282,7120925,2185997,64,1,463192,5385,5,31,1063,"aaaaaaaa",36,59,602,3,85524,6782432,0,599629,543.580017089844,66,33.3499984741211,43.25,23,28706,3,1,4,6,2018,"aaaaaa","a",320,"a","aa","a","aaa",100000000,9982,747.580017089844,243.789993286133,6027,491.579439252336
15289,1,24933,1,101,34056,5,2,1,3,2550,4,89358,75,"",4,1,1,2,1989,7,1984,4,2018,34390,2,2,3,16,316,102,146300,4009,1141,144498,4069,338,1101656,870468,65,1,614859,15997,5,29,1266,"aaaaaaaa",49,39,671,8,27855,5830789,1,3399653,1779.57995605469,5,48.3499984741211,60.25,2,181779,2,1,2,2,2018,"aaaaaa","a",709,"a","aa","a","aaa",100000000,17328,714.580017089844,684.789978027344,15724,462.974683544304
32197,1,31587,3,101,40628,3,5,1,1,3575,4,91476,434,"a",3,1,5,1,1989,5,2015,4,2018,56167,7,5,1,54,361,133,358395,5031,6299,117255,3967,305,5638162,5122129,58,2,246706,41416,6,60,427,"aaaaaaaa",54,53,276,7,6846,5767146,1,2831472,2053.580078125,33,49.3499984741211,98.25,21,266396,3,2,2,6,2018,"aaaaaa","a",130,"a","aa","a","aaa",100000000,168015,80.5800018310547,304.790008544922,10482,992.783933518006
17289,1,37736,1,101,47134,8,4,2,3,1122,6,66391,783,"aa",4,1,3,1,1979,3,1956,4,2018,56914,2,1,5,25,364,123,346077,2021,5285,67985,1081,215,1249290,2348169,64,1,37994,9996,7,36,197,"aaaaaaaa",56,61,106,6,56274,2198060,1,948640,369.579986572266,11,44.3499984741211,58.25,35,311193,3,3,1,3,2018,"aaaaaa","a",250,"a","aa","a","aaa",100000000,33688,574.580017089844,1253.7900390625,56807,950.760989010989
38008,1,16584,4,101,86971,8,1,1,1,1571,5,73217,126,"",3,1,3,1,1954,3,1988,4,2018,85810,1,1,1,38,310,35,179457,6145,4880,164243,3021,239,2429086,582556,89,2,794988,38974,5,49,1033,"aaaaaaaa",15,44,664,2,78908,3077847,0,120265,1644.57995605469,11,5.34999990463257,15.25,18,77909,3,1,3,3,2018,"aaaaaa","a",64,"a","aa","a","aaa",100000000,94182,1304.57995605469,1325.7900390625,62156,578.893548387097
3035,1,39491,1,101,29762,5,4,1,3,1820,6,17673,331,"aa",4,1,4,1,1989,5,2002,4,2018,75578,2,2,4,35,271,72,223607,1837,2747,118438,1010,137,2889040,2636737,34,1,605592,43315,4,56,515,"aaaaaaaa",19,20,669,6,185613,4215021,0,3794518,1655.57995605469,11,50.3499984741211,77.25,9,224581,2,1,4,5,2018,"aaaaaa","a",881,"a","aa","a","aaa",100000000,15094,1984.57995605469,880.789978027344,65505,825.118081180812
33188,1,29220,3,101,34220,1,5,2,3,866,0,60696,4,"aa",2,1,5,1,1957,6,2003,4,2018,30020,8,3,4,31,271,192,231608,4159,5151,108735,2472,58,3290771,3153183,9,2,758634,47684,7,27,1367,"aaaaaaaa",45,20,592,7,26729,4953938,0,321910,1846.57995605469,11,4.34999990463257,77.25,14,187325,3,2,4,6,2018,"aaaaaa","a",845,"a","aa","a","aaa",100000000,7014,1614.57995605469,200.789993286133,20426,854.642066420664
7083,1,38975,4,101,66502,2,8,1,3,2689,9,50628,617,"",5,1,2,2,1971,11,2009,4,2018,27144,5,2,2,43,15,140,17260,1834,5024,126398,1496,324,2306756,1232794,94,2,845508,42698,4,55,539,"aaaaaaaa",15,41,818,4,50804,3961167,0,3190701,80.5800018310547,67,31.3500003814697,81.25,5,327614,1,1,3,4,2018,"aaaaaa","a",74,"a","aa","a","aaa",100000000,111751,815.580017089844,19.7900009155273,12809,1150.66666666667
